platform	pop	density	n	n_flag_absscreen	median_Froh	p90_Froh	L_all	L_abs_screen	L_qmatch_screen
WGS_full	EUR	2182	103	34	0.0145	0.0181	1.750	1.550	1.550
WGS_full	AFR	3071	196	13	0.0095	0.0134	1.900	1.650	1.650
WGS_full	EAS	2015	70	21	0.0146	0.0181	1.750	1.550	1.550
WGS_full	SAS	2234	82	32	0.0143	0.0357	7.750	1.600	1.600
WGS_full	AMR	2243	137	93	0.0188	0.0302	2.800	1.650	1.650
thin_1/2	EUR	1091	103	102	0.0210	0.0256	2.400	1.950	2.150
thin_1/2	AFR	1536	196	50	0.0134	0.0176	2.650	2.050	2.200
thin_1/2	EAS	1008	70	69	0.0228	0.0278	2.350	1.500	1.950
thin_1/2	SAS	1117	82	73	0.0200	0.0402	11.850	1.750	1.850
thin_1/2	AMR	1122	137	133	0.0261	0.0440	3.950	2.000	2.300
thin_1/5	EUR	436	103	103	0.0303	0.0351	3.000	nan	2.650
thin_1/5	AFR	614	196	160	0.0181	0.0235	3.300	2.150	2.650
thin_1/5	EAS	403	70	70	0.0332	0.0368	3.300	nan	2.800
thin_1/5	SAS	447	82	82	0.0296	0.0485	inf	nan	2.700
thin_1/5	AMR	449	137	137	0.0334	0.0546	4.500	nan	2.850
thin_1/10	EUR	218	103	103	0.0384	0.0426	2.950	nan	2.750
thin_1/10	AFR	307	196	195	0.0222	0.0278	3.600	2.800	2.950
thin_1/10	EAS	202	70	70	0.0417	0.0476	4.050	nan	3.500
thin_1/10	SAS	223	82	82	0.0360	0.0550	inf	nan	3.150
thin_1/10	AMR	224	137	137	0.0406	0.0680	5.000	nan	3.350
thin_1/20	EUR	109	103	103	0.0503	0.0555	2.900	nan	2.700
thin_1/20	AFR	154	196	196	0.0287	0.0351	4.100	nan	3.400
thin_1/20	EAS	101	70	70	0.0574	0.0629	3.800	nan	3.200
thin_1/20	SAS	112	82	82	0.0460	0.0644	inf	nan	2.900
thin_1/20	AMR	112	137	137	0.0531	0.0875	4.900	nan	3.200
CytoSNP-850K-class	EUR	280	103	103	0.0265	0.0327	2.100	nan	1.850
CytoSNP-850K-class	AFR	280	196	17	0.0097	0.0143	2.050	1.500	1.550
CytoSNP-850K-class	EAS	280	70	70	0.0295	0.0355	2.050	nan	1.750
CytoSNP-850K-class	SAS	280	82	81	0.0250	0.0438	inf	1.200	1.800
CytoSNP-850K-class	AMR	280	137	137	0.0293	0.0508	3.650	nan	1.900
CytoScan-HD-class	EUR	200	103	103	0.0324	0.0375	2.150	nan	1.950
CytoScan-HD-class	AFR	200	196	24	0.0112	0.0162	2.000	1.450	1.550
CytoScan-HD-class	EAS	200	70	70	0.0365	0.0410	2.250	nan	1.900
CytoScan-HD-class	SAS	200	82	82	0.0309	0.0507	inf	nan	2.050
CytoScan-HD-class	AMR	200	137	137	0.0355	0.0582	3.900	nan	2.050
250K-class	EUR	100	103	103	0.0501	0.0568	2.200	nan	2.050
250K-class	AFR	100	196	116	0.0166	0.0217	2.250	1.500	1.750
250K-class	EAS	100	70	70	0.0585	0.0667	2.450	nan	2.200
250K-class	SAS	100	82	82	0.0494	0.0669	inf	nan	2.250
250K-class	AMR	100	137	137	0.0539	0.0836	3.850	nan	2.400
Random-300/Mb	EUR	300	103	103	0.0327	0.0372	2.850	nan	2.550
Random-300/Mb	AFR	300	196	191	0.0208	0.0264	3.050	2.000	2.550
Random-300/Mb	EAS	300	70	70	0.0345	0.0393	3.500	nan	3.000
Random-300/Mb	SAS	300	82	82	0.0311	0.0496	inf	nan	2.600
Random-300/Mb	AMR	300	137	137	0.0365	0.0631	4.950	nan	3.200
