window_start	window_end	cMperMb	mean_2pq	L_for_post_0.5_Mb	L_for_post_0.9_Mb	L_for_post_0.95_Mb	L_for_post_0.99_Mb
10000000	11000000	0.0000	0.04989	NA	NA	NA	NA
11000000	12000000	0.0000	0.04238	NA	NA	NA	NA
12000000	13000000	0.0000	0.04320	NA	NA	NA	NA
15000000	16000000	0.0000	0.05707	NA	NA	NA	NA
16000000	17000000	4.5695	0.11707	3.26	5.19	5.85	7.30
17000000	18000000	3.1122	0.11764	4.76	7.58	8.54	10.66
18000000	19000000	2.8324	0.08195	7.66	12.19	13.74	17.14
19000000	20000000	2.2745	0.10108	7.65	12.18	13.72	17.13
20000000	21000000	2.0566	0.10134	8.44	13.44	15.14	18.89
21000000	22000000	2.3885	0.08252	9.01	14.35	16.17	20.18
22000000	23000000	2.1728	0.09860	8.22	13.09	14.75	18.41
23000000	24000000	2.2170	0.11550	6.81	10.85	12.23	15.26
24000000	25000000	2.2022	0.08596	9.37	14.92	16.81	20.98
25000000	26000000	2.6419	0.10949	6.05	9.64	10.86	13.55
26000000	27000000	3.7063	0.12415	3.77	6.01	6.77	8.45
27000000	28000000	2.6523	0.11786	5.57	8.88	10.00	12.48
28000000	29000000	1.7217	0.06483	16.07	25.59	28.82	35.98
29000000	30000000	0.4358	0.10328	39.03	NA	NA	NA
30000000	31000000	0.5264	0.10026	33.34	NA	NA	NA
31000000	32000000	0.8518	0.07240	28.96	46.13	NA	NA
32000000	33000000	1.3057	0.11272	11.87	18.91	21.30	26.59
33000000	34000000	1.4180	0.10383	11.93	19.00	21.40	26.71
34000000	35000000	1.3841	0.12372	10.14	16.15	18.20	22.71
35000000	36000000	1.9520	0.10520	8.55	13.61	15.33	19.14
36000000	37000000	2.5013	0.10265	6.84	10.90	12.28	15.32
37000000	38000000	2.4215	0.10723	6.75	10.75	12.11	15.12
38000000	39000000	1.6568	0.10177	10.43	16.61	18.71	23.35
39000000	40000000	0.9625	0.10931	16.64	26.50	29.86	37.26
40000000	41000000	0.5868	0.07408	41.05	NA	NA	NA
41000000	42000000	0.4100	0.08527	NA	NA	NA	NA
42000000	43000000	0.8984	0.11391	17.07	27.18	30.62	38.21
43000000	44000000	2.3388	0.11602	6.43	10.24	11.53	14.40
44000000	45000000	3.0157	0.12719	4.52	7.20	8.11	10.12
45000000	46000000	3.2635	0.12088	4.41	7.02	7.91	9.87
46000000	47000000	2.7235	0.10403	6.20	9.87	11.12	13.88
47000000	48000000	3.2843	0.11136	4.78	7.62	8.58	10.71
48000000	49000000	3.9719	0.12567	3.48	5.54	6.24	7.78
49000000	50000000	4.1405	0.10803	3.92	6.24	7.03	8.77
50000000	51000000	3.8215	0.09736	4.74	7.54	8.50	10.61
