L_Mb	AFR_pchance_coal	AFR_log10BF_coal	EUR_pchance_coal	EUR_log10BF_coal	EAS_pchance_coal	EAS_log10BF_coal
0.10	2.177e-02	1.23	7.947e-02	0.67	9.427e-02	0.59
0.15	1.323e-02	1.44	4.144e-02	0.95	5.043e-02	0.86
0.20	9.538e-03	1.59	2.342e-02	1.20	2.831e-02	1.11
0.25	7.474e-03	1.69	1.421e-02	1.41	1.646e-02	1.35
0.30	6.156e-03	1.78	9.231e-03	1.60	9.934e-03	1.57
0.35	5.232e-03	1.85	6.396e-03	1.76	6.231e-03	1.77
0.40	4.550e-03	1.91	4.707e-03	1.89	4.073e-03	1.96
0.45	4.027e-03	1.96	3.646e-03	2.00	2.781e-03	2.12
0.50	3.609e-03	2.01	2.949e-03	2.10	1.980e-03	2.27
0.55	3.268e-03	2.05	2.462e-03	2.17	1.487e-03	2.39
0.60	2.983e-03	2.09	2.108e-03	2.24	1.166e-03	2.50
0.65	2.745e-03	2.13	1.845e-03	2.30	9.490e-04	2.59
0.70	2.546e-03	2.16	1.641e-03	2.35	7.948e-04	2.67
0.75	2.374e-03	2.19	1.482e-03	2.39	6.763e-04	2.74
0.80	2.224e-03	2.22	1.358e-03	2.43	5.836e-04	2.80
0.85	2.093e-03	2.24	1.257e-03	2.47	5.094e-04	2.86
0.90	1.975e-03	2.27	1.173e-03	2.50	4.498e-04	2.91
0.95	1.870e-03	2.29	1.101e-03	2.52	4.023e-04	2.96
1.00	1.776e-03	2.32	1.039e-03	2.55	3.615e-04	3.01
1.05	1.691e-03	2.34	9.848e-04	2.57	3.265e-04	3.05
1.10	1.613e-03	2.36	9.394e-04	2.59	2.961e-04	3.09
1.15	1.541e-03	2.38	8.989e-04	2.61	2.688e-04	3.14
1.20	1.475e-03	2.40	8.620e-04	2.63	2.448e-04	3.18
1.25	1.413e-03	2.42	8.280e-04	2.65	2.241e-04	3.22
1.30	1.359e-03	2.43	7.967e-04	2.66	2.065e-04	3.25
1.35	1.308e-03	2.45	7.673e-04	2.68	1.897e-04	3.29
1.40	1.262e-03	2.46	7.394e-04	2.70	1.742e-04	3.32
1.45	1.220e-03	2.48	7.132e-04	2.71	1.594e-04	3.36
1.50	1.178e-03	2.49	6.885e-04	2.73	1.463e-04	3.40
1.55	1.139e-03	2.51	6.647e-04	2.74	1.340e-04	3.44
