# emp = empirical p_chance at GAP_TOL=0
L_Mb	EUR_emp	EUR_analytic	AFR_emp	AFR_analytic	EAS_emp	EAS_analytic	SAS_emp	SAS_analytic	AMR_emp	AMR_analytic
0.10	4.289e-02	4.044e-01	1.986e-02	3.250e-01	4.948e-02	4.106e-01	4.534e-02	3.864e-01	4.140e-02	4.065e-01
0.15	2.431e-02	2.572e-01	1.251e-02	1.853e-01	2.658e-02	2.631e-01	2.536e-02	2.402e-01	2.512e-02	2.592e-01
0.20	1.548e-02	1.635e-01	8.674e-03	1.056e-01	1.591e-02	1.686e-01	1.570e-02	1.493e-01	1.696e-02	1.652e-01
0.25	1.067e-02	1.040e-01	6.363e-03	6.021e-02	1.027e-02	1.080e-01	1.046e-02	9.279e-02	1.222e-02	1.054e-01
0.30	7.746e-03	6.614e-02	4.837e-03	3.433e-02	7.030e-03	6.922e-02	7.374e-03	5.767e-02	9.179e-03	6.717e-02
0.35	5.857e-03	4.206e-02	3.774e-03	1.957e-02	5.025e-03	4.436e-02	5.452e-03	3.585e-02	7.096e-03	4.283e-02
0.40	4.558e-03	2.675e-02	2.999e-03	1.116e-02	3.716e-03	2.842e-02	4.187e-03	2.228e-02	5.604e-03	2.730e-02
0.45	3.629e-03	1.701e-02	2.420e-03	6.360e-03	2.832e-03	1.821e-02	3.324e-03	1.385e-02	4.507e-03	1.741e-02
0.50	2.952e-03	1.082e-02	1.991e-03	3.626e-03	2.212e-03	1.167e-02	2.719e-03	8.609e-03	3.692e-03	1.110e-02
0.55	2.437e-03	6.878e-03	1.656e-03	2.067e-03	1.762e-03	7.478e-03	2.268e-03	5.351e-03	3.060e-03	7.077e-03
0.60	2.028e-03	4.374e-03	1.388e-03	1.178e-03	1.428e-03	4.792e-03	1.920e-03	3.326e-03	2.551e-03	4.512e-03
0.65	1.699e-03	2.781e-03	1.169e-03	6.718e-04	1.168e-03	3.071e-03	1.642e-03	2.068e-03	2.138e-03	2.877e-03
0.70	1.434e-03	1.769e-03	9.846e-04	3.830e-04	9.642e-04	1.968e-03	1.411e-03	1.285e-03	1.801e-03	1.834e-03
0.75	1.213e-03	1.125e-03	8.279e-04	2.183e-04	7.956e-04	1.261e-03	1.214e-03	7.988e-04	1.526e-03	1.169e-03
0.80	1.033e-03	7.153e-04	7.020e-04	1.245e-04	6.584e-04	8.079e-04	1.057e-03	4.965e-04	1.301e-03	7.455e-04
0.85	8.820e-04	4.549e-04	5.973e-04	7.095e-05	5.471e-04	5.177e-04	9.285e-04	3.086e-04	1.115e-03	4.753e-04
0.90	7.537e-04	2.893e-04	5.122e-04	4.045e-05	4.558e-04	3.317e-04	8.146e-04	1.918e-04	9.608e-04	3.031e-04
0.95	6.438e-04	1.840e-04	4.391e-04	2.306e-05	3.793e-04	2.126e-04	7.125e-04	1.192e-04	8.277e-04	1.932e-04
1.00	5.505e-04	1.170e-04	3.773e-04	1.315e-05	3.188e-04	1.362e-04	6.286e-04	7.412e-05	7.127e-04	1.232e-04
1.05	4.695e-04	7.439e-05	3.260e-04	7.494e-06	2.708e-04	8.728e-05	5.572e-04	4.607e-05	6.153e-04	7.854e-05
1.10	3.987e-04	4.731e-05	2.834e-04	4.272e-06	2.304e-04	5.593e-05	4.961e-04	2.864e-05	5.291e-04	5.008e-05
1.15	3.406e-04	3.008e-05	2.457e-04	2.436e-06	1.970e-04	3.584e-05	4.404e-04	1.780e-05	4.548e-04	3.193e-05
1.20	2.876e-04	1.913e-05	2.120e-04	1.388e-06	1.680e-04	2.296e-05	3.882e-04	1.106e-05	3.883e-04	2.036e-05
1.25	2.428e-04	1.217e-05	1.820e-04	7.915e-07	1.418e-04	1.471e-05	3.397e-04	6.877e-06	3.311e-04	1.298e-05
1.30	2.064e-04	7.736e-06	1.570e-04	4.512e-07	1.175e-04	9.429e-06	2.959e-04	4.275e-06	2.871e-04	8.275e-06
1.35	1.739e-04	4.920e-06	1.341e-04	2.573e-07	9.512e-05	6.042e-06	2.552e-04	2.657e-06	2.483e-04	5.276e-06
1.40	1.463e-04	3.129e-06	1.134e-04	1.467e-07	7.689e-05	3.872e-06	2.214e-04	1.652e-06	2.143e-04	3.364e-06
1.45	1.242e-04	1.990e-06	9.522e-05	8.361e-08	6.252e-05	2.481e-06	1.917e-04	1.027e-06	1.871e-04	2.145e-06
1.50	1.048e-04	1.265e-06	7.998e-05	4.766e-08	5.100e-05	1.590e-06	1.640e-04	6.381e-07	1.634e-04	1.367e-06
1.55	9.016e-05	8.046e-07	6.754e-05	2.717e-08	4.188e-05	1.019e-06	1.389e-04	3.966e-07	1.441e-04	8.718e-07
1.60	7.856e-05	5.117e-07	5.723e-05	1.549e-08	3.476e-05	6.527e-07	1.164e-04	2.465e-07	1.279e-04	5.558e-07
1.65	6.830e-05	3.254e-07	4.881e-05	8.831e-09	2.859e-05	4.183e-07	9.565e-05	1.532e-07	1.138e-04	3.544e-07
1.70	5.884e-05	2.069e-07	4.128e-05	5.034e-09	2.301e-05	2.680e-07	7.603e-05	9.525e-08	1.010e-04	2.259e-07
1.75	5.000e-05	1.316e-07	3.455e-05	2.870e-09	1.789e-05	1.717e-07	5.816e-05	5.921e-08	8.915e-05	1.441e-07
1.80	4.218e-05	8.368e-08	2.844e-05	1.636e-09	1.408e-05	1.100e-07	4.273e-05	3.680e-08	7.846e-05	9.184e-08
1.85	3.504e-05	5.321e-08	2.318e-05	9.327e-10	1.132e-05	7.052e-08	3.064e-05	2.288e-08	6.893e-05	5.856e-08
1.90	2.864e-05	3.384e-08	1.842e-05	5.317e-10	9.200e-06	4.518e-08	2.303e-05	1.422e-08	6.000e-05	3.733e-08
1.95	2.326e-05	2.152e-08	1.454e-05	3.031e-10	7.255e-06	2.895e-08	1.702e-05	8.838e-09	5.223e-05	2.380e-08
2.00	1.873e-05	1.368e-08	1.137e-05	1.728e-10	5.529e-06	1.855e-08	1.218e-05	5.494e-09	4.547e-05	1.518e-08
2.05	1.608e-05	8.702e-09	9.353e-06	9.852e-11	4.442e-06	1.189e-08	9.576e-06	3.415e-09	4.047e-05	9.676e-09
2.10	1.427e-05	5.534e-09	7.806e-06	5.616e-11	3.591e-06	7.618e-09	7.921e-06	2.123e-09	3.645e-05	6.169e-09
2.15	1.273e-05	3.519e-09	6.429e-06	3.202e-11	2.902e-06	4.881e-09	6.651e-06	1.319e-09	3.278e-05	3.933e-09
2.20	1.139e-05	2.238e-09	5.393e-06	1.825e-11	2.331e-06	3.128e-09	5.768e-06	8.201e-10	2.949e-05	2.508e-09
2.25	1.021e-05	1.423e-09	4.542e-06	1.041e-11	1.850e-06	2.004e-09	5.029e-06	5.097e-10	2.648e-05	1.599e-09
2.30	9.186e-06	9.050e-10	3.834e-06	5.932e-12	1.549e-06	1.284e-09	4.485e-06	3.168e-10	2.397e-05	1.019e-09
2.35	8.209e-06	5.755e-10	3.305e-06	3.382e-12	1.312e-06	8.230e-10	4.010e-06	1.969e-10	2.172e-05	6.499e-10
2.40	7.327e-06	3.660e-10	2.890e-06	1.928e-12	1.075e-06	5.273e-10	3.535e-06	1.224e-10	1.959e-05	4.144e-10
2.45	6.513e-06	2.327e-10	2.500e-06	1.099e-12	8.372e-07	3.379e-10	3.120e-06	7.609e-11	1.782e-05	2.642e-10
2.50	5.854e-06	1.480e-10	2.144e-06	6.266e-13	6.070e-07	2.165e-10	2.764e-06	4.730e-11	1.622e-05	1.684e-10
2.55	5.381e-06	9.412e-11	1.788e-06	3.572e-13	4.290e-07	1.387e-10	2.408e-06	2.940e-11	1.482e-05	1.074e-10
2.60	5.023e-06	5.985e-11	1.435e-06	2.036e-13	2.509e-07	8.891e-11	2.082e-06	1.827e-11	1.351e-05	6.847e-11
2.65	4.667e-06	3.806e-11	1.138e-06	1.161e-13	1.130e-07	5.697e-11	1.785e-06	1.136e-11	1.229e-05	4.366e-11
2.70	4.311e-06	2.420e-11	8.845e-07	6.618e-14	5.366e-08	3.651e-11	1.489e-06	7.060e-12	1.119e-05	2.783e-11
2.75	3.955e-06	1.539e-11	8.204e-07	3.773e-14	0.000e+00	2.339e-11	1.303e-06	4.389e-12	1.029e-05	1.775e-11
2.80	3.599e-06	9.788e-12	7.610e-07	2.151e-14	0.000e+00	1.499e-11	1.125e-06	2.728e-12	9.429e-06	1.131e-11
2.85	3.243e-06	6.225e-12	7.017e-07	1.226e-14	0.000e+00	9.605e-12	9.829e-07	1.696e-12	8.599e-06	7.214e-12
2.90	2.931e-06	3.958e-12	6.424e-07	6.990e-15	0.000e+00	6.155e-12	8.642e-07	1.054e-12	7.783e-06	4.599e-12
2.95	2.634e-06	2.517e-12	5.830e-07	3.985e-15	0.000e+00	3.944e-12	7.456e-07	6.551e-13	7.012e-06	2.932e-12
3.00	2.338e-06	1.601e-12	5.237e-07	2.272e-15	0.000e+00	2.527e-12	6.269e-07	4.072e-13	6.257e-06	1.870e-12
3.05	2.041e-06	1.018e-12	4.643e-07	1.295e-15	0.000e+00	1.619e-12	5.082e-07	2.531e-13	5.574e-06	1.192e-12
3.10	1.744e-06	6.474e-13	4.050e-07	7.383e-16	0.000e+00	1.038e-12	3.895e-07	1.573e-13	5.050e-06	7.600e-13
3.15	1.503e-06	4.117e-13	3.457e-07	4.209e-16	0.000e+00	6.649e-13	3.075e-07	9.779e-14	4.620e-06	4.845e-13
3.20	1.265e-06	2.618e-13	2.863e-07	2.399e-16	0.000e+00	4.260e-13	2.482e-07	6.078e-14	4.222e-06	3.089e-13
3.25	1.078e-06	1.665e-13	2.270e-07	1.368e-16	0.000e+00	2.730e-13	1.888e-07	3.778e-14	3.866e-06	1.970e-13
3.30	9.000e-07	1.059e-13	1.676e-07	7.798e-17	0.000e+00	1.749e-13	1.295e-07	2.348e-14	3.510e-06	1.256e-13
3.35	7.220e-07	6.732e-14	1.083e-07	4.446e-17	0.000e+00	1.121e-13	7.015e-08	1.460e-14	3.154e-06	8.007e-14
3.40	5.440e-07	4.281e-14	4.896e-08	2.534e-17	0.000e+00	7.183e-14	1.081e-08	9.073e-15	2.826e-06	5.105e-14
3.45	3.659e-07	2.723e-14	0.000e+00	1.445e-17	0.000e+00	4.603e-14	0.000e+00	5.640e-15	2.529e-06	3.255e-14
3.50	1.879e-07	1.731e-14	0.000e+00	8.236e-18	0.000e+00	2.949e-14	0.000e+00	3.506e-15	2.282e-06	2.075e-14
3.55	2.517e-08	1.101e-14	0.000e+00	4.695e-18	0.000e+00	1.890e-14	0.000e+00	2.179e-15	2.044e-06	1.323e-14
3.60	0.000e+00	7.002e-15	0.000e+00	2.677e-18	0.000e+00	1.211e-14	0.000e+00	1.354e-15	1.864e-06	8.435e-15
3.65	0.000e+00	4.453e-15	0.000e+00	1.526e-18	0.000e+00	7.760e-15	0.000e+00	8.419e-16	1.799e-06	5.378e-15
3.70	0.000e+00	2.831e-15	0.000e+00	8.700e-19	0.000e+00	4.972e-15	0.000e+00	5.233e-16	1.740e-06	3.429e-15
3.75	0.000e+00	1.801e-15	0.000e+00	4.959e-19	0.000e+00	3.186e-15	0.000e+00	3.253e-16	1.680e-06	2.186e-15
3.80	0.000e+00	1.145e-15	0.000e+00	2.827e-19	0.000e+00	2.042e-15	0.000e+00	2.022e-16	1.621e-06	1.394e-15
3.85	0.000e+00	7.282e-16	0.000e+00	1.612e-19	0.000e+00	1.308e-15	0.000e+00	1.257e-16	1.562e-06	8.887e-16
3.90	0.000e+00	4.631e-16	0.000e+00	9.189e-20	0.000e+00	8.383e-16	0.000e+00	7.812e-17	1.502e-06	5.666e-16
3.95	0.000e+00	2.945e-16	0.000e+00	5.238e-20	0.000e+00	5.372e-16	0.000e+00	4.856e-17	1.443e-06	3.612e-16
4.00	0.000e+00	1.873e-16	0.000e+00	2.986e-20	0.000e+00	3.442e-16	0.000e+00	3.018e-17	1.384e-06	2.303e-16
4.05	0.000e+00	1.191e-16	0.000e+00	1.702e-20	0.000e+00	2.206e-16	0.000e+00	1.876e-17	1.324e-06	1.468e-16
4.10	0.000e+00	7.573e-17	0.000e+00	9.705e-21	0.000e+00	1.413e-16	0.000e+00	1.166e-17	1.265e-06	9.362e-17
4.15	0.000e+00	4.816e-17	0.000e+00	5.533e-21	0.000e+00	9.056e-17	0.000e+00	7.248e-18	1.206e-06	5.969e-17
4.20	0.000e+00	3.062e-17	0.000e+00	3.154e-21	0.000e+00	5.803e-17	0.000e+00	4.505e-18	1.146e-06	3.806e-17
4.25	0.000e+00	1.947e-17	0.000e+00	1.798e-21	0.000e+00	3.719e-17	0.000e+00	2.800e-18	1.087e-06	2.426e-17
4.30	0.000e+00	1.238e-17	0.000e+00	1.025e-21	0.000e+00	2.383e-17	0.000e+00	1.741e-18	1.028e-06	1.547e-17
4.35	0.000e+00	7.876e-18	0.000e+00	5.844e-22	0.000e+00	1.527e-17	0.000e+00	1.082e-18	9.682e-07	9.863e-18
