# TABLE_A gap x screen surface; bootstrap unit=trio child; B=1000 seed=17 CI=2.5-97.5pct screen_gap=1
table	pop	gap_tol	screen	n_children	Lstar_Mb	CI_lo_Mb	CI_hi_Mb	n_nonconverge
A	EUR	0	all	103	0.85	0.80	0.95	0
A	EUR	0	screened	69	0.75	0.75	0.80	0
A	EUR	1	all	103	1.75	1.60	1.90	0
A	EUR	1	screened	69	1.55	1.50	1.60	0
A	EUR	2	all	103	3.05	2.80	3.35	0
A	EUR	2	screened	69	2.75	2.60	2.95	0
A	AFR	0	all	196	0.95	0.85	1.00	0
A	AFR	0	screened	183	0.80	0.80	0.85	0
A	AFR	1	all	196	1.90	1.75	2.20	0
A	AFR	1	screened	183	1.65	1.60	1.70	0
A	AFR	2	all	196	3.00	2.75	3.40	0
A	AFR	2	screened	183	2.55	2.45	2.65	0
A	EAS	0	all	70	0.80	0.70	1.00	0
A	EAS	0	screened	49	0.70	0.65	0.75	0
A	EAS	1	all	70	1.75	1.55	2.50	0
A	EAS	1	screened	49	1.55	1.50	1.65	0
A	EAS	2	all	70	2.95	2.50	4.05	0
A	EAS	2	screened	49	2.60	2.40	2.80	0
A	SAS	0	all	82	2.50	1.70	3.25	0
A	SAS	0	screened	50	0.80	0.75	0.80	0
A	SAS	1	all	82	7.75	3.90	10.55	1
A	SAS	1	screened	50	1.60	1.55	1.70	0
A	SAS	2	all	82	inf	5.05	12.05	623
A	SAS	2	screened	50	2.55	2.40	2.70	0
A	AMR	0	all	137	1.30	1.15	1.60	0
A	AMR	0	screened	44	0.85	0.80	0.90	0
A	AMR	1	all	137	2.80	2.30	3.65	0
A	AMR	1	screened	44	1.65	1.60	1.80	0
A	AMR	2	all	137	4.30	3.65	5.10	0
A	AMR	2	screened	44	2.75	2.50	3.05	0
# TABLE_B screen-cutoff sweep at gap=1; n_retained shows how many children survive each F_ROH cutoff
table	pop	OUTLIER_F	screen	n_retained	Lstar_Mb	CI_lo_Mb	CI_hi_Mb	n_nonconverge
B	EUR	none	-	103	1.75	1.60	1.90	0
B	EUR	0.0500	-	103	1.75	1.60	1.90	0
B	EUR	0.0156	-	69	1.55	1.50	1.60	0
B	EUR	0.0050	-	0	nan	nan	nan	0
B	AFR	none	-	196	1.90	1.75	2.20	0
B	AFR	0.0500	-	196	1.90	1.75	2.15	0
B	AFR	0.0156	-	183	1.65	1.60	1.70	0
B	AFR	0.0050	-	0	nan	nan	nan	0
B	EAS	none	-	70	1.75	1.55	2.35	0
B	EAS	0.0500	-	69	1.60	1.55	1.65	0
B	EAS	0.0156	-	49	1.55	1.50	1.65	0
B	EAS	0.0050	-	0	nan	nan	nan	0
B	SAS	none	-	82	7.75	4.10	10.40	1
B	SAS	0.0500	-	77	3.20	2.25	5.35	0
B	SAS	0.0156	-	50	1.60	1.55	1.70	0
B	SAS	0.0050	-	0	nan	nan	nan	0
B	AMR	none	-	137	2.80	2.30	3.65	0
B	AMR	0.0500	-	135	2.45	2.15	2.90	0
B	AMR	0.0156	-	44	1.65	1.55	1.80	0
B	AMR	0.0050	-	0	nan	nan	nan	0
