platform	pop	density	n	L_all	L_abs_screen	L_qmatch_screen
WGS_full	EUR	2182	103	1.750	1.550	1.550
WGS_full	AFR	3071	196	1.900	1.650	1.650
WGS_full	EAS	2015	70	1.750	1.550	1.550
WGS_full	SAS	2234	82	7.750	1.600	1.600
WGS_full	AMR	2243	137	2.800	1.650	1.650
CytoSNP-850K	EUR	215	103	1.800	1.250	1.600
CytoSNP-850K	AFR	224	196	2.050	1.450	1.500
CytoSNP-850K	EAS	197	70	2.000	nan	1.700
CytoSNP-850K	SAS	215	82	inf	1.250	1.450
CytoSNP-850K	AMR	218	137	4.000	1.450	1.750
GSA-24v3	EUR	94	103	2.100	nan	1.900
GSA-24v3	AFR	106	196	2.300	nan	1.850
GSA-24v3	EAS	96	70	2.350	nan	2.000
GSA-24v3	SAS	106	82	inf	nan	2.000
GSA-24v3	AMR	103	137	4.100	nan	2.250
MEGA	EUR	208	103	1.800	nan	1.650
MEGA	AFR	231	196	2.850	2.000	2.250
MEGA	EAS	185	70	2.050	nan	1.700
MEGA	SAS	205	82	inf	1.300	1.700
MEGA	AMR	210	137	3.950	1.550	1.850
CytoSNP-850K_proxy	EUR	215	103	2.100	nan	1.950
CytoSNP-850K_proxy	AFR	224	196	1.950	1.450	1.500
CytoSNP-850K_proxy	EAS	197	70	2.200	nan	1.900
CytoSNP-850K_proxy	SAS	215	82	inf	nan	2.050
CytoSNP-850K_proxy	AMR	218	137	3.850	nan	2.100
GSA-24v3_proxy	EUR	94	103	2.200	nan	2.050
GSA-24v3_proxy	AFR	106	196	2.200	1.450	1.700
GSA-24v3_proxy	EAS	96	70	2.450	nan	2.150
GSA-24v3_proxy	SAS	106	82	inf	nan	2.450
GSA-24v3_proxy	AMR	103	137	3.900	nan	2.300
MEGA_proxy	EUR	208	103	2.100	nan	1.900
MEGA_proxy	AFR	231	196	2.000	1.450	1.500
MEGA_proxy	EAS	185	70	2.250	nan	1.900
MEGA_proxy	SAS	205	82	inf	nan	2.050
MEGA_proxy	AMR	210	137	3.850	nan	2.050
