L_Mb	PJL_pchance_all	PJL_pchance_clean	PJL_log10BF_clean	STU_pchance_all	STU_pchance_clean	STU_log10BF_clean	BEB_pchance_all	BEB_pchance_clean	BEB_log10BF_clean	ITU_pchance_all	ITU_pchance_clean	ITU_log10BF_clean
0.1	1.497874e-01	1.332170e-01	0.441	1.378020e-01	1.346774e-01	0.436	1.336572e-01	1.328805e-01	0.442	1.390997e-01	1.344691e-01	0.437
0.15	1.077771e-01	9.074157e-02	0.608	9.535327e-02	9.202201e-02	0.602	9.099703e-02	9.027504e-02	0.610	9.685856e-02	9.143983e-02	0.604
0.2	8.230540e-02	6.520571e-02	0.751	6.962312e-02	6.619281e-02	0.745	6.535150e-02	6.465172e-02	0.755	7.143704e-02	6.608091e-02	0.745
0.25	6.578249e-02	4.878527e-02	0.877	5.287786e-02	4.940254e-02	0.872	4.885930e-02	4.820203e-02	0.882	5.493337e-02	4.965759e-02	0.870
0.3	5.439470e-02	3.752454e-02	0.991	4.136732e-02	3.787569e-02	0.987	3.757610e-02	3.694513e-02	0.998	4.362822e-02	3.833043e-02	0.982
0.35	4.620162e-02	2.950680e-02	1.096	3.312468e-02	2.967852e-02	1.093	2.953900e-02	2.893790e-02	1.104	3.551827e-02	3.022396e-02	1.085
0.4	4.014980e-02	2.370346e-02	1.191	2.716732e-02	2.375658e-02	1.190	2.367407e-02	2.310343e-02	1.202	2.962020e-02	2.423489e-02	1.181
0.45	3.555649e-02	1.942793e-02	1.277	2.269248e-02	1.933071e-02	1.279	1.929293e-02	1.874996e-02	1.292	2.517604e-02	1.972813e-02	1.270
0.5	3.199760e-02	1.619498e-02	1.356	1.925888e-02	1.592424e-02	1.363	1.598129e-02	1.545991e-02	1.376	2.172482e-02	1.634448e-02	1.352
0.55	2.919681e-02	1.370183e-02	1.429	1.657619e-02	1.326232e-02	1.443	1.341317e-02	1.291871e-02	1.454	1.901868e-02	1.381556e-02	1.425
0.6	2.693532e-02	1.171682e-02	1.497	1.446623e-02	1.117882e-02	1.517	1.139075e-02	1.092349e-02	1.527	1.691668e-02	1.181841e-02	1.493
0.65	2.505042e-02	1.009085e-02	1.562	1.273575e-02	9.499101e-03	1.588	9.758501e-03	9.314360e-03	1.596	1.518989e-02	1.016144e-02	1.559
0.7	2.349028e-02	8.787843e-03	1.622	1.128920e-02	8.116443e-03	1.656	8.436052e-03	8.010840e-03	1.662	1.381823e-02	8.850783e-03	1.619
0.75	2.216336e-02	7.726118e-03	1.678	1.009658e-02	7.009479e-03	1.720	7.335813e-03	6.929146e-03	1.725	1.269382e-02	7.784968e-03	1.674
0.8	2.101638e-02	6.836099e-03	1.731	9.078819e-03	6.080543e-03	1.782	6.430342e-03	6.039534e-03	1.784	1.174145e-02	6.897346e-03	1.727
0.85	2.001522e-02	6.089253e-03	1.781	8.219376e-03	5.296764e-03	1.841	5.670532e-03	5.297064e-03	1.841	1.095430e-02	6.200850e-03	1.773
0.9	1.912838e-02	5.449253e-03	1.829	7.489136e-03	4.642044e-03	1.899	5.028805e-03	4.674482e-03	1.896	1.028979e-02	5.620935e-03	1.816
0.95	1.833650e-02	4.903366e-03	1.875	6.863996e-03	4.101896e-03	1.953	4.489496e-03	4.153319e-03	1.947	9.717467e-03	5.135883e-03	1.855
1.0	1.762949e-02	4.440869e-03	1.918	6.302750e-03	3.625086e-03	2.006	4.033197e-03	3.714301e-03	1.996	9.186782e-03	4.681565e-03	1.895
1.05	1.698764e-02	4.037233e-03	1.959	5.817650e-03	3.228191e-03	2.057	3.637400e-03	3.335559e-03	2.042	8.723667e-03	4.288912e-03	1.933
1.1	1.639601e-02	3.672221e-03	2.001	5.381215e-03	2.877226e-03	2.107	3.287840e-03	3.000849e-03	2.088	8.295662e-03	3.925972e-03	1.972
1.15	1.585279e-02	3.352335e-03	2.040	4.985854e-03	2.569407e-03	2.156	2.981632e-03	2.705335e-03	2.133	7.887785e-03	3.606728e-03	2.008
1.2	1.535120e-02	3.064463e-03	2.079	4.630134e-03	2.295905e-03	2.205	2.710183e-03	2.446985e-03	2.177	7.495665e-03	3.315688e-03	2.045
