L_Mb	EUR_pchance_clean	EUR_log10BF_clean	AFR_pchance_clean	AFR_log10BF_clean	EAS_pchance_clean	EAS_log10BF_clean	SAS_pchance_clean	SAS_log10BF_clean	AMR_pchance_clean	AMR_log10BF_clean
0.10	8.459e-02	0.64	4.517e-02	0.91	1.025e-01	0.55	8.229e-02	0.65	8.342e-02	0.64
0.15	5.006e-02	0.87	2.625e-02	1.15	6.191e-02	0.77	4.827e-02	0.88	4.880e-02	0.88
0.20	3.096e-02	1.07	1.595e-02	1.36	3.861e-02	0.98	2.934e-02	1.10	2.981e-02	1.09
0.25	2.025e-02	1.26	9.974e-03	1.57	2.515e-02	1.17	1.836e-02	1.30	1.902e-02	1.29
0.30	1.359e-02	1.43	6.559e-03	1.75	1.707e-02	1.33	1.212e-02	1.48	1.250e-02	1.47
0.35	9.573e-03	1.58	4.523e-03	1.91	1.218e-02	1.48	8.208e-03	1.65	8.326e-03	1.65
0.40	6.901e-03	1.73	3.237e-03	2.06	8.830e-03	1.62	5.784e-03	1.80	5.775e-03	1.80
0.45	4.937e-03	1.87	2.413e-03	2.18	6.429e-03	1.76	4.120e-03	1.95	3.965e-03	1.97
0.50	3.526e-03	2.02	1.776e-03	2.32	4.703e-03	1.89	2.982e-03	2.09	2.751e-03	2.13
0.55	2.542e-03	2.16	1.299e-03	2.45	3.439e-03	2.03	2.134e-03	2.24	1.957e-03	2.27
0.60	1.840e-03	2.30	9.332e-04	2.60	2.428e-03	2.18	1.522e-03	2.38	1.422e-03	2.41
0.65	1.309e-03	2.45	6.512e-04	2.75	1.669e-03	2.34	1.045e-03	2.55	1.009e-03	2.56
0.70	8.575e-04	2.63	4.280e-04	2.93	1.018e-03	2.56	6.779e-04	2.73	6.777e-04	2.73
0.75	5.180e-04	2.85	2.766e-04	3.12	5.438e-04	2.83	4.272e-04	2.93	4.143e-04	2.95
0.80	3.049e-04	3.08	1.781e-04	3.31	2.929e-04	3.10	2.399e-04	3.19	2.311e-04	3.20
0.85	1.508e-04	3.39	9.157e-05	3.60	1.365e-04	3.43	1.139e-04	3.51	1.133e-04	3.51
0.90	3.722e-05	3.99	2.934e-05	4.10	5.237e-05	3.85	1.942e-05	4.28	3.666e-05	4.00
0.95	7.808e-06	4.67	4.294e-06	4.93	7.906e-06	4.67	0.000e+00	11.57	3.417e-06	5.03
1.00	0.000e+00	11.57	0.000e+00	11.57	0.000e+00	11.57	0.000e+00	11.57	0.000e+00	11.57
1.05	0.000e+00	11.57	0.000e+00	11.57	0.000e+00	11.57	0.000e+00	11.57	0.000e+00	11.57
1.10	0.000e+00	11.57	0.000e+00	11.57	0.000e+00	11.57	0.000e+00	11.57	0.000e+00	11.57
1.15	0.000e+00	11.57	0.000e+00	11.57	0.000e+00	11.57	0.000e+00	11.57	0.000e+00	11.57
1.20	0.000e+00	11.57	0.000e+00	11.57	0.000e+00	11.57	0.000e+00	11.57	0.000e+00	11.57
1.25	0.000e+00	11.57	0.000e+00	11.57	0.000e+00	11.57	0.000e+00	11.57	0.000e+00	11.57
1.30	0.000e+00	11.57	0.000e+00	11.57	0.000e+00	11.57	0.000e+00	11.57	0.000e+00	11.57
1.35	0.000e+00	11.57	0.000e+00	11.57	0.000e+00	11.57	0.000e+00	11.57	0.000e+00	11.57
1.40	0.000e+00	11.57	0.000e+00	11.57	0.000e+00	11.57	0.000e+00	11.57	0.000e+00	11.57
1.45	0.000e+00	11.57	0.000e+00	11.57	0.000e+00	11.57	0.000e+00	11.57	0.000e+00	11.57
1.50	0.000e+00	11.57	0.000e+00	11.57	0.000e+00	11.57	0.000e+00	11.57	0.000e+00	11.57
1.55	0.000e+00	11.57	0.000e+00	11.57	0.000e+00	11.57	0.000e+00	11.57	0.000e+00	11.57
1.60	0.000e+00	11.57	0.000e+00	11.57	0.000e+00	11.57	0.000e+00	11.57	0.000e+00	11.57
1.65	0.000e+00	11.57	0.000e+00	11.57	0.000e+00	11.57	0.000e+00	11.57	0.000e+00	11.57
1.70	0.000e+00	11.57	0.000e+00	11.57	0.000e+00	11.57	0.000e+00	11.57	0.000e+00	11.57
1.75	0.000e+00	11.57	0.000e+00	11.57	0.000e+00	11.57	0.000e+00	11.57	0.000e+00	11.57
1.80	0.000e+00	11.57	0.000e+00	11.57	0.000e+00	11.57	0.000e+00	11.57	0.000e+00	11.57
1.85	0.000e+00	11.57	0.000e+00	11.57	0.000e+00	11.57	0.000e+00	11.57	0.000e+00	11.57
1.90	0.000e+00	11.57	0.000e+00	11.57	0.000e+00	11.57	0.000e+00	11.57	0.000e+00	11.57
1.95	0.000e+00	11.57	0.000e+00	11.57	0.000e+00	11.57	0.000e+00	11.57	0.000e+00	11.57
2.00	0.000e+00	11.57	0.000e+00	11.57	0.000e+00	11.57	0.000e+00	11.57	0.000e+00	11.57
2.05	0.000e+00	11.57	0.000e+00	11.57	0.000e+00	11.57	0.000e+00	11.57	0.000e+00	11.57
2.10	0.000e+00	11.57	0.000e+00	11.57	0.000e+00	11.57	0.000e+00	11.57	0.000e+00	11.57
2.15	0.000e+00	11.57	0.000e+00	11.57	0.000e+00	11.57	0.000e+00	11.57	0.000e+00	11.57
2.20	0.000e+00	11.57	0.000e+00	11.57	0.000e+00	11.57	0.000e+00	11.57	0.000e+00	11.57
2.25	0.000e+00	11.57	0.000e+00	11.57	0.000e+00	11.57	0.000e+00	11.57	0.000e+00	11.57
2.30	0.000e+00	11.57	0.000e+00	11.57	0.000e+00	11.57	0.000e+00	11.57	0.000e+00	11.57
2.35	0.000e+00	11.57	0.000e+00	11.57	0.000e+00	11.57	0.000e+00	11.57	0.000e+00	11.57
2.40	0.000e+00	11.57	0.000e+00	11.57	0.000e+00	11.57	0.000e+00	11.57	0.000e+00	11.57
2.45	0.000e+00	11.57	0.000e+00	11.57	0.000e+00	11.57	0.000e+00	11.57	0.000e+00	11.57
2.50	0.000e+00	11.57	0.000e+00	11.57	0.000e+00	11.57	0.000e+00	11.57	0.000e+00	11.57
2.55	0.000e+00	11.57	0.000e+00	11.57	0.000e+00	11.57	0.000e+00	11.57	0.000e+00	11.57
2.60	0.000e+00	11.57	0.000e+00	11.57	0.000e+00	11.57	0.000e+00	11.57	0.000e+00	11.57
2.65	0.000e+00	11.57	0.000e+00	11.57	0.000e+00	11.57	0.000e+00	11.57	0.000e+00	11.57
2.70	0.000e+00	11.57	0.000e+00	11.57	0.000e+00	11.57	0.000e+00	11.57	0.000e+00	11.57
2.75	0.000e+00	11.57	0.000e+00	11.57	0.000e+00	11.57	0.000e+00	11.57	0.000e+00	11.57
2.80	0.000e+00	11.57	0.000e+00	11.57	0.000e+00	11.57	0.000e+00	11.57	0.000e+00	11.57
2.85	0.000e+00	11.57	0.000e+00	11.57	0.000e+00	11.57	0.000e+00	11.57	0.000e+00	11.57
2.90	0.000e+00	11.57	0.000e+00	11.57	0.000e+00	11.57	0.000e+00	11.57	0.000e+00	11.57
2.95	0.000e+00	11.57	0.000e+00	11.57	0.000e+00	11.57	0.000e+00	11.57	0.000e+00	11.57
3.00	0.000e+00	11.57	0.000e+00	11.57	0.000e+00	11.57	0.000e+00	11.57	0.000e+00	11.57
