pop	child_idx	ROH_ge1Mb_Mb	span_Mb	F_ROH	flag
EUR	0	27.16	2808.7	0.00967	ok
EUR	1	38.63	2808.7	0.01375	ok
EUR	2	38.52	2808.7	0.01372	ok
EUR	3	35.79	2808.7	0.01274	ok
EUR	4	41.56	2808.7	0.0148	ok
EUR	5	47.46	2808.7	0.0169	outlier
EUR	6	56.03	2808.7	0.01995	outlier
EUR	7	42.56	2808.7	0.01515	ok
EUR	8	34.11	2808.7	0.01215	ok
EUR	9	42.42	2808.7	0.0151	ok
EUR	10	48.83	2808.7	0.01738	outlier
EUR	11	32.95	2808.7	0.01173	ok
EUR	12	50.02	2808.7	0.01781	outlier
EUR	13	34.96	2808.7	0.01245	ok
EUR	14	39.59	2808.7	0.01409	ok
EUR	15	36.82	2808.7	0.01311	ok
EUR	16	54.35	2808.7	0.01935	outlier
EUR	17	41.34	2808.7	0.01472	ok
EUR	18	34.76	2808.7	0.01238	ok
EUR	19	38.78	2808.7	0.01381	ok
EUR	20	30.48	2808.7	0.01085	ok
EUR	21	54.46	2808.7	0.01939	outlier
EUR	22	32.98	2808.7	0.01174	ok
EUR	23	49.69	2808.7	0.01769	outlier
EUR	24	40.92	2808.7	0.01457	ok
EUR	25	37.9	2808.7	0.01349	ok
EUR	26	44.26	2808.7	0.01576	outlier
EUR	27	42.84	2808.7	0.01525	ok
EUR	28	43.2	2808.7	0.01538	ok
EUR	29	40.01	2808.7	0.01424	ok
EUR	30	40.4	2808.7	0.01438	ok
EUR	31	42.78	2808.7	0.01523	ok
EUR	32	55.04	2808.7	0.01959	outlier
EUR	33	45.93	2808.7	0.01635	outlier
EUR	34	46.38	2808.7	0.01651	outlier
EUR	35	47.15	2808.7	0.01679	outlier
EUR	36	52.73	2808.7	0.01877	outlier
EUR	37	48.23	2808.7	0.01717	outlier
EUR	38	33.68	2808.7	0.01199	ok
EUR	39	38.05	2808.7	0.01355	ok
EUR	40	40.01	2808.7	0.01424	ok
EUR	41	33.85	2808.7	0.01205	ok
EUR	42	45.24	2808.7	0.01611	outlier
EUR	43	71.38	2808.7	0.02542	outlier
EUR	44	38.56	2808.7	0.01373	ok
EUR	45	40.51	2808.7	0.01442	ok
EUR	46	29.37	2808.7	0.01046	ok
EUR	47	36.19	2808.7	0.01288	ok
EUR	48	47.6	2808.7	0.01695	outlier
EUR	49	45.26	2808.7	0.01611	outlier
EUR	50	35.96	2808.7	0.0128	ok
EUR	51	31.03	2808.7	0.01105	ok
EUR	52	48.4	2808.7	0.01723	outlier
EUR	53	37.86	2808.7	0.01348	ok
EUR	54	37.91	2808.7	0.0135	ok
EUR	55	38.31	2808.7	0.01364	ok
EUR	56	32.44	2808.7	0.01155	ok
EUR	57	46.55	2808.7	0.01657	outlier
EUR	58	40.47	2808.7	0.01441	ok
EUR	59	48.87	2808.7	0.0174	outlier
EUR	60	45.16	2808.7	0.01608	outlier
EUR	61	30.32	2808.7	0.01079	ok
EUR	62	43.47	2808.7	0.01548	ok
EUR	63	41.83	2808.7	0.01489	ok
EUR	64	40.92	2808.7	0.01457	ok
EUR	65	43.35	2808.7	0.01543	ok
EUR	66	39.52	2808.7	0.01407	ok
EUR	67	57.26	2808.7	0.02039	outlier
EUR	68	34.95	2808.7	0.01244	ok
EUR	69	24.26	2808.7	0.00864	ok
EUR	70	64.94	2808.7	0.02312	outlier
EUR	71	42.78	2808.7	0.01523	ok
EUR	72	49.14	2808.7	0.01749	outlier
EUR	73	35.84	2808.7	0.01276	ok
EUR	74	36.84	2808.7	0.01312	ok
EUR	75	34.46	2808.7	0.01227	ok
EUR	76	45.71	2808.7	0.01627	outlier
EUR	77	36.47	2808.7	0.01298	ok
EUR	78	35.35	2808.7	0.01259	ok
EUR	79	36.74	2808.7	0.01308	ok
EUR	80	37.86	2808.7	0.01348	ok
EUR	81	40.19	2808.7	0.01431	ok
EUR	82	45.35	2808.7	0.01615	outlier
EUR	83	35.49	2808.7	0.01264	ok
EUR	84	46.81	2808.7	0.01666	outlier
EUR	85	40.74	2808.7	0.0145	ok
EUR	86	35.67	2808.7	0.0127	ok
EUR	87	42.27	2808.7	0.01505	ok
EUR	88	38.66	2808.7	0.01377	ok
EUR	89	46.78	2808.7	0.01665	outlier
EUR	90	51.06	2808.7	0.01818	outlier
EUR	91	34.48	2808.7	0.01227	ok
EUR	92	43.21	2808.7	0.01538	ok
EUR	93	30.88	2808.7	0.01099	ok
EUR	94	51.28	2808.7	0.01826	outlier
EUR	95	43.31	2808.7	0.01542	ok
EUR	96	36.19	2808.7	0.01289	ok
EUR	97	33.84	2808.7	0.01205	ok
EUR	98	47.86	2808.7	0.01704	outlier
EUR	99	55.92	2808.7	0.01991	outlier
EUR	100	39.1	2808.7	0.01392	ok
EUR	101	42.9	2808.7	0.01527	ok
EUR	102	45.94	2808.7	0.01636	outlier
AFR	0	27.02	2808.7	0.00962	ok
AFR	1	23.89	2808.7	0.0085	ok
AFR	2	22.46	2808.7	0.008	ok
AFR	3	22.73	2808.7	0.00809	ok
AFR	4	22.59	2808.7	0.00804	ok
AFR	5	14.24	2808.7	0.00507	ok
AFR	6	31.97	2808.7	0.01138	ok
AFR	7	28.43	2808.7	0.01012	ok
AFR	8	33.76	2808.7	0.01202	ok
AFR	9	32.29	2808.7	0.0115	ok
AFR	10	20.98	2808.7	0.00747	ok
AFR	11	24.69	2808.7	0.00879	ok
AFR	12	22.24	2808.7	0.00792	ok
AFR	13	28.3	2808.7	0.01008	ok
AFR	14	26.96	2808.7	0.0096	ok
