chrom	window_start	window_end	n_variants	mean_2pq	cMperMb	post_L1Mb	post_L2Mb	post_L3Mb	post_L5Mb	post_L7Mb	post_L10Mb	post_L15Mb	L_for_post_0.5_Mb	L_for_post_0.9_Mb	L_for_post_0.95_Mb	L_for_post_0.99_Mb
chr1	0	1000000	5616	0.05141	0.6855	0.11642	0.12407	0.13215	0.14965	0.16901	0.20172	0.26623	29.01	NA	NA	NA
chr1	1000000	2000000	12778	0.06957	1.1979	0.12716	0.14760	0.17068	0.22526	0.29117	0.40820	0.62069	12.15	24.87	29.19	38.75
chr1	2000000	3000000	12513	0.06867	2.6358	0.15135	0.20603	0.27409	0.44426	0.62859	0.83907	0.97143	5.60	11.46	13.45	17.85
chr1	3000000	4000000	13057	0.08297	2.9523	0.16971	0.25422	0.36244	0.61256	0.81472	0.95326	0.99621	4.10	8.40	9.86	13.09
chr1	4000000	5000000	12005	0.10442	3.2568	0.20089	0.34020	0.51398	0.81647	0.94928	0.99385	0.99983	2.92	5.98	7.02	9.32
chr1	5000000	6000000	11859	0.08744	2.0616	0.15164	0.20677	0.27543	0.44704	0.63227	0.84209	0.97236	5.56	11.39	13.37	17.74
chr1	6000000	7000000	9465	0.06745	2.0322	0.14000	0.17778	0.22311	0.33626	0.47195	0.67681	0.89644	7.40	15.14	17.77	23.59
chr1	7000000	8000000	10189	0.08894	1.5773	0.14121	0.18073	0.22836	0.34753	0.48944	0.69832	0.90958	7.14	14.62	17.16	22.78
chr1	8000000	9000000	9159	0.07554	1.8165	0.14019	0.17823	0.22391	0.33798	0.47463	0.68016	0.89856	7.36	15.06	17.67	23.46
chr1	9000000	10000000	10180	0.07791	1.7185	0.13940	0.17632	0.22051	0.33068	0.46320	0.66573	0.88924	7.53	15.41	18.09	24.01
chr1	10000000	11000000	9633	0.07292	1.9801	0.14194	0.18252	0.23156	0.35439	0.49998	0.71085	0.91674	7.00	14.33	16.82	22.32
chr1	11000000	12000000	10347	0.07659	1.9923	0.14411	0.18785	0.24112	0.37484	0.53085	0.74576	0.93485	6.61	13.53	15.88	21.08
chr1	12000000	13000000	11102	0.06026	1.8808	0.13408	0.16362	0.19817	0.28288	0.38636	0.55939	0.80339	8.98	18.38	21.57	28.63
chr1	13000000	14000000	11966	0.06978	2.3007	0.14601	0.19257	0.24963	0.39296	0.55744	0.77370	0.94753	6.31	12.91	15.15	20.11
chr1	14000000	15000000	10487	0.09389	2.3422	0.16284	0.23588	0.32882	0.55236	0.75656	0.92550	0.99207	4.54	9.30	10.92	14.49
chr1	15000000	16000000	10248	0.09543	1.9596	0.15368	0.21199	0.28497	0.46660	0.65753	0.86194	0.97805	5.34	10.93	12.83	17.03
chr1	16000000	17000000	11737	0.06997	1.7975	0.13725	0.17114	0.21134	0.31103	0.43197	0.62444	0.85963	8.05	16.48	19.34	25.67
chr1	17000000	18000000	10904	0.09266	2.2922	0.16066	0.23013	0.31826	0.53240	0.73523	0.91362	0.98993	4.71	9.64	11.31	15.02
chr1	18000000	19000000	11018	0.09397	2.6340	0.17090	0.25742	0.36829	0.62249	0.82344	0.95687	0.99666	4.04	8.26	9.70	12.88
chr1	19000000	20000000	10055	0.08846	2.3132	0.15834	0.22407	0.30712	0.51084	0.71102	0.89897	0.98698	4.90	10.03	11.77	15.62
chr1	20000000	21000000	8717	0.09217	1.4207	0.13891	0.17515	0.21843	0.32623	0.45617	0.65668	0.88312	7.64	15.64	18.36	24.36
