# All-autosomes per-locus IBD posterior framework
# Population AF: EUR; Prior pi: 0.0625; Block cM: 0.5
# Total wall clock: 3010.2s

chrom	n_windows	n_variants	n_windows_decisive_at_10Mb	n_windows_with_recomb	fraction_decisive
chr1	232	1682719	4	231	0.017
chr2	243	1709269	5	243	0.021
chr3	199	1436268	11	199	0.055
chr4	191	1406483	8	191	0.042
chr5	181	1288385	6	181	0.033
chr6	171	1276646	5	171	0.029
chr7	160	1193867	5	160	0.031
chr8	146	1097885	3	146	0.021
chr9	125	914205	6	125	0.048
chr10	134	1027801	11	134	0.082
chr11	136	979189	4	136	0.029
chr12	134	951114	9	134	0.067
chr13	99	741463	11	97	0.113
chr14	90	653119	7	88	0.080
chr15	85	596370	9	80	0.113
chr16	84	673465	9	84	0.107
chr17	84	581176	11	84	0.131
chr18	81	559424	13	81	0.160
chr19	57	477938	13	57	0.228
chr20	65	470030	9	65	0.138
chr21	41	297402	4	34	0.118
chr22	39	315125	9	35	0.257
TOTAL	-	-	172	2756	0.062
