chrom	window_start	window_end	n_variants	mean_2pq	cMperMb	post_L1Mb	post_L2Mb	post_L3Mb	post_L5Mb	post_L7Mb	post_L10Mb	post_L15Mb	L_for_post_0.5_Mb	L_for_post_0.9_Mb	L_for_post_0.95_Mb	L_for_post_0.99_Mb
chr1	0	1000000	4490	0.05162	0.6855	0.02568	0.02757	0.02958	0.03405	0.03917	0.04825	0.06795	NA	NA	NA	NA
chr1	1000000	2000000	10815	0.06839	1.1979	0.02823	0.03327	0.03919	0.05417	0.07443	0.11801	0.23815	21.85	34.80	39.20	48.93
chr1	2000000	3000000	10375	0.07679	2.6358	0.03601	0.05385	0.07981	0.16764	0.31863	0.62330	0.93148	8.80	14.02	15.79	19.71
chr1	3000000	4000000	10203	0.09552	2.9523	0.04246	0.07427	0.12674	0.32201	0.60851	0.90199	0.99442	6.26	9.96	11.22	14.01
chr1	4000000	5000000	9380	0.13099	3.2568	0.05765	0.13244	0.27588	0.70350	0.93662	0.99566	0.99996	4.06	6.46	7.27	9.08
chr1	5000000	6000000	9144	0.10939	2.0616	0.03802	0.05991	0.09317	0.21079	0.40979	0.74426	0.96943	7.76	12.36	13.93	17.38
chr1	6000000	7000000	7724	0.08121	2.0322	0.03343	0.04653	0.06441	0.12053	0.21435	0.43383	0.81075	10.77	17.16	19.33	24.12
chr1	7000000	8000000	7268	0.11583	1.5773	0.03488	0.05060	0.07286	0.14594	0.27088	0.54361	0.89251	9.55	15.21	17.13	21.38
chr1	8000000	9000000	6475	0.10231	1.8165	0.03501	0.05096	0.07363	0.14831	0.27614	0.55296	0.89782	9.46	15.06	16.97	21.18
chr1	9000000	10000000	7486	0.08937	1.7185	0.03271	0.04457	0.06047	0.10912	0.18904	0.37966	0.75357	11.53	18.35	20.68	25.81
chr1	10000000	11000000	7122	0.08968	1.9801	0.03434	0.04906	0.06964	0.13611	0.24904	0.50315	0.86683	9.97	15.87	17.88	22.31
chr1	11000000	12000000	7360	0.10436	1.9923	0.03664	0.05571	0.08386	0.18054	0.34653	0.66445	0.94680	8.44	13.45	15.15	18.91
chr1	12000000	13000000	8942	0.07168	1.8808	0.03141	0.04113	0.05370	0.09032	0.14803	0.28683	0.61964	13.26	21.11	23.78	29.68
chr1	13000000	14000000	9957	0.08475	2.3007	0.03553	0.05247	0.07684	0.15827	0.29814	0.59055	0.91711	9.10	14.49	16.33	20.38
chr1	14000000	15000000	7917	0.12127	2.3422	0.04299	0.07604	0.13104	0.33614	0.62963	0.91273	0.99539	6.12	9.75	10.99	13.71
chr1	15000000	16000000	7780	0.12566	1.9596	0.03984	0.06562	0.10625	0.25405	0.49387	0.82554	0.98502	7.05	11.22	12.64	15.78
chr1	16000000	17000000	8854	0.09336	1.7975	0.03369	0.04725	0.06590	0.12490	0.22407	0.45386	0.82873	10.53	16.76	18.88	23.57
chr1	17000000	18000000	8051	0.11910	2.2922	0.04200	0.07271	0.12299	0.30967	0.58930	0.89141	0.99339	6.38	10.16	11.44	14.28
chr1	18000000	19000000	8608	0.11753	2.6340	0.04522	0.08384	0.15026	0.39765	0.71137	0.94675	0.99792	5.63	8.97	10.10	12.61
chr1	19000000	20000000	7477	0.11637	2.3132	0.04164	0.07150	0.12010	0.30011	0.57394	0.88237	0.99244	6.48	10.32	11.62	14.51
chr1	20000000	21000000	6731	0.11793	1.4207	0.03383	0.04763	0.06667	0.12721	0.22921	0.46427	0.83747	10.40	16.56	18.66	23.29
chr1	21000000	22000000	7899	0.10223	1.5188	0.03290	0.04507	0.06146	0.11197	0.19535	0.39343	0.76940	11.32	18.03	20.31	25.35
chr1	22000000	23000000	7586	0.11074	1.2338	0.03171	0.04191	0.05522	0.09445	0.15693	0.30737	0.65376	12.81	20.39	22.97	28.67
chr1	23000000	24000000	6687	0.08865	1.5306	0.03154	0.04148	0.05437	0.09214	0.15194	0.29589	0.63503	13.05	20.78	23.41	29.22
chr1	24000000	25000000	7302	0.11642	1.2448	0.03228	0.04343	0.05819	0.10268	0.17488	0.34820	0.71378	12.03	19.16	21.59	26.95
chr1	25000000	26000000	6532	0.08566	1.2250	0.02962	0.03662	0.04520	0.06840	0.10222	0.18025	0.39707	16.90	26.92	30.32	37.85
chr1	26000000	27000000	6470	0.08445	0.8210	0.02755	0.03171	0.03648	0.04815	0.06330	0.09451	0.17721	25.60	40.76	45.92	NA
chr1	27000000	28000000	6162	0.05952	0.6000	0.02571	0.02762	0.02967	0.03421	0.03943	0.04870	0.06888	NA	NA	NA	NA
chr1	28000000	29000000	6689	0.08933	0.9011	0.02820	0.03321	0.03907	0.05389	0.07391	0.11689	0.23523	21.99	35.02	39.45	49.24
chr1	29000000	30000000	7270	0.11095	1.6344	0.03475	0.05023	0.07207	0.14351	0.26550	0.53388	0.88674	9.65	15.36	17.31	21.60
chr1	30000000	31000000	8260	0.12138	1.7548	0.03717	0.05731	0.08738	0.19190	0.37066	0.69702	0.95706	8.17	13.00	14.65	18.28
chr1	31000000	32000000	6979	0.09951	1.3527	0.03152	0.04143	0.05428	0.09189	0.15140	0.29463	0.63293	13.08	20.83	23.46	29.28
chr1	32000000	33000000	5825	0.04556	0.9711	0.02614	0.02854	0.03116	0.03712	0.04417	0.05716	0.08705	40.95	NA	NA	NA
chr1	33000000	34000000	6332	0.10969	1.3451	0.03242	0.04380	0.05892	0.10473	0.17937	0.35825	0.72707	11.87	18.90	21.29	26.57
chr1	34000000	35000000	7290	0.11610	1.2526	0.03231	0.04351	0.05836	0.10314	0.17589	0.35047	0.71683	12.00	19.10	21.52	26.86
chr1	35000000	36000000	5571	0.02820	1.1879	0.02557	0.02732	0.02918	0.03329	0.03795	0.04614	0.06362	NA	NA	NA	NA
chr1	36000000	37000000	6334	0.07716	0.8716	0.02742	0.03141	0.03596	0.04704	0.06130	0.09040	0.16675	26.49	42.19	47.53	NA
chr1	37000000	38000000	7378	0.10197	1.7384	0.03440	0.04923	0.06999	0.13717	0.25140	0.50765	0.86991	9.92	15.79	17.79	22.21
chr1	38000000	39000000	7046	0.10015	1.5671	0.03300	0.04535	0.06202	0.11357	0.19889	0.40107	0.77778	11.21	17.86	20.11	25.11
chr1	39000000	40000000	7024	0.08798	1.6099	0.03192	0.04247	0.05631	0.09744	0.16343	0.32226	0.67681	12.51	19.92	22.44	28.00
chr1	40000000	41000000	6721	0.10451	0.9794	0.02953	0.03640	0.04479	0.06739	0.10019	0.17560	0.38571	17.15	27.31	30.77	38.41
chr1	41000000	42000000	6540	0.10904	0.8561	0.02900	0.03512	0.04247	0.06180	0.08910	0.15038	0.32230	18.76	29.87	33.65	42.00
chr1	42000000	43000000	5774	0.12564	0.7500	0.02911	0.03537	0.04293	0.06288	0.09123	0.15518	0.33458	18.41	29.32	33.03	41.23
chr1	43000000	44000000	6338	0.09663	0.8310	0.02820	0.03322	0.03910	0.05396	0.07404	0.11717	0.23594	21.96	34.97	39.39	49.16
chr1	44000000	45000000	6492	0.09522	0.6688	0.02726	0.03104	0.03533	0.04568	0.05888	0.08548	0.15435	27.71	44.12	49.71	NA
chr1	45000000	46000000	6039	0.09840	0.6465	0.02726	0.03105	0.03534	0.04570	0.05891	0.08555	0.15453	27.69	44.09	49.67	NA
