chrom	window_start	window_end	n_variants	mean_2pq	cMperMb	post_L1Mb	post_L2Mb	post_L3Mb	post_L5Mb	post_L7Mb	post_L10Mb	post_L15Mb	L_for_post_0.5_Mb	L_for_post_0.9_Mb	L_for_post_0.95_Mb	L_for_post_0.99_Mb
chr1	0	1000000	8071	0.05663	0.6855	0.11720	0.12573	0.13478	0.15453	0.17658	0.21417	0.28898	26.27	NA	NA	NA
chr1	1000000	2000000	18915	0.06784	1.1979	0.12666	0.14648	0.16879	0.22138	0.28475	0.39745	0.60477	12.47	25.53	29.97	39.78
chr1	2000000	3000000	17640	0.05707	2.6358	0.14316	0.18550	0.23690	0.36583	0.51735	0.73082	0.92742	6.78	13.87	16.28	21.61
chr1	3000000	4000000	18534	0.07455	2.9523	0.16224	0.23429	0.32590	0.54689	0.75083	0.92240	0.99153	4.59	9.39	11.03	14.63
chr1	4000000	5000000	16297	0.09144	3.2568	0.18626	0.29945	0.44390	0.73572	0.90662	0.98443	0.99930	3.36	6.88	8.08	10.72
chr1	5000000	6000000	16196	0.08553	2.0616	0.15053	0.20395	0.27029	0.43639	0.61810	0.83025	0.96865	5.69	11.65	13.68	18.16
chr1	6000000	7000000	13850	0.07492	2.0322	0.14398	0.18754	0.24057	0.37366	0.52909	0.74384	0.93392	6.63	13.57	15.93	21.15
chr1	7000000	8000000	13743	0.08323	1.5773	0.13884	0.17496	0.21811	0.32553	0.45506	0.65524	0.88213	7.66	15.67	18.40	24.42
chr1	8000000	9000000	12726	0.07706	1.8165	0.14091	0.17999	0.22705	0.34471	0.48509	0.69304	0.90646	7.20	14.75	17.31	22.98
chr1	9000000	10000000	13662	0.07466	1.7185	0.13795	0.17283	0.21434	0.31744	0.44222	0.63829	0.87006	7.87	16.11	18.91	25.10
chr1	10000000	11000000	12715	0.07740	1.9801	0.14430	0.18831	0.24196	0.37663	0.53351	0.74864	0.93623	6.58	13.47	15.81	20.98
chr1	11000000	12000000	14342	0.08121	1.9923	0.14659	0.19402	0.25225	0.39852	0.56546	0.78174	0.95089	6.22	12.73	14.94	19.83
chr1	12000000	13000000	14647	0.06333	1.8808	0.13552	0.16702	0.20411	0.29556	0.40702	0.58953	0.83098	8.53	17.46	20.49	27.20
chr1	13000000	14000000	15281	0.07017	2.3007	0.14625	0.19317	0.25072	0.39527	0.56078	0.77707	0.94895	6.27	12.83	15.07	20.00
chr1	14000000	15000000	14321	0.08585	2.3422	0.15728	0.22130	0.30204	0.50084	0.69938	0.89147	0.98535	4.99	10.22	11.99	15.92
chr1	15000000	16000000	13964	0.09228	1.9596	0.15192	0.20748	0.27673	0.44971	0.63578	0.84494	0.97321	5.53	11.32	13.29	17.64
chr1	16000000	17000000	15113	0.07085	1.7975	0.13765	0.17211	0.21307	0.31472	0.43788	0.63246	0.86573	7.95	16.26	19.09	25.34
chr1	17000000	18000000	14672	0.08888	2.2922	0.15811	0.22346	0.30600	0.50864	0.70849	0.89736	0.98664	4.92	10.07	11.82	15.69
chr1	18000000	19000000	14644	0.08524	2.6340	0.16386	0.23859	0.33378	0.56157	0.76606	0.93049	0.99290	4.47	9.15	10.75	14.26
chr1	19000000	20000000	13350	0.08257	2.3132	0.15441	0.21388	0.28843	0.47362	0.66636	0.86851	0.97979	5.26	10.78	12.65	16.79
chr1	20000000	21000000	12152	0.07526	1.4207	0.13276	0.16051	0.19276	0.27140	0.36752	0.53098	0.77481	9.44	19.32	22.69	30.11
chr1	21000000	22000000	13312	0.07662	1.5188	0.13506	0.16592	0.20219	0.29145	0.40034	0.57991	0.82247	8.67	17.74	20.83	27.64
chr1	22000000	23000000	13331	0.07856	1.2338	0.13042	0.15508	0.18341	0.25169	0.33496	0.47997	0.71694	10.40	21.28	24.98	33.16
chr1	23000000	24000000	11828	0.07228	1.5306	0.13361	0.16249	0.19621	0.27872	0.37954	0.54921	0.79344	9.14	18.71	21.96	29.15
chr1	24000000	25000000	12710	0.09399	1.2448	0.13548	0.16692	0.20393	0.29517	0.40639	0.58863	0.83019	8.54	17.48	20.52	27.24
