chrom	window_start	window_end	n_variants	mean_2pq	cMperMb	post_L1Mb	post_L2Mb	post_L3Mb	post_L5Mb	post_L7Mb	post_L10Mb	post_L15Mb	L_for_post_0.5_Mb	L_for_post_0.9_Mb	L_for_post_0.95_Mb	L_for_post_0.99_Mb
chr1	0	1000000	5616	0.05141	0.6855	0.02568	0.02755	0.02956	0.03400	0.03909	0.04811	0.06766	NA	NA	NA	NA
chr1	1000000	2000000	12778	0.06957	1.1979	0.02831	0.03347	0.03953	0.05496	0.07592	0.12123	0.24657	21.47	34.18	38.51	48.06
chr1	2000000	3000000	12513	0.06867	2.6358	0.03444	0.04934	0.07021	0.13784	0.25289	0.51046	0.87181	9.89	15.75	17.74	22.14
chr1	3000000	4000000	13057	0.08297	2.9523	0.03927	0.06382	0.10209	0.24024	0.46792	0.80311	0.98135	7.25	11.55	13.01	16.24
chr1	4000000	5000000	12005	0.10442	3.2568	0.04787	0.09348	0.17458	0.47083	0.78916	0.96997	0.99915	5.16	8.22	9.26	11.56
chr1	5000000	6000000	11859	0.08744	2.0616	0.03451	0.04955	0.07066	0.13919	0.25588	0.51609	0.87554	9.83	15.65	17.63	22.01
chr1	6000000	7000000	9465	0.06745	2.0322	0.03153	0.04145	0.05432	0.09200	0.15164	0.29519	0.63386	13.07	20.81	23.44	29.26
chr1	7000000	8000000	10189	0.08894	1.5773	0.03184	0.04225	0.05588	0.09627	0.16088	0.31645	0.66798	12.62	20.10	22.64	28.26
chr1	8000000	9000000	9159	0.07554	1.8165	0.03158	0.04157	0.05455	0.09265	0.15303	0.29840	0.63920	13.00	20.70	23.31	29.10
chr1	9000000	10000000	10180	0.07791	1.7185	0.03138	0.04105	0.05355	0.08993	0.14718	0.28485	0.61622	13.30	21.18	23.86	29.78
chr1	10000000	11000000	9633	0.07292	1.9801	0.03203	0.04274	0.05684	0.09892	0.16666	0.32961	0.68770	12.37	19.69	22.19	27.69
chr1	11000000	12000000	10347	0.07659	1.9923	0.03258	0.04421	0.05975	0.10708	0.18454	0.36974	0.74160	11.68	18.60	20.95	26.15
