chrom	window_start	window_end	n_variants	mean_2pq	cMperMb	post_L1Mb	post_L2Mb	post_L3Mb	post_L5Mb	post_L7Mb	post_L10Mb	post_L15Mb	L_for_post_0.5_Mb	L_for_post_0.9_Mb	L_for_post_0.95_Mb	L_for_post_0.99_Mb
chr1	0	1000000	4792	0.05704	0.6855	0.11726	0.12586	0.13499	0.15492	0.17719	0.21518	0.29082	26.07	NA	NA	NA
chr1	1000000	2000000	11536	0.08210	1.1979	0.13080	0.15596	0.18492	0.25485	0.34020	0.48834	0.72702	10.23	20.93	24.57	32.62
chr1	2000000	3000000	11612	0.07392	2.6358	0.15522	0.21595	0.29223	0.48129	0.67586	0.87537	0.98154	5.18	10.61	12.46	16.54
chr1	3000000	4000000	10978	0.09701	2.9523	0.18293	0.29027	0.42762	0.71370	0.89268	0.98066	0.99903	3.48	7.13	8.37	11.11
chr1	4000000	5000000	10387	0.13225	3.2568	0.23593	0.43753	0.66213	0.92558	0.98749	0.99921	0.99999	2.27	4.65	5.46	7.25
chr1	5000000	6000000	9117	0.11436	2.0616	0.16821	0.25018	0.35505	0.59978	0.80314	0.94825	0.99556	4.19	8.58	10.07	13.37
chr1	6000000	7000000	8344	0.08231	2.0322	0.14805	0.19768	0.25888	0.41252	0.58533	0.80091	0.95842	6.01	12.31	14.45	19.17
chr1	7000000	8000000	8529	0.10001	1.5773	0.14595	0.19243	0.24939	0.39244	0.55669	0.77294	0.94720	6.31	12.92	15.17	20.14
chr1	8000000	9000000	6954	0.10127	1.8165	0.15300	0.21026	0.28182	0.46016	0.64933	0.85567	0.97632	5.41	11.08	13.00	17.26
chr1	9000000	10000000	8119	0.09744	1.7185	0.14846	0.19871	0.26075	0.41646	0.59082	0.80603	0.96031	5.96	12.19	14.31	19.00
chr1	10000000	11000000	7904	0.08605	1.9801	0.14896	0.19998	0.26307	0.42131	0.59756	0.81220	0.96253	5.89	12.06	14.15	18.79
chr1	11000000	12000000	8882	0.11185	1.9923	0.16431	0.23979	0.33600	0.56564	0.77019	0.93260	0.99324	4.44	9.09	10.67	14.16
chr1	12000000	13000000	9875	0.07879	1.8808	0.14302	0.18517	0.23631	0.36457	0.51545	0.72868	0.92632	6.80	13.92	16.34	21.68
chr1	13000000	14000000	10530	0.09498	2.3007	0.16248	0.23493	0.32707	0.54909	0.75314	0.92366	0.99175	4.57	9.36	10.98	14.58
chr1	14000000	15000000	8423	0.11599	2.3422	0.17923	0.28009	0.40939	0.68753	0.87475	0.97531	0.99859	3.63	7.44	8.73	11.59
chr1	15000000	16000000	8416	0.11419	1.9596	0.16467	0.24072	0.33771	0.56878	0.77334	0.93418	0.99350	4.42	9.04	10.61	14.09
chr1	16000000	17000000	9608	0.07847	1.7975	0.14120	0.18071	0.22833	0.34747	0.48935	0.69820	0.90951	7.15	14.62	17.17	22.79
chr1	17000000	18000000	9043	0.10680	2.2922	0.17061	0.25664	0.36687	0.62009	0.82136	0.95602	0.99656	4.05	8.30	9.74	12.93
chr1	18000000	19000000	9622	0.10863	2.6340	0.18342	0.29162	0.43003	0.71705	0.89487	0.98127	0.99908	3.47	7.09	8.33	11.05
chr1	19000000	20000000	8345	0.10506	2.3132	0.17000	0.25501	0.36388	0.61502	0.81691	0.95418	0.99633	4.09	8.37	9.82	13.04
chr1	20000000	21000000	7294	0.10793	1.4207	0.14497	0.18999	0.24498	0.38308	0.54303	0.75880	0.94096	6.47	13.24	15.54	20.63
chr1	21000000	22000000	8396	0.09691	1.5188	0.14314	0.18545	0.23681	0.36564	0.51707	0.73051	0.92726	6.78	13.88	16.29	21.62
chr1	22000000	23000000	7785	0.11128	1.2338	0.14088	0.17992	0.22692	0.34444	0.48466	0.69252	0.90615	7.21	14.76	17.33	23.00
chr1	23000000	24000000	6713	0.09719	1.5306	0.14355	0.18647	0.23864	0.36955	0.52295	0.73708	0.93059	6.71	13.73	16.11	21.39
chr1	24000000	25000000	7651	0.11172	1.2448	0.14134	0.18105	0.22894	0.34877	0.49135	0.70061	0.91092	7.12	14.57	17.10	22.70
chr1	25000000	26000000	6443	0.08311	1.2250	0.13164	0.15790	0.18825	0.26188	0.35181	0.50666	0.74829	9.87	20.21	23.73	31.49
chr1	26000000	27000000	6543	0.07987	0.8210	0.12320	0.13875	0.15590	0.19534	0.24190	0.32470	0.48780	15.36	31.43	36.90	48.98
chr1	27000000	28000000	6319	0.06608	0.6000	0.11742	0.12619	0.13552	0.15591	0.17874	0.21775	0.29554	25.59	NA	NA	NA
chr1	28000000	29000000	7021	0.06962	0.9011	0.12249	0.13717	0.15330	0.19018	0.23349	0.31034	0.46301	16.14	33.03	38.78	NA
chr1	29000000	30000000	7571	0.11128	1.6344	0.15271	0.20951	0.28045	0.45735	0.64571	0.85285	0.97552	5.44	11.14	13.08	17.36
chr1	30000000	31000000	8857	0.11794	1.7548	0.15994	0.22825	0.31479	0.52574	0.72789	0.90931	0.98909	4.77	9.75	11.45	15.20
chr1	31000000	32000000	7457	0.10673	1.3527	0.14261	0.18416	0.23450	0.36068	0.50956	0.72197	0.92280	6.87	14.07	16.52	21.92
chr1	32000000	33000000	6207	0.04623	0.9711	0.11845	0.12839	0.13904	0.16254	0.18914	0.23509	0.32737	22.83	46.73	NA	NA
chr1	33000000	34000000	6771	0.10460	1.3451	0.14162	0.18173	0.23016	0.35139	0.49538	0.70542	0.91368	7.06	14.45	16.97	22.52
chr1	34000000	35000000	7767	0.11225	1.2526	0.14175	0.18204	0.23071	0.35257	0.49720	0.70757	0.91490	7.04	14.40	16.91	22.44
chr1	35000000	36000000	6346	0.05052	1.1879	0.12175	0.13555	0.15064	0.18494	0.22497	0.29580	0.43745	17.04	34.88	40.95	NA
chr1	36000000	37000000	7318	0.07765	0.8716	0.12366	0.13976	0.15757	0.19867	0.24735	0.33401	0.50361	14.90	30.49	35.79	47.51
chr1	37000000	38000000	7665	0.10096	1.7384	0.15071	0.20440	0.27111	0.43809	0.62038	0.83220	0.96928	5.67	11.61	13.63	18.09
chr1	38000000	39000000	7252	0.10504	1.5671	0.14788	0.19726	0.25814	0.41095	0.58312	0.79883	0.95763	6.04	12.35	14.50	19.25
chr1	39000000	40000000	6959	0.08251	1.6099	0.13921	0.17587	0.21972	0.32900	0.46054	0.66232	0.88696	7.57	15.49	18.19	24.14
chr1	40000000	41000000	7527	0.10336	0.9794	0.13177	0.15820	0.18877	0.26297	0.35362	0.50948	0.75147	9.82	20.10	23.60	31.32
chr1	41000000	42000000	7202	0.09329	0.8561	0.12659	0.14632	0.16853	0.22085	0.28387	0.39596	0.60255	12.52	25.62	30.08	39.92
