chrom	window_start	window_end	n_variants	mean_2pq	cMperMb	post_L1Mb	post_L2Mb	post_L3Mb	post_L5Mb	post_L7Mb	post_L10Mb	post_L15Mb	L_for_post_0.5_Mb	L_for_post_0.9_Mb	L_for_post_0.95_Mb	L_for_post_0.99_Mb
chr1	0	1000000	4490	0.05162	0.6855	0.00623	0.00669	0.00719	0.00831	0.00960	0.01191	0.01703	NA	NA	NA	NA
chr1	1000000	2000000	10815	0.06839	1.1979	0.00686	0.00812	0.00960	0.01343	0.01876	0.03083	0.06917	30.32	43.26	47.66	NA
chr1	2000000	3000000	10375	0.07679	2.6358	0.00880	0.01335	0.02020	0.04568	0.10003	0.28225	0.76362	12.22	17.43	19.21	23.13
chr1	3000000	4000000	10203	0.09552	2.9523	0.01043	0.01871	0.03335	0.10144	0.26979	0.68625	0.97695	8.68	12.39	13.65	16.43
chr1	4000000	5000000	9380	0.13099	3.2568	0.01433	0.03502	0.08304	0.36062	0.77839	0.98201	0.99981	5.63	8.03	8.85	10.65
chr1	5000000	6000000	9144	0.10939	2.0616	0.00931	0.01492	0.02384	0.05970	0.14166	0.40888	0.88285	10.77	15.37	16.94	20.39
chr1	6000000	7000000	7724	0.08121	2.0322	0.00815	0.01147	0.01610	0.03155	0.06091	0.15410	0.50460	14.95	21.33	23.50	28.29
chr1	7000000	8000000	7268	0.11583	1.5773	0.00852	0.01251	0.01834	0.03903	0.08115	0.22067	0.66374	13.25	18.91	20.83	25.08
chr1	8000000	9000000	6475	0.10231	1.8165	0.00855	0.01260	0.01854	0.03975	0.08314	0.22721	0.67621	13.12	18.73	20.63	24.84
chr1	9000000	10000000	7486	0.08937	1.7185	0.00797	0.01097	0.01507	0.02829	0.05251	0.12702	0.42098	15.99	22.82	25.14	30.27
chr1	10000000	11000000	7122	0.08968	1.9801	0.00838	0.01212	0.01748	0.03610	0.07306	0.19399	0.60735	13.83	19.73	21.74	26.18
chr1	11000000	12000000	7360	0.10436	1.9923	0.00896	0.01383	0.02130	0.04976	0.11194	0.32004	0.80881	11.72	16.72	18.42	22.18
chr1	12000000	13000000	8942	0.07168	1.8808	0.00765	0.01009	0.01331	0.02306	0.03967	0.08727	0.27918	18.39	26.24	28.91	34.81
chr1	13000000	14000000	9957	0.08475	2.3007	0.00868	0.01299	0.01940	0.04279	0.09172	0.25534	0.72454	12.63	18.02	19.85	23.90
chr1	14000000	15000000	7917	0.12127	2.3422	0.01056	0.01919	0.03461	0.10742	0.28779	0.71313	0.98090	8.50	12.12	13.36	16.08
chr1	15000000	16000000	7780	0.12566	1.9596	0.00977	0.01642	0.02748	0.07490	0.18828	0.52938	0.93986	9.78	13.95	15.37	18.51
chr1	16000000	17000000	8854	0.09336	1.7975	0.00822	0.01165	0.01649	0.03281	0.06423	0.16496	0.53492	14.60	20.84	22.96	27.64
chr1	17000000	18000000	8051	0.11910	2.2922	0.01031	0.01830	0.03226	0.09635	0.25430	0.66112	0.97275	8.85	12.63	13.92	16.75
chr1	18000000	19000000	8608	0.11753	2.6340	0.01113	0.02129	0.04034	0.13564	0.36944	0.80866	0.99129	7.81	11.15	12.28	14.79
chr1	19000000	20000000	7477	0.11637	2.3132	0.01022	0.01798	0.03143	0.09250	0.24256	0.64069	0.96894	8.99	12.83	14.13	17.02
chr1	20000000	21000000	6731	0.11793	1.4207	0.00825	0.01175	0.01670	0.03349	0.06603	0.17083	0.55057	14.43	20.59	22.69	27.32
chr1	21000000	22000000	7899	0.10223	1.5188	0.00802	0.01109	0.01533	0.02910	0.05457	0.13360	0.44236	15.71	22.41	24.70	29.73
chr1	22000000	23000000	7586	0.11074	1.2338	0.00772	0.01029	0.01370	0.02419	0.04237	0.09542	0.30979	17.77	25.35	27.93	33.63
