chrom	window_start	window_end	cMperMb	n_EUR	mean_2pq_EUR	n_AFR	mean_2pq_AFR	n_EAS	mean_2pq_EAS	n_SAS	mean_2pq_SAS	n_AMR	mean_2pq_AMR
chr1	0	1000000	0.6855	4490	0.05162	8071	0.05663	4065	0.06653	4792	0.05704	5616	0.05141
chr1	1000000	2000000	1.1979	10815	0.06839	18915	0.06784	9986	0.08699	11536	0.08210	12778	0.06957
chr1	2000000	3000000	2.6358	10375	0.07679	17640	0.05707	10080	0.08492	11612	0.07392	12513	0.06867
chr1	3000000	4000000	2.9523	10203	0.09552	18534	0.07455	9581	0.11102	10978	0.09701	13057	0.08297
chr1	4000000	5000000	3.2568	9380	0.13099	16297	0.09144	9106	0.13263	10387	0.13225	12005	0.10442
chr1	5000000	6000000	2.0616	9144	0.10939	16196	0.08553	7732	0.10933	9117	0.11436	11859	0.08744
chr1	6000000	7000000	2.0322	7724	0.08121	13850	0.07492	6897	0.09105	8344	0.08231	9465	0.06745
chr1	7000000	8000000	1.5773	7268	0.11583	13743	0.08323	7056	0.11707	8529	0.10001	10189	0.08894
chr1	8000000	9000000	1.8165	6475	0.10231	12726	0.07706	5854	0.08315	6954	0.10127	9159	0.07554
chr1	9000000	10000000	1.7185	7486	0.08937	13662	0.07466	7050	0.10346	8119	0.09744	10180	0.07791
chr1	10000000	11000000	1.9801	7122	0.08968	12715	0.07740	6434	0.10128	7904	0.08605	9633	0.07292
chr1	11000000	12000000	1.9923	7360	0.10436	14342	0.08121	7492	0.10880	8882	0.11185	10347	0.07659
chr1	12000000	13000000	1.8808	8942	0.07168	14647	0.06333	8590	0.09443	9875	0.07879	11102	0.06026
chr1	13000000	14000000	2.3007	9957	0.08475	15281	0.07017	9256	0.11756	10530	0.09498	11966	0.06978
chr1	14000000	15000000	2.3422	7917	0.12127	14321	0.08585	7389	0.12923	8423	0.11599	10487	0.09389
chr1	15000000	16000000	1.9596	7780	0.12566	13964	0.09228	6949	0.09994	8416	0.11419	10248	0.09543
chr1	16000000	17000000	1.7975	8854	0.09336	15113	0.07085	7725	0.07027	9608	0.07847	11737	0.06997
chr1	17000000	18000000	2.2922	8051	0.11910	14672	0.08888	7462	0.12128	9043	0.10680	10904	0.09266
chr1	18000000	19000000	2.6340	8608	0.11753	14644	0.08524	7923	0.12263	9622	0.10863	11018	0.09397
chr1	19000000	20000000	2.3132	7477	0.11637	13350	0.08257	6972	0.11252	8345	0.10506	10055	0.08846
chr1	20000000	21000000	1.4207	6731	0.11793	12152	0.07526	5773	0.12003	7294	0.10793	8717	0.09217
chr1	21000000	22000000	1.5188	7899	0.10223	13312	0.07662	6660	0.11164	8396	0.09691	9745	0.08430
chr1	22000000	23000000	1.2338	7586	0.11074	13331	0.07856	6642	0.12227	7785	0.11128	9842	0.09312
chr1	23000000	24000000	1.5306	6687	0.08865	11828	0.07228	5592	0.11157	6713	0.09719	8454	0.07781
chr1	24000000	25000000	1.2448	7302	0.11642	12710	0.09399	6090	0.12901	7651	0.11172	9434	0.09054
chr1	25000000	26000000	1.2250	6532	0.08566	11445	0.08447	5172	0.09730	6443	0.08311	8242	0.07682
chr1	26000000	27000000	0.8210	6470	0.08445	11286	0.06507	5712	0.07135	6543	0.07987	7747	0.07202
chr1	27000000	28000000	0.6000	6162	0.05952	11017	0.06744	5299	0.07954	6319	0.06608	7660	0.04780
chr1	28000000	29000000	0.9011	6689	0.08933	11152	0.07310	5385	0.06317	7021	0.06962	7681	0.07459
chr1	29000000	30000000	1.6344	7270	0.11095	12388	0.08495	6333	0.12010	7571	0.11128	9297	0.09162
chr1	30000000	31000000	1.7548	8260	0.12138	15119	0.09283	7797	0.14326	8857	0.11794	10988	0.10364
chr1	31000000	32000000	1.3527	6979	0.09951	12315	0.08596	6543	0.12635	7457	0.10673	8935	0.08999
chr1	32000000	33000000	0.9711	5825	0.04556	10586	0.05359	5271	0.05665	6207	0.04623	8129	0.04679
chr1	33000000	34000000	1.3451	6332	0.10969	11246	0.06646	5755	0.11648	6771	0.10460	8518	0.07924
chr1	34000000	35000000	1.2526	7290	0.11610	12470	0.08481	6566	0.11690	7767	0.11225	9506	0.09118
chr1	35000000	36000000	1.1879	5571	0.02820	10454	0.06219	5319	0.09262	6346	0.05052	7906	0.05385
chr1	36000000	37000000	0.8716	6334	0.07716	12542	0.06561	6230	0.09809	7318	0.07765	9097	0.06549
chr1	37000000	38000000	1.7384	7378	0.10197	12595	0.06904	6297	0.09244	7665	0.10096	8964	0.08055
chr1	38000000	39000000	1.5671	7046	0.10015	12192	0.07422	6114	0.10792	7252	0.10504	8511	0.08509
chr1	39000000	40000000	1.6099	7024	0.08798	11801	0.06797	5688	0.11413	6959	0.08251	8462	0.07567
chr1	40000000	41000000	0.9794	6721	0.10451	11804	0.08380	6246	0.12099	7527	0.10336	8637	0.08995
chr1	41000000	42000000	0.8561	6540	0.10904	11635	0.06654	5817	0.11431	7202	0.09329	8268	0.08867
chr1	42000000	43000000	0.7500	5774	0.12564	12015	0.07678	5459	0.13251	6521	0.11835	8346	0.08621
chr1	43000000	44000000	0.8310	6338	0.09663	11314	0.07537	5395	0.11408	6689	0.09605	8080	0.08736
chr1	44000000	45000000	0.6688	6492	0.09522	11606	0.06995	5957	0.10122	6758	0.09291	8103	0.08316
chr1	45000000	46000000	0.6465	6039	0.09840	10415	0.07247	6146	0.09025	6758	0.08555	7126	0.08500
chr1	46000000	47000000	0.6353	6485	0.09773	11480	0.07629	6375	0.10074	7563	0.09225	7940	0.08412
