chrom	window_start	window_end	n_variants	mean_2pq	cMperMb	post_L1Mb	post_L2Mb	post_L3Mb	post_L5Mb	post_L7Mb	post_L10Mb	post_L15Mb	L_for_post_0.5_Mb	L_for_post_0.9_Mb	L_for_post_0.95_Mb	L_for_post_0.99_Mb
chr1	0	1000000	4490	0.05162	0.6855	0.11645	0.12414	0.13226	0.14985	0.16932	0.20222	0.26714	28.89	NA	NA	NA
chr1	1000000	2000000	10815	0.06839	1.1979	0.12682	0.14683	0.16939	0.22261	0.28678	0.40086	0.60985	12.37	25.31	29.72	39.44
chr1	2000000	3000000	10375	0.07679	2.6358	0.15737	0.22154	0.30248	0.50171	0.70041	0.89214	0.98550	4.98	10.20	11.97	15.89
chr1	3000000	4000000	10203	0.09552	2.9523	0.18148	0.28628	0.42050	0.70367	0.88599	0.97873	0.99888	3.54	7.25	8.51	11.29
chr1	4000000	5000000	9380	0.13099	3.2568	0.23423	0.43289	0.65575	0.92226	0.98665	0.99913	0.99999	2.30	4.70	5.52	7.32
chr1	5000000	6000000	9144	0.10939	2.0616	0.16501	0.24163	0.33937	0.57181	0.77636	0.93569	0.99373	4.39	8.99	10.56	14.01
chr1	6000000	7000000	7724	0.08121	2.0322	0.14743	0.19614	0.25609	0.40664	0.57703	0.79304	0.95541	6.10	12.48	14.65	19.45
chr1	7000000	8000000	7268	0.11583	1.5773	0.15306	0.21042	0.28210	0.46074	0.65007	0.85624	0.97648	5.41	11.06	12.99	17.24
chr1	8000000	9000000	6475	0.10231	1.8165	0.15355	0.21167	0.28439	0.46542	0.65603	0.86081	0.97774	5.35	10.96	12.86	17.07
chr1	9000000	10000000	7486	0.08937	1.7185	0.14463	0.18914	0.24346	0.37983	0.53824	0.75372	0.93862	6.52	13.35	15.67	20.80
chr1	10000000	11000000	7122	0.08968	1.9801	0.15097	0.20507	0.27233	0.44062	0.62377	0.83505	0.97018	5.64	11.55	13.55	17.99
chr1	11000000	12000000	7360	0.10436	1.9923	0.15977	0.22780	0.31397	0.52416	0.72613	0.90826	0.98889	4.78	9.78	11.48	15.24
chr1	12000000	13000000	8942	0.07168	1.8808	0.13951	0.17660	0.22101	0.33177	0.46490	0.66790	0.89067	7.50	15.36	18.03	23.93
chr1	13000000	14000000	9957	0.08475	2.3007	0.15556	0.21685	0.29387	0.48459	0.67990	0.87823	0.98225	5.15	10.54	12.38	16.43
chr1	14000000	15000000	7917	0.12127	2.3422	0.18339	0.29154	0.42988	0.71684	0.89473	0.98123	0.99907	3.47	7.09	8.33	11.05
chr1	15000000	16000000	7780	0.12566	1.9596	0.17181	0.25989	0.37280	0.63003	0.82990	0.95945	0.99697	3.99	8.16	9.58	12.72
chr1	16000000	17000000	8854	0.09336	1.7975	0.14846	0.19870	0.26075	0.41644	0.59081	0.80602	0.96031	5.96	12.19	14.31	19.00
chr1	17000000	18000000	8051	0.11910	2.2922	0.17979	0.28163	0.41216	0.69161	0.87765	0.97621	0.99867	3.61	7.39	8.68	11.51
chr1	18000000	19000000	8608	0.11753	2.6340	0.19148	0.31393	0.46926	0.76749	0.92494	0.98888	0.99958	3.19	6.52	7.66	10.16
chr1	19000000	20000000	7477	0.11637	2.3132	0.17847	0.27800	0.40564	0.68194	0.87073	0.97403	0.99848	3.67	7.51	8.81	11.70
chr1	20000000	21000000	6731	0.11793	1.4207	0.14899	0.20005	0.26319	0.42156	0.59790	0.81251	0.96264	5.89	12.05	14.15	18.78
chr1	21000000	22000000	7899	0.10223	1.5188	0.14535	0.19093	0.24668	0.38670	0.54833	0.76435	0.94346	6.41	13.12	15.40	20.44
chr1	22000000	23000000	7586	0.11074	1.2338	0.14070	0.17948	0.22613	0.34275	0.48205	0.68933	0.90422	7.25	14.83	17.41	23.11
chr1	23000000	24000000	6687	0.08865	1.5306	0.14004	0.17788	0.22329	0.33664	0.47254	0.67755	0.89691	7.39	15.12	17.75	23.56
chr1	24000000	25000000	7302	0.11642	1.2448	0.14295	0.18500	0.23601	0.36392	0.51447	0.72757	0.92574	6.81	13.94	16.37	21.72
chr1	25000000	26000000	6532	0.08566	1.2250	0.13242	0.15972	0.19141	0.26853	0.36279	0.52371	0.76709	9.57	19.58	22.99	30.51
chr1	26000000	27000000	6470	0.08445	0.8210	0.12409	0.14071	0.15916	0.20185	0.25256	0.34291	0.51849	14.49	29.66	34.81	46.21
chr1	27000000	28000000	6162	0.05952	0.6000	0.11655	0.12435	0.13260	0.15047	0.17028	0.20380	0.27002	28.51	NA	NA	NA
chr1	28000000	29000000	6689	0.08933	0.9011	0.12670	0.14656	0.16894	0.22168	0.28524	0.39826	0.60599	12.45	25.48	29.91	39.70
chr1	29000000	30000000	7270	0.11095	1.6344	0.15256	0.20911	0.27972	0.45586	0.64378	0.85133	0.97509	5.46	11.18	13.12	17.41
chr1	30000000	31000000	8260	0.12138	1.7548	0.16179	0.23311	0.32374	0.54281	0.74648	0.92000	0.99110	4.62	9.46	11.11	14.74
chr1	31000000	32000000	6979	0.09951	1.3527	0.13997	0.17771	0.22298	0.33598	0.47150	0.67625	0.89608	7.40	15.15	17.79	23.61
chr1	32000000	33000000	5825	0.04556	0.9711	0.11831	0.12809	0.13855	0.16161	0.18768	0.23264	0.32287	23.18	47.44	NA	NA
chr1	33000000	34000000	6332	0.10969	1.3451	0.14350	0.18634	0.23841	0.36905	0.52219	0.73624	0.93017	6.72	13.75	16.14	21.42
chr1	34000000	35000000	7290	0.11610	1.2526	0.14308	0.18531	0.23657	0.36511	0.51626	0.72960	0.92679	6.79	13.90	16.31	21.65
chr1	35000000	36000000	5571	0.02820	1.1879	0.11597	0.12312	0.13065	0.14688	0.16474	0.19474	0.25356	30.89	NA	NA	NA
chr1	36000000	37000000	6334	0.07716	0.8716	0.12356	0.13954	0.15720	0.19794	0.24615	0.33196	0.50014	15.00	30.69	36.03	47.82
chr1	37000000	38000000	7378	0.10197	1.7384	0.15121	0.20567	0.27343	0.44289	0.62678	0.83757	0.97097	5.61	11.49	13.49	17.90
chr1	38000000	39000000	7046	0.10015	1.5671	0.14575	0.19191	0.24845	0.39046	0.55381	0.77000	0.94594	6.35	12.99	15.25	20.24
chr1	39000000	40000000	7024	0.08798	1.6099	0.14154	0.18152	0.22978	0.35058	0.49414	0.70394	0.91283	7.08	14.49	17.01	22.58
chr1	40000000	41000000	6721	0.10451	0.9794	0.13206	0.15887	0.18993	0.26542	0.35765	0.51577	0.75845	9.71	19.87	23.33	30.96
chr1	41000000	42000000	6540	0.10904	0.8561	0.12995	0.15398	0.18152	0.24774	0.32842	0.46947	0.70394	10.62	21.73	25.51	33.86
chr1	42000000	43000000	5774	0.12564	0.7500	0.13037	0.15495	0.18318	0.25122	0.33418	0.47872	0.71541	10.42	21.33	25.04	33.24
chr1	43000000	44000000	6338	0.09663	0.8310	0.12673	0.14663	0.16904	0.22190	0.28560	0.39888	0.60691	12.43	25.44	29.86	39.63
chr1	44000000	45000000	6492	0.09522	0.6688	0.12290	0.13807	0.15478	0.19312	0.23827	0.31850	0.47716	15.68	32.10	37.68	NA
chr1	45000000	46000000	6039	0.09840	0.6465	0.12291	0.13809	0.15482	0.19319	0.23838	0.31870	0.47749	15.67	32.08	37.66	49.98
chr1	46000000	47000000	6485	0.09773	0.6353	0.12256	0.13732	0.15354	0.19065	0.23426	0.31165	0.46529	16.06	32.88	38.60	NA
chr1	47000000	48000000	7103	0.10279	0.9009	0.12969	0.15339	0.18052	0.24565	0.32496	0.46387	0.69686	10.74	21.98	25.81	34.25
chr1	48000000	49000000	6527	0.09086	0.6780	0.12239	0.13696	0.15295	0.18950	0.23238	0.30844	0.45969	16.25	33.26	39.05	NA
chr1	49000000	50000000	4610	0.06448	0.4135	0.11584	0.12038	0.12634	0.13901	0.15274	0.17539	0.21887	38.08	NA	NA	NA
chr1	50000000	51000000	4864	0.07458	0.1752	0.11695	0.11695	0.11736	0.12311	0.12909	0.13853	0.15555	NA	NA	NA	NA
chr1	51000000	52000000	5931	0.04996	0.3145	0.11427	0.11561	0.11895	0.12588	0.13314	0.14471	0.16582	NA	NA	NA	NA
chr1	52000000	53000000	5970	0.06216	0.7570	0.11900	0.12957	0.14093	0.16613	0.19482	0.24462	0.34487	21.60	44.22	NA	NA
chr1	53000000	54000000	7315	0.09387	1.3320	0.13746	0.17166	0.21227	0.31300	0.43513	0.62875	0.86293	7.99	16.36	19.21	25.49
chr1	54000000	55000000	8124	0.10926	1.5270	0.14858	0.19902	0.26133	0.41767	0.59252	0.80759	0.96088	5.94	12.16	14.27	18.94
chr1	55000000	56000000	7577	0.10339	1.6213	0.14865	0.19919	0.26164	0.41831	0.59340	0.80840	0.96117	5.93	12.14	14.25	18.92
chr1	56000000	57000000	7617	0.12132	1.3764	0.14892	0.19988	0.26289	0.42093	0.59703	0.81172	0.96236	5.90	12.07	14.17	18.80
chr1	57000000	58000000	7113	0.12202	1.5445	0.15484	0.21498	0.29045	0.47771	0.67144	0.87221	0.98074	5.22	10.69	12.55	16.65
chr1	58000000	59000000	7289	0.11599	1.4708	0.14976	0.20201	0.26676	0.42903	0.60814	0.82164	0.96580	5.79	11.85	13.91	18.46
chr1	59000000	60000000	6396	0.09344	1.3855	0.13856	0.17430	0.21693	0.32301	0.45108	0.65003	0.87850	7.72	15.81	18.55	24.63
