chrom	window_start	window_end	n_variants	mean_2pq	cMperMb	post_L1Mb	post_L2Mb	post_L3Mb	post_L5Mb	post_L7Mb	post_L10Mb	post_L15Mb	L_for_post_0.5_Mb	L_for_post_0.9_Mb	L_for_post_0.95_Mb	L_for_post_0.99_Mb
chr1	0	1000000	4065	0.06653	0.6855	0.00636	0.00699	0.00767	0.00925	0.01116	0.01475	0.02344	NA	NA	NA	NA
chr1	1000000	2000000	9986	0.08699	1.1979	0.00719	0.00893	0.01108	0.01704	0.02611	0.04904	0.13302	23.60	33.67	37.10	44.67
chr1	2000000	3000000	10080	0.08492	2.6358	0.00922	0.01464	0.02316	0.05700	0.13351	0.38540	0.86675	11.00	15.69	17.29	20.82
chr1	3000000	4000000	9581	0.11102	2.9523	0.01154	0.02285	0.04476	0.15828	0.43011	0.85853	0.99492	7.40	10.57	11.64	14.02
chr1	4000000	5000000	9106	0.13263	3.2568	0.01451	0.03586	0.08590	0.37496	0.79293	0.98407	0.99984	5.55	7.92	8.73	10.51
chr1	5000000	6000000	7732	0.10933	2.0616	0.00930	0.01491	0.02382	0.05962	0.14142	0.40822	0.88243	10.78	15.38	16.95	20.40
chr1	6000000	7000000	6897	0.09105	2.0322	0.00852	0.01250	0.01832	0.03897	0.08098	0.22011	0.66264	13.26	18.92	20.85	25.10
chr1	7000000	8000000	7056	0.11707	1.5773	0.00856	0.01262	0.01858	0.03988	0.08350	0.22841	0.67846	13.10	18.69	20.60	24.80
chr1	8000000	9000000	5854	0.08315	1.8165	0.00792	0.01083	0.01479	0.02743	0.05033	0.12010	0.39783	16.31	23.28	25.65	30.88
chr1	9000000	10000000	7050	0.10346	1.7185	0.00841	0.01219	0.01765	0.03667	0.07463	0.19916	0.61901	13.71	19.56	21.55	25.95
chr1	10000000	11000000	6434	0.10128	1.9801	0.00882	0.01339	0.02030	0.04605	0.10109	0.28566	0.76814	12.17	17.36	19.13	23.03
chr1	11000000	12000000	7492	0.10880	1.9923	0.00914	0.01438	0.02257	0.05466	0.12648	0.36457	0.85059	11.21	16.00	17.63	21.22
chr1	12000000	13000000	8590	0.09443	1.8808	0.00839	0.01214	0.01754	0.03628	0.07356	0.19563	0.61109	13.79	19.68	21.68	26.10
chr1	13000000	14000000	9256	0.11756	2.3007	0.01025	0.01809	0.03171	0.09381	0.24656	0.64779	0.97030	8.94	12.76	14.06	16.93
chr1	14000000	15000000	7389	0.12923	2.3422	0.01102	0.02086	0.03915	0.12965	0.35261	0.79202	0.98983	7.94	11.33	12.48	15.03
chr1	15000000	16000000	6949	0.09994	1.9596	0.00873	0.01313	0.01970	0.04385	0.09477	0.26525	0.73969	12.47	17.79	19.60	23.61
chr1	16000000	17000000	7725	0.07027	1.7975	0.00751	0.00974	0.01262	0.02113	0.03517	0.07406	0.22859	19.64	28.03	30.88	37.19
chr1	17000000	18000000	7462	0.12128	2.2922	0.01043	0.01871	0.03334	0.10141	0.26968	0.68608	0.97692	8.68	12.39	13.65	16.43
chr1	18000000	19000000	7923	0.12263	2.6340	0.01147	0.02260	0.04404	0.15456	0.42047	0.85154	0.99447	7.47	10.65	11.74	14.13
chr1	19000000	20000000	6972	0.11252	2.3132	0.01002	0.01728	0.02964	0.08441	0.21766	0.59327	0.95847	9.32	13.29	14.65	17.64
chr1	20000000	21000000	5773	0.12003	1.4207	0.00831	0.01191	0.01703	0.03460	0.06901	0.18062	0.57553	14.16	20.21	22.27	26.81
chr1	21000000	22000000	6660	0.11164	1.5188	0.00828	0.01182	0.01685	0.03398	0.06734	0.17516	0.56177	14.31	20.42	22.50	27.09
chr1	22000000	23000000	6642	0.12227	1.2338	0.00797	0.01097	0.01507	0.02830	0.05252	0.12707	0.42117	15.99	22.82	25.14	30.27
chr1	23000000	24000000	5592	0.11157	1.5306	0.00830	0.01188	0.01698	0.03441	0.06848	0.17890	0.57125	14.21	20.27	22.34	26.90
chr1	24000000	25000000	6090	0.12901	1.2448	0.00815	0.01146	0.01609	0.03150	0.06077	0.15363	0.50326	14.96	21.35	23.52	28.32
chr1	25000000	26000000	5172	0.09730	1.2250	0.00743	0.00953	0.01221	0.02001	0.03262	0.06677	0.20043	20.52	29.28	32.26	38.84
chr1	26000000	27000000	5712	0.07135	0.8210	0.00654	0.00738	0.00832	0.01059	0.01346	0.01927	0.03483	42.33	NA	NA	NA
chr1	27000000	28000000	5299	0.07954	0.6000	0.00640	0.00706	0.00779	0.00949	0.01155	0.01551	0.02525	NA	NA	NA	NA
chr1	28000000	29000000	5385	0.06317	0.9011	0.00651	0.00732	0.00822	0.01038	0.01310	0.01854	0.03289	43.75	NA	NA	NA
chr1	29000000	30000000	6333	0.12010	1.6344	0.00877	0.01327	0.02002	0.04504	0.09817	0.27628	0.75550	12.30	17.56	19.34	23.29
chr1	30000000	31000000	7797	0.14326	1.7548	0.00993	0.01696	0.02882	0.08076	0.20641	0.56985	0.95232	9.48	13.53	14.91	17.95
chr1	31000000	32000000	6543	0.12635	1.3527	0.00833	0.01196	0.01714	0.03495	0.06996	0.18377	0.58325	14.08	20.09	22.14	26.65
chr1	32000000	33000000	5271	0.05665	0.9711	0.00648	0.00726	0.00812	0.01016	0.01271	0.01776	0.03087	45.43	NA	NA	NA
chr1	33000000	34000000	5755	0.11648	1.3451	0.00807	0.01122	0.01558	0.02990	0.05661	0.14017	0.46303	15.44	22.04	24.28	29.24
chr1	34000000	35000000	6566	0.11690	1.2526	0.00789	0.01075	0.01462	0.02691	0.04902	0.11600	0.38374	16.52	23.58	25.98	31.28
chr1	35000000	36000000	5319	0.09262	1.1879	0.00729	0.00916	0.01152	0.01815	0.02850	0.05540	0.15689	22.28	31.80	35.03	42.18
chr1	36000000	37000000	6230	0.09809	0.8716	0.00693	0.00828	0.00990	0.01413	0.02012	0.03404	0.07975	28.59	40.80	44.95	NA
chr1	37000000	38000000	6297	0.09244	1.7384	0.00810	0.01131	0.01577	0.03050	0.05816	0.14516	0.47828	15.26	21.77	23.99	28.88
chr1	38000000	39000000	6114	0.10792	1.5671	0.00827	0.01178	0.01677	0.03371	0.06662	0.17279	0.55567	14.38	20.51	22.60	27.21
chr1	39000000	40000000	5688	0.11413	1.6099	0.00853	0.01256	0.01844	0.03938	0.08211	0.22384	0.66985	13.19	18.82	20.73	24.96
chr1	40000000	41000000	6246	0.12099	0.9794	0.00745	0.00956	0.01228	0.02019	0.03302	0.06791	0.20484	20.37	29.07	32.03	38.56
chr1	41000000	42000000	5817	0.11431	0.8561	0.00712	0.00875	0.01075	0.01621	0.02436	0.04450	0.11635	24.75	35.33	38.92	46.86
chr1	42000000	43000000	5459	0.13251	0.7500	0.00716	0.00885	0.01093	0.01664	0.02527	0.04685	0.12491	24.13	34.43	37.94	45.68
chr1	43000000	44000000	5395	0.11408	0.8310	0.00708	0.00864	0.01055	0.01569	0.02329	0.04180	0.10665	25.56	36.47	40.18	48.38
chr1	44000000	45000000	5957	0.10122	0.6688	0.00668	0.00769	0.00886	0.01176	0.01558	0.02371	0.04724	36.04	NA	NA	NA
chr1	45000000	46000000	6146	0.09025	0.6465	0.00654	0.00739	0.00834	0.01063	0.01353	0.01941	0.03521	42.07	NA	NA	NA
chr1	46000000	47000000	6375	0.10074	0.6353	0.00662	0.00757	0.00866	0.01131	0.01476	0.02197	0.04224	38.13	NA	NA	NA
chr1	47000000	48000000	6206	0.11781	0.9009	0.00725	0.00907	0.01134	0.01770	0.02753	0.05281	0.14708	22.78	32.51	35.82	43.13
chr1	48000000	49000000	5923	0.09713	0.6780	0.00665	0.00763	0.00875	0.01152	0.01514	0.02276	0.04449	37.14	NA	NA	NA
chr1	49000000	50000000	4494	0.05707	0.4135	0.00614	0.00638	0.00670	0.00737	0.00812	0.00938	0.01193	NA	NA	NA	NA
chr1	50000000	51000000	4030	0.05769	0.1752	0.00615	0.00615	0.00616	0.00642	0.00670	0.00712	0.00790	NA	NA	NA	NA
chr1	51000000	52000000	4287	0.04377	0.3145	0.00606	0.00613	0.00630	0.00666	0.00705	0.00766	0.00881	NA	NA	NA	NA
chr1	52000000	53000000	5153	0.07740	0.7570	0.00654	0.00738	0.00833	0.01061	0.01350	0.01935	0.03504	42.18	NA	NA	NA
chr1	53000000	54000000	6573	0.12666	1.3320	0.00829	0.01185	0.01691	0.03418	0.06789	0.17694	0.56631	14.26	20.35	22.42	27.00
chr1	54000000	55000000	7216	0.13992	1.5270	0.00915	0.01442	0.02266	0.05501	0.12752	0.36771	0.85315	11.18	15.95	17.57	21.16
chr1	55000000	56000000	7020	0.11029	1.6213	0.00844	0.01228	0.01784	0.03731	0.07637	0.20491	0.63154	13.58	19.38	21.35	25.70
chr1	56000000	57000000	6765	0.13351	1.3764	0.00857	0.01266	0.01867	0.04020	0.08442	0.23143	0.68401	13.04	18.61	20.51	24.69
