bin	rate_lo	rate_hi	mean_rate_cMperMb	footprint_Mb	n_segments	Lstar_emp_Mb	CI2.5	CI97.5	Lstar_closedform_Mb
0	-inf	0.609	0.352	561	4448528	2.50	2.40	2.60	2.38
1	0.609	0.902	0.755	561	5537361	1.25	1.20	1.30	1.11
2	0.902	1.275	1.079	562	5845876	0.90	0.85	0.95	0.78
3	1.275	1.818	1.526	560	6105962	0.65	0.65	0.70	0.55
4	1.818	inf	2.538	562	6434094	0.50	0.45	0.50	0.33
