chrom	window_start	window_end	n_variants	mean_2pq	cMperMb	post_L1Mb	post_L2Mb	post_L3Mb	post_L5Mb	post_L7Mb	post_L10Mb	post_L15Mb	L_for_post_0.5_Mb	L_for_post_0.9_Mb	L_for_post_0.95_Mb	L_for_post_0.99_Mb
chr1	0	1000000	4065	0.06653	0.6855	0.05458	0.05966	0.06518	0.07767	0.09231	0.11893	0.17790	31.22	NA	NA	NA
chr1	1000000	2000000	9986	0.08699	1.1979	0.06132	0.07514	0.09177	0.13515	0.19465	0.31737	0.58039	13.51	23.59	27.02	34.59
chr1	2000000	3000000	10080	0.08492	2.6358	0.07738	0.11808	0.17612	0.35271	0.58141	0.84969	0.98323	6.30	10.99	12.59	16.12
chr1	3000000	4000000	9581	0.11102	2.9523	0.09521	0.17412	0.29694	0.62897	0.87185	0.98205	0.99943	4.24	7.40	8.48	10.85
chr1	4000000	5000000	9106	0.13263	3.2568	0.11716	0.25111	0.45863	0.84394	0.97185	0.99821	0.99998	3.18	5.55	6.36	8.14
chr1	5000000	6000000	7732	0.10933	2.0616	0.07806	0.12009	0.18031	0.36368	0.59757	0.86147	0.98544	6.17	10.77	12.34	15.80
chr1	6000000	7000000	6897	0.09105	2.0322	0.07187	0.10244	0.14401	0.26771	0.44269	0.71785	0.94654	7.59	13.26	15.18	19.44
chr1	7000000	8000000	7056	0.11707	1.5773	0.07218	0.10332	0.14579	0.27241	0.45095	0.72742	0.95005	7.50	13.09	15.00	19.20
chr1	8000000	9000000	5854	0.08315	1.8165	0.06717	0.08984	0.11918	0.20270	0.32328	0.55167	0.85623	9.34	16.31	18.68	23.91
chr1	9000000	10000000	7050	0.10346	1.7185	0.07103	0.10014	0.13940	0.25549	0.42097	0.69154	0.93609	7.85	13.70	15.69	20.09
chr1	10000000	11000000	6434	0.10128	1.9801	0.07422	0.10903	0.15739	0.30321	0.50342	0.78284	0.96760	6.97	12.16	13.93	17.83
chr1	11000000	12000000	7492	0.10880	1.9923	0.07674	0.11625	0.17229	0.34263	0.56620	0.83798	0.98089	6.42	11.21	12.84	16.43
chr1	12000000	13000000	8590	0.09443	1.8808	0.07088	0.09974	0.13860	0.25337	0.41717	0.68676	0.93406	7.90	13.78	15.79	20.21
chr1	13000000	14000000	9256	0.11756	2.3007	0.08541	0.14240	0.22793	0.48273	0.74684	0.94312	0.99662	5.12	8.94	10.24	13.11
chr1	14000000	15000000	7389	0.12923	2.3422	0.09127	0.16112	0.26861	0.57317	0.83079	0.97169	0.99886	4.55	7.93	9.09	11.63
chr1	15000000	16000000	6949	0.09994	1.9596	0.07352	0.10706	0.15336	0.29251	0.48552	0.76495	0.96243	7.14	12.47	14.28	18.28
chr1	16000000	17000000	7725	0.07027	1.7975	0.06390	0.08147	0.10334	0.16291	0.24733	0.41895	0.72762	11.25	19.64	22.49	28.79
chr1	17000000	18000000	7462	0.12128	2.2922	0.08677	0.14667	0.23717	0.50429	0.76898	0.95170	0.99739	4.97	8.68	9.94	12.72
chr1	18000000	19000000	7923	0.12263	2.6340	0.09473	0.17250	0.29343	0.62237	0.86738	0.98103	0.99938	4.28	7.46	8.55	10.94
chr1	19000000	20000000	6972	0.11252	2.3132	0.08362	0.13683	0.21592	0.45387	0.71494	0.92932	0.99522	5.34	9.31	10.67	13.66
chr1	20000000	21000000	5773	0.12003	1.4207	0.07023	0.09799	0.13512	0.24419	0.40054	0.66524	0.92437	8.11	14.16	16.21	20.76
chr1	21000000	22000000	6660	0.11164	1.5188	0.06999	0.09733	0.13381	0.24076	0.39427	0.65686	0.92036	8.19	14.30	16.38	20.97
chr1	22000000	23000000	6642	0.12227	1.2338	0.06757	0.09089	0.12122	0.20795	0.33321	0.56753	0.86771	9.16	15.98	18.30	23.43
chr1	23000000	24000000	5592	0.11157	1.5306	0.07016	0.09778	0.13471	0.24311	0.39858	0.66263	0.92314	8.14	14.20	16.27	20.82
chr1	24000000	25000000	6090	0.12901	1.2448	0.06898	0.09461	0.12845	0.22671	0.36837	0.62069	0.90131	8.57	14.96	17.13	21.93
chr1	25000000	26000000	5172	0.09730	1.2250	0.06323	0.07982	0.10028	0.15545	0.23309	0.39207	0.69323	11.75	20.51	23.49	30.07
chr1	26000000	27000000	5712	0.07135	0.8210	0.05600	0.06278	0.07032	0.08797	0.10953	0.15047	0.24543	24.24	42.32	48.46	NA
chr1	27000000	28000000	5299	0.07954	0.6000	0.05484	0.06023	0.06611	0.07950	0.09533	0.12436	0.18931	29.62	NA	NA	NA
chr1	28000000	29000000	5385	0.06317	0.9011	0.05579	0.06232	0.06955	0.08640	0.10686	0.14549	0.23462	25.05	43.74	NA	NA
chr1	29000000	30000000	6333	0.12010	1.6344	0.07391	0.10813	0.15555	0.29833	0.49529	0.77484	0.96534	7.05	12.30	14.09	18.03
chr1	30000000	31000000	7797	0.14326	1.7548	0.08289	0.13457	0.21107	0.44197	0.70102	0.92273	0.99448	5.43	9.48	10.86	13.90
chr1	31000000	32000000	6543	0.12635	1.3527	0.07037	0.09836	0.13586	0.24615	0.40410	0.66993	0.92656	8.06	14.08	16.12	20.64
chr1	32000000	33000000	5271	0.05665	0.9711	0.05556	0.06181	0.06871	0.08470	0.10399	0.14017	0.22312	26.02	45.42	NA	NA
chr1	33000000	34000000	5755	0.11648	1.3451	0.06829	0.09278	0.12488	0.21743	0.35105	0.59508	0.88602	8.84	15.44	17.68	22.64
chr1	34000000	35000000	6566	0.11690	1.2526	0.06692	0.08919	0.11794	0.19953	0.31727	0.54189	0.84879	9.46	16.52	18.92	24.22
chr1	35000000	36000000	5319	0.09262	1.1879	0.06207	0.07695	0.09503	0.14285	0.20916	0.34586	0.62651	12.76	22.28	25.51	32.66
chr1	36000000	37000000	6230	0.09809	0.8716	0.05916	0.07001	0.08268	0.11440	0.15622	0.24109	0.43859	16.37	28.58	32.73	41.90
chr1	37000000	38000000	6297	0.09244	1.7384	0.06855	0.09347	0.12623	0.22092	0.35758	0.60487	0.89205	8.74	15.25	17.47	22.36
