chrom	window_start	window_end	n_variants	mean_2pq	cMperMb	post_L1Mb	post_L2Mb	post_L3Mb	post_L5Mb	post_L7Mb	post_L10Mb	post_L15Mb	L_for_post_0.5_Mb	L_for_post_0.9_Mb	L_for_post_0.95_Mb	L_for_post_0.99_Mb
chr1	0	1000000	4490	0.05162	0.6855	0.02568	0.02757	0.02958	0.03405	0.03917	0.04825	0.06795	NA	NA	NA	NA
chr1	1000000	2000000	10815	0.06839	1.1979	0.02823	0.03327	0.03919	0.05417	0.07443	0.11802	0.23817	21.85	34.80	39.20	48.93
chr1	2000000	3000000	10375	0.07679	2.6358	0.03601	0.05385	0.07981	0.16762	0.31860	0.62325	0.93146	8.80	14.02	15.80	19.71
chr1	3000000	4000000	10203	0.09552	2.9523	0.04246	0.07426	0.12673	0.32200	0.60850	0.90198	0.99442	6.26	9.96	11.22	14.01
chr1	4000000	5000000	9380	0.13099	3.2568	0.05765	0.13244	0.27588	0.70350	0.93661	0.99566	0.99996	4.06	6.46	7.27	9.08
chr1	5000000	6000000	9144	0.10939	2.0616	0.03802	0.05991	0.09317	0.21078	0.40978	0.74424	0.96942	7.76	12.36	13.93	17.38
chr1	6000000	7000000	7724	0.08121	2.0322	0.03343	0.04653	0.06442	0.12054	0.21436	0.43387	0.81079	10.77	17.16	19.33	24.12
chr1	7000000	8000000	7268	0.11583	1.5773	0.03488	0.05060	0.07286	0.14594	0.27089	0.54363	0.89252	9.55	15.21	17.13	21.38
chr1	8000000	9000000	6475	0.10231	1.8165	0.03501	0.05096	0.07363	0.14830	0.27612	0.55294	0.89781	9.46	15.06	16.97	21.18
chr1	9000000	10000000	7486	0.08937	1.7185	0.03271	0.04457	0.06047	0.10912	0.18905	0.37969	0.75361	11.53	18.35	20.68	25.81
chr1	10000000	11000000	7122	0.08968	1.9801	0.03434	0.04906	0.06964	0.13610	0.24901	0.50310	0.86679	9.97	15.87	17.88	22.32
chr1	11000000	12000000	7360	0.10436	1.9923	0.03664	0.05571	0.08386	0.18054	0.34652	0.66444	0.94680	8.44	13.45	15.15	18.91
chr1	12000000	13000000	8942	0.07168	1.8808	0.03141	0.04113	0.05370	0.09033	0.14804	0.28685	0.61968	13.26	21.11	23.78	29.68
chr1	13000000	14000000	9957	0.08475	2.3007	0.03553	0.05247	0.07684	0.15828	0.29815	0.59058	0.91712	9.10	14.49	16.33	20.38
chr1	14000000	15000000	7917	0.12127	2.3422	0.04299	0.07604	0.13104	0.33613	0.62961	0.91272	0.99539	6.12	9.75	10.99	13.71
chr1	15000000	16000000	7780	0.12566	1.9596	0.03984	0.06562	0.10625	0.25406	0.49388	0.82555	0.98502	7.05	11.22	12.64	15.78
chr1	16000000	17000000	8854	0.09336	1.7975	0.03369	0.04725	0.06590	0.12490	0.22406	0.45386	0.82873	10.53	16.76	18.88	23.57
chr1	17000000	18000000	8051	0.11910	2.2922	0.04200	0.07271	0.12298	0.30964	0.58926	0.89139	0.99338	6.38	10.16	11.44	14.28
chr1	18000000	19000000	8608	0.11753	2.6340	0.04522	0.08384	0.15026	0.39765	0.71138	0.94675	0.99792	5.63	8.97	10.10	12.61
chr1	19000000	20000000	7477	0.11637	2.3132	0.04164	0.07150	0.12010	0.30012	0.57395	0.88237	0.99244	6.48	10.32	11.62	14.51
chr1	20000000	21000000	6731	0.11793	1.4207	0.03383	0.04763	0.06668	0.12722	0.22922	0.46430	0.83749	10.40	16.56	18.66	23.29
