chrom	window_start	window_end	n_variants	mean_2pq	cMperMb	post_L1Mb	post_L2Mb	post_L3Mb	post_L5Mb	post_L7Mb	post_L10Mb	post_L15Mb	L_for_post_0.5_Mb	L_for_post_0.9_Mb	L_for_post_0.95_Mb	L_for_post_0.99_Mb
chr1	0	1000000	5616	0.05141	0.6855	0.05345	0.05723	0.06126	0.07013	0.08018	0.09771	0.13457	40.72	NA	NA	NA
chr1	1000000	2000000	12778	0.06957	1.1979	0.05877	0.06908	0.08106	0.11080	0.14969	0.22817	0.41221	17.05	29.77	34.10	43.65
chr1	2000000	3000000	12513	0.06867	2.6358	0.07100	0.10008	0.13928	0.25517	0.42040	0.69083	0.93579	7.86	13.71	15.71	20.11
chr1	3000000	4000000	13057	0.08297	2.9523	0.08054	0.12747	0.19590	0.40391	0.65332	0.89734	0.99121	5.76	10.06	11.52	14.75
chr1	4000000	5000000	12005	0.10442	3.2568	0.09726	0.18098	0.31187	0.65596	0.88914	0.98576	0.99960	4.10	7.16	8.20	10.50
chr1	5000000	6000000	11859	0.08744	2.0616	0.07115	0.10049	0.14009	0.25732	0.42425	0.69562	0.93779	7.81	13.63	15.61	19.99
chr1	6000000	7000000	9465	0.06745	2.0322	0.06522	0.08481	0.10959	0.17839	0.27695	0.47299	0.78768	10.38	18.12	20.76	26.57
chr1	7000000	8000000	10189	0.08894	1.5773	0.06583	0.08637	0.11256	0.18585	0.29121	0.49800	0.81172	10.03	17.50	20.05	25.67
chr1	8000000	9000000	9159	0.07554	1.8165	0.06531	0.08505	0.11004	0.17952	0.27911	0.47682	0.79151	10.33	18.02	20.64	26.43
chr1	9000000	10000000	10180	0.07791	1.7185	0.06491	0.08403	0.10813	0.17474	0.26997	0.46049	0.77481	10.57	18.45	21.13	27.05
chr1	10000000	11000000	9633	0.07292	1.9801	0.06620	0.08733	0.11437	0.19045	0.29998	0.51305	0.82513	9.83	17.15	19.65	25.15
chr1	11000000	12000000	10347	0.07659	1.9923	0.06730	0.09019	0.11985	0.20444	0.32657	0.55696	0.86014	9.28	16.20	18.55	23.75
chr1	12000000	13000000	11102	0.06026	1.8808	0.06223	0.07735	0.09578	0.14461	0.21250	0.35238	0.63652	12.60	22.00	25.20	32.26
chr1	13000000	14000000	11966	0.06978	2.3007	0.06827	0.09273	0.12478	0.21718	0.35058	0.59436	0.88557	8.85	15.45	17.70	22.66
chr1	14000000	15000000	10487	0.09389	2.3422	0.07695	0.11684	0.17353	0.34590	0.57117	0.84187	0.98168	6.38	11.14	12.75	16.33
chr1	15000000	16000000	10248	0.09543	1.9596	0.07220	0.10337	0.14589	0.27267	0.45141	0.72794	0.95024	7.50	13.09	14.99	19.19
chr1	16000000	17000000	11737	0.06997	1.7975	0.06383	0.08129	0.10302	0.16211	0.24580	0.41609	0.72411	11.30	19.73	22.59	28.92
chr1	17000000	18000000	10904	0.09266	2.2922	0.07581	0.11356	0.16672	0.32794	0.54340	0.81927	0.97680	6.61	11.54	13.21	16.92
chr1	18000000	19000000	11018	0.09397	2.6340	0.08117	0.12935	0.19991	0.41407	0.66653	0.90483	0.99224	5.67	9.89	11.33	14.51
chr1	19000000	20000000	10055	0.08846	2.3132	0.07461	0.11013	0.15964	0.30918	0.51326	0.79225	0.97014	6.88	12.00	13.75	17.60
chr1	20000000	21000000	8717	0.09217	1.4207	0.06467	0.08341	0.10697	0.17185	0.26443	0.45047	0.76406	10.72	18.72	21.44	27.45
chr1	21000000	22000000	9745	0.08430	1.5188	0.06423	0.08231	0.10491	0.16675	0.25469	0.43261	0.74391	11.01	19.23	22.02	28.19
chr1	22000000	23000000	9842	0.09312	1.2338	0.06267	0.07842	0.09772	0.14926	0.22132	0.36949	0.66186	12.22	21.33	24.42	31.27
chr1	23000000	24000000	8454	0.07781	1.5306	0.06307	0.07940	0.09953	0.15361	0.22960	0.38541	0.68422	11.88	20.74	23.76	30.41
chr1	24000000	25000000	9434	0.09054	1.2448	0.06238	0.07771	0.09643	0.14616	0.21544	0.35810	0.64515	12.47	21.77	24.93	31.92
chr1	25000000	26000000	8242	0.07682	1.2250	0.06005	0.07211	0.08636	0.12268	0.17141	0.27126	0.49771	15.05	26.27	30.08	38.51
chr1	26000000	27000000	7747	0.07202	0.8210	0.05606	0.06292	0.07055	0.08844	0.11034	0.15198	0.24871	24.01	41.91	48.00	NA
chr1	27000000	28000000	7660	0.04780	0.6000	0.05277	0.05578	0.05896	0.06583	0.07344	0.08638	0.11256	NA	NA	NA	NA
chr1	28000000	29000000	7681	0.07459	0.9011	0.05696	0.06495	0.07397	0.09553	0.12255	0.17517	0.29924	21.09	36.82	42.17	NA
chr1	29000000	30000000	9297	0.09162	1.6344	0.06709	0.08963	0.11878	0.20168	0.32135	0.54854	0.85388	9.38	16.37	18.75	24.01
chr1	30000000	31000000	10988	0.10364	1.7548	0.07160	0.10171	0.14254	0.26379	0.43577	0.70965	0.94341	7.67	13.39	15.34	19.64
chr1	31000000	32000000	8935	0.08999	1.3527	0.06349	0.08046	0.10147	0.15832	0.23857	0.40248	0.70692	11.55	20.16	23.09	29.56
chr1	32000000	33000000	8129	0.04679	0.9711	0.05451	0.05951	0.06494	0.07719	0.09154	0.11756	0.17502	31.66	NA	NA	NA
chr1	33000000	34000000	8518	0.07924	1.3451	0.06155	0.07570	0.09278	0.13753	0.19913	0.32619	0.59509	13.27	23.16	26.52	33.96
chr1	34000000	35000000	9506	0.09118	1.2526	0.06257	0.07818	0.09727	0.14819	0.21928	0.36556	0.65616	12.30	21.48	24.60	31.49
chr1	35000000	36000000	7906	0.05385	1.1879	0.05653	0.06396	0.07230	0.09206	0.11653	0.16367	0.27417	22.40	39.11	44.79	NA
chr1	36000000	37000000	9097	0.06549	0.8716	0.05581	0.06237	0.06964	0.08659	0.10718	0.14608	0.23589	24.95	43.56	49.89	NA
chr1	37000000	38000000	8964	0.08055	1.7384	0.06572	0.08608	0.11200	0.18444	0.28852	0.49334	0.80740	10.09	17.62	20.18	25.83
chr1	38000000	39000000	8511	0.08509	1.5671	0.06491	0.08402	0.10811	0.17469	0.26988	0.46033	0.77463	10.57	18.45	21.13	27.06
chr1	39000000	40000000	8462	0.07567	1.6099	0.06338	0.08020	0.10099	0.15715	0.23634	0.39825	0.70141	11.63	20.30	23.25	29.77
chr1	40000000	41000000	8637	0.08995	0.9794	0.05942	0.07062	0.08375	0.11678	0.16057	0.24972	0.45588	15.96	27.86	31.91	40.85
chr1	41000000	42000000	8268	0.08867	0.8561	0.05801	0.06733	0.07803	0.10419	0.13782	0.20479	0.36316	18.53	32.35	37.05	47.44
chr1	42000000	43000000	8346	0.08621	0.7500	0.05672	0.06441	0.07305	0.09362	0.11923	0.16881	0.28538	21.79	38.04	43.56	NA
chr1	43000000	44000000	8080	0.08736	0.8310	0.05762	0.06645	0.07652	0.10095	0.13206	0.19356	0.33910	19.39	33.85	38.77	49.63
chr1	44000000	45000000	8103	0.08316	0.6688	0.05571	0.06214	0.06927	0.08582	0.10588	0.14368	0.23069	25.37	44.29	NA	NA
chr1	45000000	46000000	7126	0.08500	0.6465	0.05564	0.06200	0.06902	0.08533	0.10505	0.14212	0.22733	25.65	44.78	NA	NA
chr1	46000000	47000000	7940	0.08412	0.6353	0.05547	0.06162	0.06840	0.08408	0.10295	0.13825	0.21897	26.39	46.07	NA	NA
chr1	47000000	48000000	8442	0.09934	0.9009	0.05964	0.07113	0.08464	0.11880	0.16426	0.25705	0.47033	15.63	27.29	31.25	40.01
chr1	48000000	49000000	8237	0.07862	0.6780	0.05544	0.06155	0.06828	0.08384	0.10255	0.13751	0.21737	26.54	46.33	NA	NA
chr1	49000000	50000000	5615	0.05804	0.4135	0.05282	0.05481	0.05743	0.06302	0.06912	0.07929	0.09932	NA	NA	NA	NA
chr1	50000000	51000000	6501	0.05238	0.1752	0.05252	0.05252	0.05266	0.05457	0.05655	0.05964	0.06515	NA	NA	NA	NA
chr1	51000000	52000000	7242	0.03609	0.3145	0.05168	0.05214	0.05330	0.05568	0.05816	0.06208	0.06916	NA	NA	NA	NA
chr1	52000000	53000000	8001	0.05496	0.7570	0.05412	0.05868	0.06359	0.07457	0.08728	0.11002	0.15942	34.42	NA	NA	NA
chr1	53000000	54000000	9107	0.08569	1.3320	0.06252	0.07805	0.09705	0.14766	0.21828	0.36361	0.65330	12.35	21.55	24.68	31.60
chr1	54000000	55000000	9838	0.09786	1.5270	0.06711	0.08969	0.11890	0.20200	0.32196	0.54953	0.85462	9.37	16.35	18.73	23.98
chr1	55000000	56000000	9248	0.08345	1.6213	0.06514	0.08461	0.10922	0.17747	0.27519	0.46984	0.78449	10.43	18.20	20.85	26.69
chr1	56000000	57000000	9064	0.10398	1.3764	0.06635	0.08771	0.11510	0.19230	0.30351	0.51902	0.83025	9.75	17.02	19.49	24.95
chr1	57000000	58000000	9189	0.09905	1.5445	0.06760	0.09096	0.12134	0.20827	0.33382	0.56848	0.86838	9.14	15.96	18.28	23.41
chr1	58000000	59000000	9647	0.09014	1.4708	0.06486	0.08389	0.10787	0.17408	0.26871	0.45822	0.77241	10.60	18.51	21.20	27.14
chr1	59000000	60000000	8986	0.07066	1.3855	0.06046	0.07308	0.08809	0.12663	0.17872	0.28581	0.52484	14.51	25.33	29.01	37.14
chr1	60000000	61000000	8961	0.07453	1.5508	0.06261	0.07828	0.09747	0.14865	0.22016	0.36726	0.65863	12.26	21.41	24.52	31.39
chr1	61000000	62000000	9196	0.07735	1.4493	0.06221	0.07729	0.09566	0.14434	0.21198	0.35138	0.63500	12.63	22.04	25.25	32.32
chr1	62000000	63000000	8640	0.09711	1.6349	0.06834	0.09293	0.12517	0.21817	0.35245	0.59718	0.88734	8.82	15.40	17.64	22.58
chr1	63000000	64000000	8985	0.08942	1.4032	0.06395	0.08161	0.10361	0.16355	0.24857	0.42125	0.73042	11.21	19.57	22.41	28.69
chr1	64000000	65000000	8409	0.09260	1.2820	0.06314	0.07958	0.09985	0.15438	0.23106	0.38820	0.68803	11.83	20.64	23.64	30.27
chr1	65000000	66000000	8132	0.11565	1.0776	0.06407	0.08191	0.10417	0.16493	0.25119	0.42614	0.73629	11.12	19.42	22.24	28.47
chr1	66000000	67000000	8884	0.09620	1.0302	0.06077	0.07381	0.08938	0.12961	0.18428	0.29684	0.54478	14.14	24.68	28.27	36.19
chr1	67000000	68000000	8929	0.09396	1.0418	0.06061	0.07342	0.08869	0.12803	0.18133	0.29098	0.53425	14.33	25.02	28.66	36.68
chr1	68000000	69000000	9199	0.08560	0.9790	0.05890	0.06940	0.08160	0.11202	0.15189	0.23251	0.42114	16.82	29.36	33.62	43.04
chr1	69000000	70000000	8077	0.08846	0.8841	0.05827	0.06793	0.07907	0.10645	0.14185	0.21270	0.37992	17.99	31.41	35.97	46.05
chr1	70000000	71000000	7753	0.08816	0.6483	0.05590	0.06256	0.06996	0.08722	0.10826	0.14810	0.24027	24.62	42.98	49.22	NA
chr1	71000000	72000000	7443	0.07521	0.5126	0.05385	0.05808	0.06262	0.07272	0.08430	0.10481	0.14879	36.76	NA	NA	NA
chr1	72000000	73000000	7938	0.07766	0.3662	0.05388	0.05583	0.05903	0.06597	0.07365	0.08672	0.11322	49.76	NA	NA	NA
