chrom	window_start	window_end	n_variants	mean_2pq	cMperMb	post_L1Mb	post_L2Mb	post_L3Mb	post_L5Mb	post_L7Mb	post_L10Mb	post_L15Mb	L_for_post_0.5_Mb	L_for_post_0.9_Mb	L_for_post_0.95_Mb	L_for_post_0.99_Mb
chr1	0	1000000	4065	0.06653	0.6855	0.11871	0.12894	0.13992	0.16421	0.19179	0.23953	0.33551	22.24	45.52	NA	NA
chr1	1000000	2000000	9986	0.08699	1.1979	0.13227	0.15936	0.19078	0.26720	0.36060	0.52034	0.76344	9.63	19.70	23.13	30.70
chr1	2000000	3000000	10080	0.08492	2.6358	0.16366	0.23805	0.33280	0.55975	0.76420	0.92953	0.99274	4.49	9.18	10.78	14.31
chr1	3000000	4000000	9581	0.11102	2.9523	0.19714	0.32972	0.49635	0.79820	0.94074	0.99223	0.99976	3.02	6.18	7.26	9.63
chr1	4000000	5000000	9106	0.13263	3.2568	0.23645	0.43895	0.66406	0.92657	0.98774	0.99923	0.99999	2.26	4.64	5.44	7.22
chr1	5000000	6000000	7732	0.10933	2.0616	0.16497	0.24153	0.33918	0.57147	0.77602	0.93552	0.99371	4.40	9.00	10.56	14.02
chr1	6000000	7000000	6897	0.09105	2.0322	0.15302	0.21031	0.28190	0.46033	0.64955	0.85584	0.97637	5.41	11.07	13.00	17.25
chr1	7000000	8000000	7056	0.11707	1.5773	0.15364	0.21190	0.28481	0.46627	0.65712	0.86163	0.97797	5.34	10.94	12.84	17.04
chr1	8000000	9000000	5854	0.08315	1.8165	0.14384	0.18719	0.23995	0.37234	0.52711	0.74168	0.93287	6.66	13.62	15.99	21.23
chr1	9000000	10000000	7050	0.10346	1.7185	0.15139	0.20614	0.27428	0.44467	0.62913	0.83951	0.97157	5.59	11.45	13.44	17.83
chr1	10000000	11000000	6434	0.10128	1.9801	0.15759	0.22212	0.30354	0.50381	0.70287	0.89375	0.98585	4.96	10.16	11.93	15.83
chr1	11000000	12000000	7492	0.10880	1.9923	0.16245	0.23484	0.32691	0.54878	0.75281	0.92348	0.99172	4.57	9.36	10.99	14.59
chr1	12000000	13000000	8590	0.09443	1.8808	0.15110	0.20541	0.27295	0.44191	0.62548	0.83649	0.97063	5.63	11.51	13.52	17.94
chr1	13000000	14000000	9256	0.11756	2.3007	0.17892	0.27925	0.40788	0.68529	0.87315	0.97480	0.99855	3.65	7.47	8.76	11.63
chr1	14000000	15000000	7389	0.12923	2.3422	0.18987	0.30946	0.46148	0.75806	0.91972	0.98767	0.99951	3.24	6.63	7.78	10.33
chr1	15000000	16000000	6949	0.09994	1.9596	0.15624	0.21860	0.29709	0.49102	0.68770	0.88363	0.98354	5.09	10.41	12.22	16.22
chr1	16000000	17000000	7725	0.07027	1.7975	0.13739	0.17147	0.21193	0.31229	0.43399	0.62720	0.86175	8.01	16.40	19.26	25.56
chr1	17000000	18000000	7462	0.12128	2.2922	0.18147	0.28625	0.42044	0.70359	0.88594	0.97871	0.99888	3.54	7.25	8.51	11.29
chr1	18000000	19000000	7923	0.12263	2.6340	0.19625	0.32724	0.49212	0.79362	0.93850	0.99178	0.99974	3.05	6.23	7.32	9.71
chr1	19000000	20000000	6972	0.11252	2.3132	0.17554	0.27001	0.39120	0.65977	0.85406	0.96844	0.99794	3.80	7.78	9.13	12.12
chr1	20000000	21000000	5773	0.12003	1.4207	0.14985	0.20222	0.26714	0.42983	0.60923	0.82259	0.96612	5.78	11.83	13.88	18.43
chr1	21000000	22000000	6660	0.11164	1.5188	0.14937	0.20102	0.26495	0.42526	0.60298	0.81707	0.96424	5.84	11.95	14.03	18.62
chr1	22000000	23000000	6642	0.12227	1.2338	0.14464	0.18916	0.24349	0.37989	0.53833	0.75382	0.93867	6.52	13.35	15.67	20.80
chr1	23000000	24000000	5592	0.11157	1.5306	0.14970	0.20184	0.26646	0.42840	0.60728	0.82088	0.96555	5.80	11.86	13.93	18.48
chr1	24000000	25000000	6090	0.12901	1.2448	0.14739	0.19602	0.25589	0.40620	0.57642	0.79245	0.95518	6.10	12.49	14.67	19.47
chr1	25000000	26000000	5172	0.09730	1.2250	0.13607	0.16832	0.20640	0.30044	0.41492	0.60077	0.84058	8.37	17.13	20.11	26.69
chr1	26000000	27000000	5712	0.07135	0.8210	0.12158	0.13517	0.15002	0.18372	0.22300	0.29244	0.43148	17.27	35.35	41.49	NA
chr1	27000000	28000000	5299	0.07954	0.6000	0.11924	0.13009	0.14176	0.16773	0.19736	0.24889	0.35269	21.11	43.20	NA	NA
chr1	28000000	29000000	5385	0.06317	0.9011	0.12116	0.13425	0.14851	0.18077	0.21825	0.28433	0.41700	17.85	36.53	42.89	NA
chr1	29000000	30000000	6333	0.12010	1.6344	0.15698	0.22052	0.30060	0.49801	0.69603	0.88926	0.98485	5.02	10.27	12.06	16.01
chr1	30000000	31000000	7797	0.14326	1.7548	0.17415	0.26623	0.38434	0.64888	0.84546	0.96536	0.99763	3.87	7.92	9.29	12.34
chr1	31000000	32000000	6543	0.12635	1.3527	0.15012	0.20290	0.26838	0.43242	0.61275	0.82566	0.96715	5.74	11.76	13.80	18.32
chr1	32000000	33000000	5271	0.05665	0.9711	0.12070	0.13324	0.14687	0.17758	0.21310	0.27556	0.40124	18.53	37.94	44.53	NA
chr1	33000000	34000000	5755	0.11648	1.3451	0.14604	0.19266	0.24980	0.39331	0.55796	0.77422	0.94775	6.30	12.90	15.14	20.09
chr1	34000000	35000000	6566	0.11690	1.2526	0.14336	0.18600	0.23780	0.36774	0.52023	0.73405	0.92907	6.74	13.80	16.19	21.49
chr1	35000000	36000000	5319	0.09262	1.1879	0.13375	0.16283	0.19681	0.27998	0.38161	0.55231	0.79650	9.09	18.61	21.84	28.99
chr1	36000000	37000000	6230	0.09809	0.8716	0.12796	0.14942	0.17376	0.23160	0.30167	0.42570	0.64575	11.66	23.87	28.02	37.20
chr1	37000000	38000000	6297	0.09244	1.7384	0.14655	0.19393	0.25210	0.39819	0.56499	0.78127	0.95070	6.22	12.74	14.96	19.85
chr1	38000000	39000000	6114	0.10792	1.5671	0.14916	0.20049	0.26399	0.42324	0.60021	0.81459	0.96338	5.86	12.00	14.09	18.70
chr1	39000000	40000000	5688	0.11413	1.6099	0.15330	0.21103	0.28322	0.46302	0.65298	0.85848	0.97710	5.38	11.01	12.93	17.16
chr1	40000000	41000000	6246	0.12099	0.9794	0.13628	0.16883	0.20729	0.30235	0.41802	0.60513	0.84421	8.31	17.01	19.97	26.50
chr1	41000000	42000000	5817	0.11431	0.8561	0.13110	0.15664	0.18610	0.25734	0.34431	0.49485	0.73471	10.10	20.67	24.27	32.21
chr1	42000000	43000000	5459	0.13251	0.7500	0.13172	0.15807	0.18856	0.26252	0.35287	0.50831	0.75015	9.84	20.15	23.65	31.39
chr1	43000000	44000000	5395	0.11408	0.8310	0.13036	0.15493	0.18315	0.25115	0.33406	0.47854	0.71518	10.43	21.34	25.05	33.25
chr1	44000000	45000000	5957	0.10122	0.6688	0.12386	0.14020	0.15831	0.20015	0.24976	0.33813	0.51052	14.71	30.10	35.33	46.90
chr1	45000000	46000000	6146	0.09025	0.6465	0.12166	0.13535	0.15031	0.18429	0.22393	0.29401	0.43428	17.16	35.13	41.23	NA
chr1	46000000	47000000	6375	0.10074	0.6353	0.12301	0.13833	0.15521	0.19396	0.23965	0.32086	0.48121	15.56	31.84	37.38	49.61
chr1	47000000	48000000	6206	0.11781	0.9009	0.13316	0.16146	0.19441	0.27490	0.37326	0.53973	0.78389	9.29	19.02	22.33	29.64
chr1	48000000	49000000	5923	0.09713	0.6780	0.12341	0.13919	0.15664	0.19681	0.24430	0.32881	0.49480	15.15	31.01	36.40	48.31
chr1	49000000	50000000	4494	0.05707	0.4135	0.11503	0.11900	0.12419	0.13515	0.14692	0.16614	0.20258	43.20	NA	NA	NA
chr1	50000000	51000000	4030	0.05769	0.1752	0.11510	0.11510	0.11541	0.11973	0.12419	0.13114	0.14347	NA	NA	NA	NA
chr1	51000000	52000000	4287	0.04377	0.3145	0.11361	0.11478	0.11767	0.12364	0.12987	0.13972	0.15751	NA	NA	NA	NA
chr1	52000000	53000000	5153	0.07740	0.7570	0.12162	0.13527	0.15018	0.18404	0.22352	0.29331	0.43304	17.21	35.22	41.35	NA
