chrom	window_start	population	Hbar	n_blocks	mean_distinct_hap	mean_n_hap	cMperMb
chr1	0	AFR	0.001604	2	331.0	400	0.6855
chr1	0	AMR	0.004731	2	305.0	400	0.6855
chr1	0	EAS	0.002976	2	318.5	400	0.6855
chr1	0	EUR	0.004016	2	307.0	400	0.6855
chr1	0	SAS	0.001429	2	348.0	400	0.6855
chr1	1000000	AFR	0.003127	2	291.5	400	1.1979
chr1	1000000	AMR	0.010075	2	233.0	400	1.1979
chr1	1000000	EAS	0.005150	2	278.0	400	1.1979
chr1	1000000	EUR	0.026310	2	198.0	400	1.1979
chr1	1000000	SAS	0.006836	2	248.0	400	1.1979
chr1	2000000	AFR	0.018035	6	233.2	400	2.6358
chr1	2000000	AMR	0.025909	6	179.7	400	2.6358
chr1	2000000	EAS	0.031197	6	198.3	400	2.6358
chr1	2000000	EUR	0.025284	6	164.0	400	2.6358
chr1	2000000	SAS	0.015013	6	208.0	400	2.6358
chr1	3000000	AFR	0.002095	5	310.8	400	2.9523
chr1	3000000	AMR	0.006609	5	243.6	400	2.9523
chr1	3000000	EAS	0.007421	5	250.2	400	2.9523
chr1	3000000	EUR	0.006521	5	242.8	400	2.9523
chr1	3000000	SAS	0.006233	5	284.4	400	2.9523
chr1	4000000	AFR	0.008319	7	240.7	400	3.2568
chr1	4000000	AMR	0.026019	7	188.4	400	3.2568
chr1	4000000	EAS	0.018117	7	199.4	400	3.2568
chr1	4000000	EUR	0.013734	7	197.9	400	3.2568
chr1	4000000	SAS	0.008901	7	235.1	400	3.2568
chr1	5000000	AFR	0.004555	4	297.8	400	2.0616
chr1	5000000	AMR	0.022090	4	231.5	400	2.0616
chr1	5000000	EAS	0.013916	4	244.8	400	2.0616
chr1	5000000	EUR	0.008120	4	260.0	400	2.0616
chr1	5000000	SAS	0.003371	4	296.2	400	2.0616
chr1	6000000	AFR	0.010880	4	218.2	400	2.0322
chr1	6000000	AMR	0.125614	4	124.8	400	2.0322
chr1	6000000	EAS	0.057619	4	136.2	400	2.0322
chr1	6000000	EUR	0.072030	4	118.2	400	2.0322
chr1	6000000	SAS	0.056573	4	149.5	400	2.0322
chr1	7000000	AFR	0.001942	3	323.0	400	1.5773
chr1	7000000	AMR	0.013559	3	251.7	400	1.5773
chr1	7000000	EAS	0.010514	3	253.3	400	1.5773
chr1	7000000	EUR	0.011383	3	241.7	400	1.5773
chr1	7000000	SAS	0.009069	3	282.3	400	1.5773
chr1	8000000	AFR	0.015833	4	224.0	400	1.8165
chr1	8000000	AMR	0.033327	4	179.2	400	1.8165
chr1	8000000	EAS	0.099420	4	189.8	400	1.8165
