chrom	window_start	window_end	n_variants	mean_2pq	cMperMb	post_L1Mb	post_L2Mb	post_L3Mb	post_L5Mb	post_L7Mb	post_L10Mb	post_L15Mb	L_for_post_0.5_Mb	L_for_post_0.9_Mb	L_for_post_0.95_Mb	L_for_post_0.99_Mb
chr1	0	1000000	4490	0.05162	0.6855	0.05347	0.05727	0.06132	0.07023	0.08034	0.09799	0.13512	40.55	NA	NA	NA
chr1	1000000	2000000	10815	0.06839	1.1979	0.05860	0.06869	0.08038	0.10931	0.14700	0.22284	0.40117	17.36	30.31	34.71	44.43
chr1	2000000	3000000	10375	0.07679	2.6358	0.07411	0.10871	0.15672	0.30144	0.50049	0.77998	0.96680	7.00	12.21	13.99	17.91
chr1	3000000	4000000	10203	0.09552	2.9523	0.08678	0.14669	0.23721	0.50439	0.76908	0.95173	0.99739	4.97	8.68	9.94	12.72
chr1	4000000	5000000	9380	0.13099	3.2568	0.11589	0.24650	0.44946	0.83564	0.96939	0.99797	0.99998	3.22	5.62	6.44	8.25
chr1	5000000	6000000	9144	0.10939	2.0616	0.07808	0.12014	0.18043	0.36399	0.59803	0.86179	0.98549	6.17	10.77	12.33	15.79
chr1	6000000	7000000	7724	0.08121	2.0322	0.06900	0.09467	0.12857	0.22703	0.36896	0.62153	0.90179	8.56	14.94	17.11	21.91
chr1	7000000	8000000	7268	0.11583	1.5773	0.07189	0.10250	0.14414	0.26803	0.44326	0.71851	0.94679	7.59	13.24	15.17	19.42
chr1	8000000	9000000	6475	0.10231	1.8165	0.07214	0.10320	0.14553	0.27173	0.44976	0.72606	0.94956	7.51	13.12	15.02	19.23
chr1	9000000	10000000	7486	0.08937	1.7185	0.06757	0.09089	0.12120	0.20791	0.33313	0.56740	0.86762	9.16	15.99	18.31	23.44
chr1	10000000	11000000	7122	0.08968	1.9801	0.07081	0.09955	0.13822	0.25239	0.41539	0.68451	0.93308	7.92	13.82	15.83	20.27
chr1	11000000	12000000	7360	0.10436	1.9923	0.07535	0.11224	0.16398	0.32070	0.53190	0.80927	0.97445	6.71	11.71	13.41	17.17
chr1	12000000	13000000	8942	0.07168	1.8808	0.06497	0.08418	0.10841	0.17545	0.27132	0.46292	0.77736	10.53	18.38	21.06	26.95
chr1	13000000	14000000	9957	0.08475	2.3007	0.07317	0.10608	0.15136	0.28721	0.47652	0.75556	0.95953	7.23	12.62	14.46	18.51
chr1	14000000	15000000	7917	0.12127	2.3422	0.08780	0.14992	0.24423	0.52037	0.78460	0.95728	0.99784	4.87	8.49	9.73	12.45
chr1	15000000	16000000	7780	0.12566	1.9596	0.08165	0.13081	0.20302	0.42191	0.67648	0.91024	0.99295	5.60	9.77	11.19	14.33
chr1	16000000	17000000	8854	0.09336	1.7975	0.06952	0.09607	0.13132	0.23421	0.38225	0.64039	0.91204	8.36	14.60	16.72	21.40
