chrom	window_start	window_end	n_variants	mean_2pq	cMperMb	post_L1Mb	post_L2Mb	post_L3Mb	post_L5Mb	post_L7Mb	post_L10Mb	post_L15Mb	L_for_post_0.5_Mb	L_for_post_0.9_Mb	L_for_post_0.95_Mb	L_for_post_0.99_Mb
chr1	0	1000000	4490	0.05162	0.6855	0.00623	0.00669	0.00719	0.00831	0.00960	0.01191	0.01704	NA	NA	NA	NA
chr1	1000000	2000000	10815	0.06839	1.1979	0.00686	0.00812	0.00960	0.01343	0.01876	0.03082	0.06917	30.32	43.26	47.67	NA
chr1	2000000	3000000	10375	0.07679	2.6358	0.00880	0.01335	0.02020	0.04569	0.10004	0.28229	0.76368	12.22	17.43	19.21	23.12
chr1	3000000	4000000	10203	0.09552	2.9523	0.01043	0.01871	0.03335	0.10145	0.26980	0.68628	0.97695	8.68	12.39	13.65	16.43
chr1	4000000	5000000	9380	0.13099	3.2568	0.01433	0.03502	0.08304	0.36062	0.77840	0.98201	0.99981	5.63	8.03	8.85	10.65
chr1	5000000	6000000	9144	0.10939	2.0616	0.00931	0.01492	0.02384	0.05970	0.14167	0.40890	0.88287	10.77	15.37	16.94	20.39
chr1	6000000	7000000	7724	0.08121	2.0322	0.00815	0.01147	0.01610	0.03155	0.06090	0.15408	0.50455	14.95	21.33	23.50	28.30
chr1	7000000	8000000	7268	0.11583	1.5773	0.00852	0.01251	0.01834	0.03903	0.08115	0.22066	0.66372	13.25	18.91	20.83	25.08
chr1	8000000	9000000	6475	0.10231	1.8165	0.00855	0.01260	0.01854	0.03975	0.08314	0.22722	0.67624	13.12	18.73	20.63	24.84
chr1	9000000	10000000	7486	0.08937	1.7185	0.00797	0.01097	0.01507	0.02829	0.05250	0.12700	0.42093	15.99	22.82	25.14	30.27
chr1	10000000	11000000	7122	0.08968	1.9801	0.00838	0.01212	0.01748	0.03610	0.07307	0.19402	0.60742	13.83	19.73	21.74	26.18
chr1	11000000	12000000	7360	0.10436	1.9923	0.00896	0.01383	0.02130	0.04976	0.11194	0.32005	0.80881	11.72	16.72	18.42	22.18
chr1	12000000	13000000	8942	0.07168	1.8808	0.00765	0.01009	0.01331	0.02306	0.03966	0.08726	0.27915	18.39	26.24	28.92	34.82
chr1	13000000	14000000	9957	0.08475	2.3007	0.00868	0.01299	0.01940	0.04278	0.09171	0.25532	0.72451	12.63	18.02	19.85	23.90
chr1	14000000	15000000	7917	0.12127	2.3422	0.01056	0.01919	0.03461	0.10743	0.28780	0.71315	0.98090	8.50	12.12	13.36	16.08
chr1	15000000	16000000	7780	0.12566	1.9596	0.00977	0.01642	0.02748	0.07490	0.18828	0.52937	0.93986	9.78	13.95	15.37	18.51
chr1	16000000	17000000	8854	0.09336	1.7975	0.00822	0.01165	0.01649	0.03281	0.06423	0.16496	0.53492	14.60	20.84	22.96	27.64
chr1	17000000	18000000	8051	0.11910	2.2922	0.01031	0.01830	0.03226	0.09636	0.25434	0.66117	0.97276	8.85	12.63	13.91	16.75
chr1	18000000	19000000	8608	0.11753	2.6340	0.01113	0.02129	0.04034	0.13564	0.36943	0.80866	0.99129	7.81	11.15	12.28	14.79
chr1	19000000	20000000	7477	0.11637	2.3132	0.01022	0.01798	0.03143	0.09250	0.24255	0.64068	0.96893	8.99	12.83	14.13	17.02
chr1	20000000	21000000	6731	0.11793	1.4207	0.00825	0.01175	0.01670	0.03349	0.06602	0.17081	0.55053	14.43	20.59	22.69	27.32
chr1	21000000	22000000	7899	0.10223	1.5188	0.00802	0.01109	0.01533	0.02910	0.05456	0.13359	0.44231	15.71	22.42	24.70	29.74
chr1	22000000	23000000	7586	0.11074	1.2338	0.00772	0.01029	0.01370	0.02419	0.04237	0.09542	0.30979	17.77	25.35	27.93	33.63
chr1	23000000	24000000	6687	0.08865	1.5306	0.00768	0.01018	0.01348	0.02356	0.04085	0.09082	0.29258	18.11	25.84	28.47	34.28
chr1	24000000	25000000	7302	0.11642	1.2448	0.00787	0.01068	0.01447	0.02648	0.04796	0.11268	0.37218	16.70	23.83	26.25	31.61
chr1	25000000	26000000	6532	0.08566	1.2250	0.00720	0.00896	0.01113	0.01715	0.02635	0.04967	0.13536	23.45	33.47	36.87	44.40
chr1	26000000	27000000	6470	0.08445	0.8210	0.00669	0.00773	0.00892	0.01188	0.01581	0.02421	0.04870	35.51	NA	NA	NA
chr1	27000000	28000000	6162	0.05952	0.6000	0.00623	0.00671	0.00721	0.00835	0.00966	0.01202	0.01728	NA	NA	NA	NA
chr1	28000000	29000000	6689	0.08933	0.9011	0.00685	0.00810	0.00957	0.01336	0.01862	0.03050	0.06813	30.51	43.54	47.97	NA
chr1	29000000	30000000	7270	0.11095	1.6344	0.00849	0.01241	0.01813	0.03830	0.07913	0.21400	0.65048	13.38	19.10	21.04	25.34
chr1	30000000	31000000	8260	0.12138	1.7548	0.00909	0.01425	0.02225	0.05343	0.12281	0.35352	0.84121	11.33	16.17	17.81	21.45
chr1	31000000	32000000	6979	0.09951	1.3527	0.00768	0.01017	0.01346	0.02349	0.04068	0.09032	0.29071	18.15	25.89	28.53	34.35
chr1	32000000	33000000	5825	0.04556	0.9711	0.00634	0.00694	0.00759	0.00908	0.01086	0.01421	0.02216	NA	NA	NA	NA
chr1	33000000	34000000	6332	0.10969	1.3451	0.00790	0.01077	0.01466	0.02705	0.04939	0.11715	0.38772	16.46	23.49	25.88	31.16
chr1	34000000	35000000	7290	0.11610	1.2526	0.00788	0.01070	0.01452	0.02661	0.04828	0.11368	0.37568	16.64	23.75	26.17	31.51
chr1	35000000	36000000	5571	0.02820	1.1879	0.00620	0.00663	0.00709	0.00812	0.00929	0.01137	0.01589	NA	NA	NA	NA
