chrom	window_start	window_end	n_variants	mean_2pq	cMperMb	post_L1Mb	post_L2Mb	post_L3Mb	post_L5Mb	post_L7Mb	post_L10Mb	post_L15Mb	L_for_post_0.5_Mb	L_for_post_0.9_Mb	L_for_post_0.95_Mb	L_for_post_0.99_Mb
chr1	0	1000000	4065	0.06653	0.6855	0.02623	0.02875	0.03151	0.03781	0.04531	0.05926	0.09172	39.29	NA	NA	NA
chr1	1000000	2000000	9986	0.08699	1.1979	0.02958	0.03653	0.04503	0.06797	0.10136	0.17828	0.39227	17.01	27.08	30.51	38.08
chr1	2000000	3000000	10080	0.08492	2.6358	0.03766	0.05881	0.09071	0.20274	0.39328	0.72512	0.96475	7.93	12.62	14.22	17.75
chr1	3000000	4000000	9581	0.11102	2.9523	0.04681	0.08957	0.16465	0.44168	0.76048	0.96231	0.99879	5.34	8.50	9.57	11.95
chr1	4000000	5000000	9106	0.13263	3.2568	0.05832	0.13530	0.28333	0.71620	0.94155	0.99617	0.99996	4.00	6.37	7.18	8.96
chr1	5000000	6000000	7732	0.10933	2.0616	0.03801	0.05987	0.09310	0.21055	0.40931	0.74372	0.96930	7.77	12.37	13.94	17.39
chr1	6000000	7000000	6897	0.09105	2.0322	0.03487	0.05057	0.07280	0.14574	0.27044	0.54282	0.89204	9.56	15.22	17.15	21.40
chr1	7000000	8000000	7056	0.11707	1.5773	0.03503	0.05103	0.07377	0.14873	0.27709	0.55464	0.89875	9.44	15.04	16.94	21.14
chr1	8000000	9000000	5854	0.08315	1.8165	0.03251	0.04403	0.05939	0.10606	0.18230	0.36477	0.73540	11.76	18.73	21.09	26.33
chr1	9000000	10000000	7050	0.10346	1.7185	0.03445	0.04937	0.07028	0.13804	0.25333	0.51129	0.87237	9.88	15.73	17.72	22.12
chr1	10000000	11000000	6434	0.10128	1.9801	0.03607	0.05402	0.08018	0.16880	0.32116	0.62719	0.93305	8.77	13.97	15.73	19.64
chr1	11000000	12000000	7492	0.10880	1.9923	0.03734	0.05783	0.08854	0.19565	0.37853	0.70705	0.95992	8.08	12.87	14.50	18.09
chr1	12000000	13000000	8590	0.09443	1.8808	0.03438	0.04916	0.06984	0.13672	0.25039	0.50572	0.86860	9.94	15.83	17.83	22.25
chr1	13000000	14000000	9256	0.11756	2.3007	0.04176	0.07192	0.12109	0.30338	0.57924	0.88555	0.99278	6.44	10.26	11.56	14.43
chr1	14000000	15000000	7389	0.12923	2.3422	0.04477	0.08226	0.14631	0.38524	0.69617	0.94125	0.99756	5.72	9.11	10.26	12.81
chr1	15000000	16000000	6949	0.09994	1.9596	0.03571	0.05299	0.07794	0.16174	0.30575	0.60297	0.92280	8.99	14.31	16.12	20.12
chr1	16000000	17000000	7725	0.07027	1.7975	0.03087	0.03975	0.05104	0.08326	0.13296	0.25177	0.55489	14.16	22.55	25.40	31.70
chr1	17000000	18000000	7462	0.12128	2.2922	0.04246	0.07425	0.12671	0.32192	0.60836	0.90191	0.99442	6.26	9.96	11.22	14.01
chr1	18000000	19000000	7923	0.12263	2.6340	0.04656	0.08866	0.16234	0.43474	0.75322	0.96021	0.99868	5.38	8.57	9.65	12.05
chr1	19000000	20000000	6972	0.11252	2.3132	0.04084	0.06888	0.11388	0.27945	0.53926	0.85987	0.98980	6.72	10.69	12.05	15.04
chr1	20000000	21000000	5773	0.12003	1.4207	0.03405	0.04825	0.06795	0.13102	0.23770	0.48116	0.85083	10.21	16.26	18.31	22.86
