chrom	window_start	window_end	n_variants	mean_2pq	cMperMb	post_L1Mb	post_L2Mb	post_L3Mb	post_L5Mb	post_L7Mb	post_L10Mb	post_L15Mb	L_for_post_0.5_Mb	L_for_post_0.9_Mb	L_for_post_0.95_Mb	L_for_post_0.99_Mb
chr1	0	1000000	4792	0.05704	0.6855	0.05387	0.05812	0.06269	0.07284	0.08449	0.10515	0.14948	36.59	NA	NA	NA
chr1	1000000	2000000	11536	0.08210	1.1979	0.06059	0.07338	0.08861	0.12784	0.18098	0.29029	0.53302	14.36	25.06	28.70	36.74
chr1	2000000	3000000	11612	0.07392	2.6358	0.07300	0.10558	0.15035	0.28451	0.47190	0.75064	0.95796	7.28	12.71	14.55	18.63
chr1	3000000	4000000	10978	0.09701	2.9523	0.08755	0.14914	0.24253	0.51653	0.78094	0.95600	0.99774	4.89	8.54	9.78	12.52
chr1	4000000	5000000	10387	0.13225	3.2568	0.11687	0.25002	0.45648	0.84203	0.97129	0.99815	0.99998	3.19	5.57	6.38	8.16
chr1	5000000	6000000	9117	0.11436	2.0616	0.07976	0.12511	0.19090	0.39109	0.63616	0.88705	0.98969	5.88	10.27	11.76	15.06
chr1	6000000	7000000	8344	0.08231	2.0322	0.06931	0.09551	0.13021	0.23132	0.37693	0.63291	0.90807	8.44	14.73	16.87	21.60
chr1	7000000	8000000	8529	0.10001	1.5773	0.06824	0.09266	0.12464	0.21681	0.34988	0.59331	0.88490	8.86	15.47	17.72	22.69
chr1	8000000	9000000	6954	0.10127	1.8165	0.07186	0.10242	0.14396	0.26757	0.44245	0.71757	0.94644	7.60	13.26	15.19	19.44
chr1	9000000	10000000	8119	0.09744	1.7185	0.06952	0.09607	0.13132	0.23422	0.38227	0.64041	0.91205	8.36	14.60	16.72	21.40
chr1	10000000	11000000	7904	0.08605	1.9801	0.06978	0.09676	0.13269	0.23782	0.38889	0.64955	0.91673	8.27	14.43	16.53	21.16
chr1	11000000	12000000	8882	0.11185	1.9923	0.07772	0.11908	0.17822	0.35820	0.58955	0.85570	0.98438	6.23	10.88	12.46	15.96
chr1	12000000	13000000	9875	0.07879	1.8808	0.06675	0.08875	0.11709	0.19736	0.31314	0.53511	0.84346	9.54	16.66	19.08	24.43
chr1	13000000	14000000	10530	0.09498	2.3007	0.07676	0.11630	0.17239	0.34292	0.56663	0.83832	0.98096	6.42	11.20	12.83	16.42
chr1	14000000	15000000	8423	0.11599	2.3422	0.08558	0.14291	0.22903	0.48533	0.74958	0.94422	0.99672	5.10	8.91	10.20	13.06
chr1	15000000	16000000	8416	0.11419	1.9596	0.07790	0.11962	0.17934	0.36114	0.59386	0.85882	0.98495	6.20	10.82	12.40	15.87
chr1	16000000	17000000	9608	0.07847	1.7975	0.06583	0.08637	0.11254	0.18581	0.29113	0.49786	0.81159	10.03	17.51	20.05	25.67
chr1	17000000	18000000	9043	0.10680	2.2922	0.08102	0.12889	0.19893	0.41160	0.66335	0.90306	0.99200	5.69	9.93	11.38	14.56
chr1	18000000	19000000	9622	0.10863	2.6340	0.08781	0.14997	0.24434	0.52063	0.78485	0.95737	0.99785	4.86	8.49	9.72	12.45
chr1	19000000	20000000	8345	0.10506	2.3132	0.08070	0.12793	0.19689	0.40641	0.65661	0.89924	0.99148	5.74	10.02	11.47	14.69
chr1	20000000	21000000	7294	0.10793	1.4207	0.06774	0.09134	0.12208	0.21019	0.33743	0.57415	0.87229	9.08	15.85	18.15	23.24
chr1	21000000	22000000	8396	0.09691	1.5188	0.06681	0.08890	0.11738	0.19809	0.31454	0.53740	0.84528	9.52	16.61	19.03	24.36
chr1	22000000	23000000	7785	0.11128	1.2338	0.06566	0.08594	0.11174	0.18379	0.28727	0.49116	0.80537	10.12	17.67	20.24	25.91
chr1	23000000	24000000	6713	0.09719	1.5306	0.06702	0.08945	0.11843	0.20078	0.31964	0.54576	0.85177	9.41	16.43	18.82	24.09
chr1	24000000	25000000	7651	0.11172	1.2448	0.06590	0.08655	0.11288	0.18668	0.29279	0.50073	0.81420	9.99	17.44	19.97	25.57
chr1	25000000	26000000	6443	0.08311	1.2250	0.06101	0.07438	0.09041	0.13198	0.18871	0.30562	0.56026	13.86	24.20	27.71	35.48
chr1	26000000	27000000	6543	0.07987	0.8210	0.05680	0.06458	0.07335	0.09424	0.12030	0.17086	0.28985	21.56	37.63	43.10	NA
chr1	27000000	28000000	6319	0.06608	0.6000	0.05394	0.05829	0.06295	0.07336	0.08532	0.10659	0.15239	35.92	NA	NA	NA
chr1	28000000	29000000	7021	0.06962	0.9011	0.05645	0.06379	0.07201	0.09145	0.11547	0.16167	0.26982	22.65	39.55	45.29	NA
chr1	29000000	30000000	7571	0.11128	1.6344	0.07171	0.10200	0.14313	0.26536	0.43855	0.71296	0.94469	7.64	13.34	15.28	19.56
chr1	30000000	31000000	8857	0.11794	1.7548	0.07544	0.11249	0.16450	0.32208	0.53410	0.81122	0.97492	6.69	11.68	13.38	17.12
chr1	31000000	32000000	7457	0.10673	1.3527	0.06654	0.08821	0.11605	0.19471	0.30809	0.52672	0.83667	9.65	16.85	19.29	24.70
chr1	32000000	33000000	6207	0.04623	0.9711	0.05445	0.05938	0.06473	0.07679	0.09088	0.11639	0.17258	32.05	NA	NA	NA
chr1	33000000	34000000	6771	0.10460	1.3451	0.06604	0.08691	0.11358	0.18843	0.29614	0.50648	0.81937	9.91	17.30	19.82	25.37
chr1	34000000	35000000	7767	0.11225	1.2526	0.06610	0.08708	0.11389	0.18923	0.29765	0.50908	0.82166	9.88	17.24	19.75	25.28
