chrom	window_start	window_end	n_variants	mean_2pq	cMperMb	post_L1Mb	post_L2Mb	post_L3Mb	post_L5Mb	post_L7Mb	post_L10Mb	post_L15Mb	L_for_post_0.5_Mb	L_for_post_0.9_Mb	L_for_post_0.95_Mb	L_for_post_0.99_Mb
chr1	0	1000000	5616	0.05141	0.6855	0.00623	0.00669	0.00719	0.00830	0.00958	0.01187	0.01696	NA	NA	NA	NA
chr1	1000000	2000000	12778	0.06957	1.1979	0.00688	0.00816	0.00969	0.01363	0.01915	0.03175	0.07218	29.78	42.50	46.82	NA
chr1	2000000	3000000	12513	0.06867	2.6358	0.00841	0.01219	0.01763	0.03661	0.07447	0.19863	0.61783	13.72	19.58	21.57	25.97
chr1	3000000	4000000	13057	0.08297	2.9523	0.00962	0.01595	0.02632	0.06991	0.17290	0.49228	0.92597	10.06	14.36	15.82	19.05
chr1	4000000	5000000	12005	0.10442	3.2568	0.01181	0.02393	0.04787	0.17458	0.47083	0.88475	0.99642	7.16	10.22	11.26	13.56
chr1	5000000	6000000	11859	0.08744	2.0616	0.00843	0.01224	0.01775	0.03701	0.07556	0.20225	0.62578	13.64	19.46	21.44	25.82
chr1	6000000	7000000	9465	0.06745	2.0322	0.00768	0.01017	0.01347	0.02352	0.04076	0.09054	0.29155	18.13	25.87	28.50	34.32
chr1	7000000	8000000	10189	0.08894	1.5773	0.00776	0.01038	0.01387	0.02470	0.04359	0.09914	0.32352	17.51	24.99	27.53	33.15
chr1	8000000	9000000	9159	0.07554	1.8165	0.00769	0.01021	0.01353	0.02370	0.04118	0.09182	0.29634	18.03	25.73	28.35	34.13
chr1	9000000	10000000	10180	0.07791	1.7185	0.00764	0.01007	0.01327	0.02295	0.03941	0.08649	0.27624	18.45	26.34	29.02	34.94
chr1	10000000	11000000	9633	0.07292	1.9801	0.00780	0.01050	0.01412	0.02543	0.04538	0.10465	0.34359	17.16	24.49	26.98	32.48
chr1	11000000	12000000	10347	0.07659	1.9923	0.00794	0.01088	0.01488	0.02772	0.05105	0.12239	0.40555	16.20	23.12	25.48	30.68
chr1	12000000	13000000	11102	0.06026	1.8808	0.00731	0.00921	0.01161	0.01841	0.02906	0.05692	0.16266	22.01	31.41	34.60	41.66
chr1	13000000	14000000	11966	0.06978	2.3007	0.00806	0.01121	0.01557	0.02986	0.05650	0.13981	0.46192	15.46	22.06	24.30	29.26
chr1	14000000	15000000	10487	0.09389	2.3422	0.00916	0.01446	0.02276	0.05541	0.12873	0.37130	0.85603	11.14	15.90	17.52	21.09
chr1	15000000	16000000	10248	0.09543	1.9596	0.00856	0.01263	0.01860	0.03993	0.08365	0.22888	0.67933	13.09	18.68	20.58	24.78
chr1	16000000	17000000	11737	0.06997	1.7975	0.00751	0.00972	0.01258	0.02101	0.03489	0.07326	0.22550	19.73	28.16	31.02	37.35
chr1	17000000	18000000	10904	0.09266	2.2922	0.00902	0.01401	0.02171	0.05135	0.11662	0.33460	0.82367	11.54	16.47	18.15	21.85
chr1	18000000	19000000	11018	0.09397	2.6340	0.00970	0.01621	0.02697	0.07269	0.18149	0.51330	0.93416	9.90	14.12	15.56	18.74
chr1	19000000	20000000	10055	0.08846	2.3132	0.00886	0.01354	0.02064	0.04730	0.10472	0.29727	0.78282	12.01	17.14	18.88	22.73
chr1	20000000	21000000	8717	0.09217	1.4207	0.00761	0.00999	0.01311	0.02250	0.03835	0.08335	0.26429	18.73	26.72	29.44	35.45
chr1	21000000	22000000	9745	0.08430	1.5188	0.00756	0.00985	0.01283	0.02172	0.03652	0.07798	0.24371	19.23	27.45	30.24	36.41
chr1	22000000	23000000	9842	0.09312	1.2338	0.00736	0.00935	0.01187	0.01909	0.03056	0.06104	0.17839	21.33	30.44	33.54	40.38
chr1	23000000	24000000	8454	0.07781	1.5306	0.00741	0.00948	0.01211	0.01974	0.03200	0.06504	0.19378	20.75	29.61	32.62	39.28
chr1	24000000	25000000	9434	0.09054	1.2448	0.00733	0.00926	0.01170	0.01864	0.02956	0.05828	0.16783	21.78	31.08	34.24	41.22
chr1	25000000	26000000	8242	0.07682	1.2250	0.00704	0.00855	0.01038	0.01527	0.02243	0.03965	0.09903	26.28	37.50	41.31	49.74
chr1	26000000	27000000	7747	0.07202	0.8210	0.00654	0.00739	0.00835	0.01065	0.01357	0.01949	0.03542	41.92	NA	NA	NA
chr1	27000000	28000000	7660	0.04780	0.6000	0.00614	0.00651	0.00690	0.00776	0.00872	0.01038	0.01388	NA	NA	NA	NA
chr1	28000000	29000000	7681	0.07459	0.9011	0.00666	0.00765	0.00878	0.01158	0.01526	0.02302	0.04523	36.83	NA	NA	NA
chr1	29000000	30000000	9297	0.09162	1.6344	0.00791	0.01080	0.01473	0.02726	0.04991	0.11878	0.39329	16.38	23.37	25.75	31.01
chr1	30000000	31000000	10988	0.10364	1.7548	0.00848	0.01240	0.01811	0.03823	0.07891	0.21329	0.64905	13.40	19.12	21.07	25.37
chr1	31000000	32000000	8935	0.08999	1.3527	0.00746	0.00961	0.01237	0.02044	0.03359	0.06953	0.21109	20.17	28.78	31.71	38.18
chr1	32000000	33000000	8129	0.04679	0.9711	0.00635	0.00697	0.00764	0.00919	0.01105	0.01456	0.02299	NA	NA	NA	NA
chr1	33000000	34000000	8518	0.07924	1.3451	0.00722	0.00900	0.01122	0.01738	0.02684	0.05097	0.14018	23.17	33.06	36.42	43.86
chr1	34000000	35000000	9506	0.09118	1.2526	0.00735	0.00932	0.01181	0.01893	0.03022	0.06008	0.17470	21.48	30.66	33.78	40.67
chr1	35000000	36000000	7906	0.05385	1.1879	0.00660	0.00752	0.00857	0.01112	0.01442	0.02125	0.04022	39.12	NA	NA	NA
chr1	36000000	37000000	9097	0.06549	0.8716	0.00651	0.00732	0.00824	0.01041	0.01314	0.01862	0.03311	43.58	NA	NA	NA
chr1	37000000	38000000	8964	0.08055	1.7384	0.00774	0.01034	0.01380	0.02447	0.04305	0.09748	0.31742	17.62	25.15	27.71	33.36
chr1	38000000	39000000	8511	0.08509	1.5671	0.00764	0.01007	0.01327	0.02294	0.03939	0.08644	0.27604	18.46	26.34	29.02	34.94
chr1	39000000	40000000	8462	0.07567	1.6099	0.00745	0.00958	0.01231	0.02026	0.03319	0.06839	0.20672	20.31	28.98	31.93	38.44
chr1	40000000	41000000	8637	0.08995	0.9794	0.00696	0.00836	0.01004	0.01446	0.02078	0.03561	0.08504	27.87	39.77	43.82	NA
chr1	41000000	42000000	8268	0.08867	0.8561	0.00678	0.00794	0.00930	0.01274	0.01742	0.02778	0.05949	32.36	46.18	NA	NA
chr1	42000000	43000000	8346	0.08621	0.7500	0.00663	0.00758	0.00867	0.01133	0.01479	0.02203	0.04242	38.05	NA	NA	NA
chr1	43000000	44000000	8080	0.08736	0.8310	0.00674	0.00783	0.00911	0.01230	0.01660	0.02594	0.05385	33.86	48.32	NA	NA
chr1	44000000	45000000	8103	0.08316	0.6688	0.00650	0.00730	0.00819	0.01031	0.01297	0.01827	0.03219	44.31	NA	NA	NA
chr1	45000000	46000000	7126	0.08500	0.6465	0.00649	0.00728	0.00816	0.01024	0.01285	0.01805	0.03161	44.79	NA	NA	NA
chr1	46000000	47000000	7940	0.08412	0.6353	0.00647	0.00723	0.00808	0.01008	0.01257	0.01748	0.03016	46.08	NA	NA	NA
chr1	47000000	48000000	8442	0.09934	0.9009	0.00699	0.00842	0.01015	0.01473	0.02134	0.03696	0.08967	27.30	38.95	42.92	NA
chr1	48000000	49000000	8237	0.07862	0.6780	0.00647	0.00722	0.00806	0.01005	0.01252	0.01738	0.02989	46.34	NA	NA	NA
chr1	49000000	50000000	5615	0.05804	0.4135	0.00615	0.00639	0.00671	0.00741	0.00817	0.00946	0.01209	NA	NA	NA	NA
chr1	50000000	51000000	6501	0.05238	0.1752	0.00611	0.00611	0.00613	0.00636	0.00660	0.00699	0.00767	NA	NA	NA	NA
chr1	51000000	52000000	7242	0.03609	0.3145	0.00601	0.00607	0.00621	0.00650	0.00680	0.00729	0.00817	NA	NA	NA	NA
chr1	52000000	53000000	8001	0.05496	0.7570	0.00631	0.00687	0.00748	0.00886	0.01050	0.01353	0.02060	NA	NA	NA	NA
