chrom	window_start	window_end	n_variants	mean_2pq	cMperMb	post_L1Mb	post_L2Mb	post_L3Mb	post_L5Mb	post_L7Mb	post_L10Mb	post_L15Mb	L_for_post_0.5_Mb	L_for_post_0.9_Mb	L_for_post_0.95_Mb	L_for_post_0.99_Mb
chr1	0	1000000	4792	0.05704	0.6855	0.00628	0.00680	0.00736	0.00864	0.01013	0.01287	0.01912	NA	NA	NA	NA
chr1	1000000	2000000	11536	0.08210	1.1979	0.00710	0.00871	0.01067	0.01600	0.02393	0.04340	0.11239	25.07	35.77	39.41	47.46
chr1	2000000	3000000	11612	0.07392	2.6358	0.00866	0.01293	0.01925	0.04225	0.09019	0.25034	0.71655	12.71	18.14	19.98	24.06
chr1	3000000	4000000	10978	0.09701	2.9523	0.01053	0.01907	0.03430	0.10596	0.28339	0.70679	0.98001	8.54	12.19	13.43	16.17
chr1	4000000	5000000	10387	0.13225	3.2568	0.01447	0.03566	0.08523	0.37158	0.78960	0.98361	0.99984	5.57	7.95	8.76	10.54
chr1	5000000	6000000	9117	0.11436	2.0616	0.00952	0.01561	0.02550	0.06651	0.16245	0.46558	0.91418	10.28	14.66	16.16	19.45
chr1	6000000	7000000	8344	0.08231	2.0322	0.00819	0.01158	0.01634	0.03230	0.06289	0.16055	0.52284	14.74	21.03	23.17	27.90
chr1	7000000	8000000	8529	0.10001	1.5773	0.00806	0.01120	0.01555	0.02979	0.05634	0.13929	0.46030	15.48	22.09	24.34	29.30
chr1	8000000	9000000	6954	0.10127	1.8165	0.00851	0.01250	0.01831	0.03895	0.08091	0.21987	0.66218	13.26	18.93	20.86	25.11
chr1	9000000	10000000	8119	0.09744	1.7185	0.00822	0.01165	0.01649	0.03282	0.06424	0.16497	0.53496	14.60	20.84	22.96	27.64
chr1	10000000	11000000	7904	0.08605	1.9801	0.00825	0.01174	0.01669	0.03345	0.06594	0.17054	0.54982	14.44	20.60	22.70	27.33
chr1	11000000	12000000	8882	0.11185	1.9923	0.00926	0.01477	0.02349	0.05830	0.13743	0.39680	0.87483	10.89	15.53	17.12	20.61
chr1	12000000	13000000	9875	0.07879	1.8808	0.00787	0.01069	0.01450	0.02655	0.04814	0.11323	0.37410	16.67	23.78	26.21	31.55
chr1	13000000	14000000	10530	0.09498	2.3007	0.00914	0.01439	0.02259	0.05472	0.12667	0.36515	0.85107	11.20	15.99	17.62	21.21
chr1	14000000	15000000	8423	0.11599	2.3422	0.01027	0.01816	0.03190	0.09470	0.24927	0.65252	0.97119	8.91	12.71	14.01	16.87
chr1	15000000	16000000	8416	0.11419	1.9596	0.00928	0.01485	0.02367	0.05901	0.13957	0.40292	0.87896	10.83	15.45	17.02	20.50
chr1	16000000	17000000	9608	0.07847	1.7975	0.00776	0.01038	0.01387	0.02469	0.04357	0.09909	0.32333	17.51	24.99	27.54	33.15
chr1	17000000	18000000	9043	0.10680	2.2922	0.00968	0.01615	0.02681	0.07201	0.17938	0.50821	0.93226	9.94	14.18	15.62	18.81
chr1	18000000	19000000	9622	0.10863	2.6340	0.01057	0.01920	0.03463	0.10753	0.28809	0.71356	0.98096	8.49	12.12	13.35	16.08
chr1	19000000	20000000	8345	0.10506	2.3132	0.00964	0.01601	0.02648	0.07059	0.17500	0.49748	0.92808	10.02	14.30	15.75	18.97
chr1	20000000	21000000	7294	0.10793	1.4207	0.00800	0.01103	0.01519	0.02867	0.05347	0.13010	0.43108	15.85	22.63	24.93	30.01
chr1	21000000	22000000	8396	0.09691	1.5188	0.00788	0.01071	0.01454	0.02667	0.04844	0.11416	0.37735	16.62	23.71	26.13	31.46
chr1	22000000	23000000	7785	0.11128	1.2338	0.00774	0.01032	0.01376	0.02437	0.04280	0.09672	0.31461	17.67	25.22	27.79	33.46
chr1	23000000	24000000	6713	0.09719	1.5306	0.00791	0.01078	0.01468	0.02711	0.04953	0.11761	0.38928	16.44	23.46	25.85	31.12
chr1	24000000	25000000	7651	0.11172	1.2448	0.00777	0.01040	0.01392	0.02483	0.04391	0.10012	0.32711	17.45	24.90	27.43	33.03
chr1	25000000	26000000	6443	0.08311	1.2250	0.00716	0.00884	0.01091	0.01659	0.02515	0.04655	0.12383	24.20	34.54	38.06	45.82
chr1	26000000	27000000	6543	0.07987	0.8210	0.00664	0.00760	0.00870	0.01141	0.01494	0.02235	0.04332	37.64	NA	NA	NA
chr1	27000000	28000000	6319	0.06608	0.6000	0.00629	0.00682	0.00740	0.00871	0.01024	0.01306	0.01955	NA	NA	NA	NA
chr1	28000000	29000000	7021	0.06962	0.9011	0.00659	0.00750	0.00853	0.01104	0.01428	0.02095	0.03938	39.56	NA	NA	NA
chr1	29000000	30000000	7571	0.11128	1.6344	0.00850	0.01244	0.01819	0.03853	0.07974	0.21601	0.65454	13.34	19.04	20.98	25.26
chr1	30000000	31000000	8857	0.11794	1.7548	0.00897	0.01387	0.02137	0.05006	0.11282	0.32280	0.81172	11.68	16.67	18.37	22.12
chr1	31000000	32000000	7457	0.10673	1.3527	0.00785	0.01062	0.01435	0.02612	0.04707	0.10989	0.36235	16.85	24.05	26.49	31.90
chr1	32000000	33000000	6207	0.04623	0.9711	0.00635	0.00695	0.00762	0.00914	0.01097	0.01440	0.02261	NA	NA	NA	NA
chr1	33000000	34000000	6771	0.10460	1.3451	0.00778	0.01045	0.01401	0.02511	0.04459	0.10221	0.33476	17.31	24.70	27.22	32.77
chr1	34000000	35000000	7767	0.11225	1.2526	0.00779	0.01047	0.01406	0.02524	0.04490	0.10316	0.33823	17.25	24.62	27.12	32.66
chr1	35000000	36000000	6346	0.05052	1.1879	0.00655	0.00740	0.00836	0.01067	0.01361	0.01958	0.03565	41.77	NA	NA	NA
chr1	36000000	37000000	7318	0.07765	0.8716	0.00666	0.00766	0.00881	0.01165	0.01538	0.02329	0.04601	36.52	NA	NA	NA
chr1	37000000	38000000	7665	0.10096	1.7384	0.00837	0.01207	0.01738	0.03574	0.07209	0.19080	0.59998	13.90	19.84	21.86	26.32
chr1	38000000	39000000	7252	0.10504	1.5671	0.00818	0.01155	0.01627	0.03210	0.06235	0.15881	0.51797	14.79	21.11	23.26	28.00
chr1	39000000	40000000	6959	0.08251	1.6099	0.00763	0.01004	0.01321	0.02278	0.03900	0.08530	0.27168	18.56	26.48	29.18	35.13
chr1	40000000	41000000	7527	0.10336	0.9794	0.00716	0.00886	0.01094	0.01668	0.02535	0.04706	0.12568	24.08	34.36	37.85	45.58
chr1	41000000	42000000	7202	0.09329	0.8561	0.00684	0.00808	0.00954	0.01330	0.01850	0.03022	0.06723	30.68	43.79	48.24	NA
chr1	42000000	43000000	6521	0.11835	0.7500	0.00699	0.00843	0.01017	0.01477	0.02140	0.03712	0.09021	27.23	38.86	42.82	NA
chr1	43000000	44000000	6689	0.09605	0.8310	0.00684	0.00809	0.00955	0.01331	0.01852	0.03027	0.06738	30.66	43.75	48.20	NA
chr1	44000000	45000000	6758	0.09291	0.6688	0.00660	0.00751	0.00854	0.01106	0.01431	0.02102	0.03960	39.44	NA	NA	NA
chr1	45000000	46000000	6758	0.08555	0.6465	0.00650	0.00729	0.00818	0.01028	0.01292	0.01818	0.03196	44.49	NA	NA	NA
chr1	46000000	47000000	7563	0.09225	0.6353	0.00655	0.00740	0.00836	0.01066	0.01360	0.01954	0.03556	41.84	NA	NA	NA
chr1	47000000	48000000	7565	0.10726	0.9009	0.00710	0.00869	0.01064	0.01594	0.02379	0.04306	0.11116	25.17	35.92	39.57	47.65
chr1	48000000	49000000	7167	0.09364	0.6780	0.00661	0.00755	0.00862	0.01122	0.01460	0.02162	0.04127	38.59	NA	NA	NA
chr1	49000000	50000000	5774	0.05723	0.4135	0.00614	0.00638	0.00670	0.00738	0.00813	0.00940	0.01196	NA	NA	NA	NA
chr1	50000000	51000000	5680	0.06150	0.1752	0.00617	0.00617	0.00619	0.00647	0.00676	0.00723	0.00807	NA	NA	NA	NA
chr1	51000000	52000000	6671	0.04335	0.3145	0.00605	0.00612	0.00630	0.00665	0.00703	0.00764	0.00877	NA	NA	NA	NA
chr1	52000000	53000000	6555	0.06896	0.7570	0.00645	0.00718	0.00800	0.00991	0.01227	0.01690	0.02868	47.56	NA	NA	NA
chr1	53000000	54000000	7643	0.09546	1.3320	0.00755	0.00985	0.01283	0.02169	0.03646	0.07781	0.24303	19.25	27.47	30.27	36.44
chr1	54000000	55000000	8739	0.10953	1.5270	0.00824	0.01170	0.01659	0.03312	0.06505	0.16764	0.54214	14.52	20.73	22.83	27.49
chr1	55000000	56000000	7871	0.10368	1.6213	0.00824	0.01171	0.01662	0.03323	0.06533	0.16856	0.54458	14.50	20.69	22.79	27.44
chr1	56000000	57000000	7755	0.12918	1.3764	0.00846	0.01233	0.01794	0.03764	0.07729	0.20794	0.63797	13.51	19.28	21.24	25.58
chr1	57000000	58000000	7766	0.10692	1.5445	0.00820	0.01158	0.01635	0.03234	0.06297	0.16082	0.52357	14.73	21.02	23.16	27.88
chr1	58000000	59000000	7803	0.11143	1.4708	0.00818	0.01154	0.01626	0.03206	0.06224	0.15844	0.51694	14.80	21.13	23.28	28.03
chr1	59000000	60000000	6831	0.09397	1.3855	0.00760	0.00997	0.01306	0.02236	0.03801	0.08235	0.26045	18.82	26.85	29.58	35.62
chr1	60000000	61000000	7298	0.08527	1.5508	0.00762	0.01003	0.01318	0.02269	0.03879	0.08465	0.26924	18.61	26.56	29.26	35.23
chr1	61000000	62000000	7076	0.09727	1.4493	0.00778	0.01044	0.01399	0.02503	0.04440	0.10164	0.33267	17.35	24.75	27.27	32.84
chr1	62000000	63000000	6979	0.11884	1.6349	0.00874	0.01315	0.01976	0.04407	0.09539	0.26728	0.74268	12.44	17.75	19.56	23.55
chr1	63000000	64000000	6971	0.11733	1.4032	0.00820	0.01160	0.01639	0.03248	0.06336	0.16210	0.52712	14.69	20.96	23.10	27.81
chr1	64000000	65000000	6598	0.11073	1.2820	0.00781	0.01052	0.01417	0.02556	0.04569	0.10561	0.34708	17.10	24.40	26.89	32.37
chr1	65000000	66000000	6786	0.13318	1.0776	0.00787	0.01067	0.01447	0.02647	0.04793	0.11256	0.37176	16.70	23.84	26.26	31.62
chr1	66000000	67000000	7022	0.12247	1.0302	0.00757	0.00988	0.01290	0.02189	0.03693	0.07918	0.24831	19.12	27.28	30.05	36.19
chr1	67000000	68000000	6732	0.10832	1.0418	0.00734	0.00931	0.01179	0.01887	0.03009	0.05972	0.17333	21.54	30.74	33.87	40.78
chr1	68000000	69000000	7274	0.09767	0.9790	0.00708	0.00864	0.01054	0.01569	0.02328	0.04177	0.10651	25.57	36.49	40.20	48.41
chr1	69000000	70000000	7034	0.10515	0.8841	0.00704	0.00856	0.01040	0.01532	0.02253	0.03989	0.09988	26.19	37.38	41.18	49.58
chr1	70000000	71000000	6554	0.11417	0.6483	0.00677	0.00792	0.00925	0.01263	0.01721	0.02730	0.05801	32.73	46.71	NA	NA
chr1	71000000	72000000	6006	0.09151	0.5126	0.00639	0.00704	0.00777	0.00944	0.01147	0.01535	0.02486	NA	NA	NA	NA
chr1	72000000	73000000	6029	0.08912	0.3662	0.00636	0.00664	0.00710	0.00813	0.00932	0.01141	0.01599	NA	NA	NA	NA
chr1	73000000	74000000	6953	0.12155	0.5631	0.00670	0.00774	0.00895	0.01194	0.01593	0.02446	0.04945	35.26	NA	NA	NA
chr1	74000000	75000000	6032	0.09730	0.5509	0.00648	0.00725	0.00811	0.01014	0.01267	0.01768	0.03067	45.62	NA	NA	NA
chr1	75000000	76000000	7075	0.11032	0.9500	0.00722	0.00900	0.01122	0.01738	0.02684	0.05097	0.14018	23.17	33.06	36.42	43.86
chr1	76000000	77000000	7227	0.10515	0.8358	0.00697	0.00838	0.01007	0.01453	0.02093	0.03598	0.08632	27.70	39.54	43.56	NA
chr1	77000000	78000000	6472	0.09849	0.9440	0.00704	0.00855	0.01037	0.01527	0.02242	0.03963	0.09893	26.29	37.51	41.33	49.76
chr1	78000000	79000000	7399	0.11142	0.6224	0.00670	0.00776	0.00898	0.01201	0.01605	0.02473	0.05023	34.99	49.93	NA	NA
chr1	79000000	80000000	8222	0.12442	0.7282	0.00702	0.00851	0.01031	0.01510	0.02208	0.03879	0.09599	26.59	37.94	41.81	NA
chr1	80000000	81000000	8847	0.11479	1.0026	0.00739	0.00941	0.01199	0.01940	0.03126	0.06296	0.18578	21.04	30.03	33.09	39.84
chr1	81000000	82000000	8051	0.11143	1.1225	0.00754	0.00981	0.01275	0.02147	0.03596	0.07634	0.23738	19.40	27.69	30.50	36.73
