chrom	window_start	window_end	n_variants	mean_2pq	cMperMb	post_L1Mb	post_L2Mb	post_L3Mb	post_L5Mb	post_L7Mb	post_L10Mb	post_L15Mb	L_for_post_0.5_Mb	L_for_post_0.9_Mb	L_for_post_0.95_Mb	L_for_post_0.99_Mb
chr1	0	1000000	8071	0.05663	0.6855	0.00627	0.00679	0.00735	0.00861	0.01009	0.01279	0.01896	NA	NA	NA	NA
chr1	1000000	2000000	18915	0.06784	1.1979	0.00685	0.00809	0.00956	0.01334	0.01858	0.03041	0.06781	30.57	43.63	48.07	NA
chr1	2000000	3000000	17640	0.05707	2.6358	0.00788	0.01071	0.01454	0.02669	0.04849	0.11432	0.37792	16.61	23.70	26.11	31.44
chr1	3000000	4000000	18534	0.07455	2.9523	0.00912	0.01434	0.02247	0.05427	0.12530	0.36106	0.84767	11.25	16.05	17.68	21.29
chr1	4000000	5000000	16297	0.09144	3.2568	0.01076	0.01992	0.03656	0.11688	0.31580	0.75037	0.98556	8.24	11.76	12.95	15.59
chr1	5000000	6000000	16196	0.08553	2.0616	0.00835	0.01203	0.01731	0.03550	0.07145	0.18866	0.59497	13.96	19.92	21.94	26.42
chr1	6000000	7000000	13850	0.07492	2.0322	0.00793	0.01085	0.01484	0.02758	0.05071	0.12131	0.40190	16.26	23.20	25.56	30.77
chr1	7000000	8000000	13743	0.08323	1.5773	0.00761	0.00998	0.01309	0.02243	0.03818	0.08287	0.26243	18.77	26.79	29.51	35.53
chr1	8000000	9000000	12726	0.07706	1.8165	0.00774	0.01033	0.01377	0.02440	0.04287	0.09693	0.31539	17.66	25.20	27.77	33.43
chr1	9000000	10000000	13662	0.07466	1.7185	0.00755	0.00984	0.01280	0.02163	0.03632	0.07740	0.24147	19.29	27.53	30.33	36.52
chr1	10000000	11000000	12715	0.07740	1.9801	0.00795	0.01091	0.01495	0.02792	0.05157	0.12403	0.41107	16.13	23.01	25.36	30.53
chr1	11000000	12000000	14342	0.08121	1.9923	0.00810	0.01131	0.01579	0.03054	0.05826	0.14551	0.47931	15.25	21.76	23.97	28.86
chr1	12000000	13000000	14647	0.06333	1.8808	0.00740	0.00944	0.01205	0.01956	0.03160	0.06392	0.18945	20.91	29.83	32.87	39.58
chr1	13000000	14000000	15281	0.07017	2.3007	0.00808	0.01125	0.01566	0.03014	0.05723	0.14216	0.46914	15.37	21.93	24.16	29.10
chr1	14000000	15000000	14321	0.08585	2.3422	0.00879	0.01333	0.02016	0.04553	0.09959	0.28084	0.76173	12.24	17.46	19.24	23.16
chr1	15000000	16000000	13964	0.09228	1.9596	0.00844	0.01229	0.01786	0.03740	0.07663	0.20576	0.63334	13.56	19.35	21.32	25.67
chr1	16000000	17000000	15113	0.07085	1.7975	0.00753	0.00979	0.01271	0.02137	0.03571	0.07562	0.23462	19.48	27.79	30.62	36.87
chr1	17000000	18000000	14672	0.08888	2.2922	0.00885	0.01350	0.02053	0.04691	0.10358	0.29361	0.77830	12.06	17.21	18.96	22.83
chr1	18000000	19000000	14644	0.08524	2.6340	0.00923	0.01468	0.02326	0.05740	0.13471	0.38890	0.86929	10.96	15.64	17.24	20.75
chr1	19000000	20000000	13350	0.08257	2.3132	0.00861	0.01277	0.01891	0.04102	0.08672	0.23898	0.69745	12.91	18.42	20.29	24.43
