chrom	window_start	window_end	n_variants	mean_2pq	cMperMb	post_L1Mb	post_L2Mb	post_L3Mb	post_L5Mb	post_L7Mb	post_L10Mb	post_L15Mb	L_for_post_0.5_Mb	L_for_post_0.9_Mb	L_for_post_0.95_Mb	L_for_post_0.99_Mb
chr1	0	1000000	8071	0.05663	0.6855	0.02587	0.02796	0.03021	0.03526	0.04113	0.05169	0.07517	46.41	NA	NA	NA
chr1	1000000	2000000	18915	0.06784	1.1979	0.02819	0.03318	0.03903	0.05381	0.07375	0.11655	0.23432	22.04	35.09	39.53	49.34
chr1	2000000	3000000	17640	0.05707	2.6358	0.03233	0.04356	0.05846	0.10344	0.17653	0.35192	0.71876	11.97	19.06	21.48	26.80
chr1	3000000	4000000	18534	0.07455	2.9523	0.03729	0.05767	0.08817	0.19446	0.37603	0.70390	0.95903	8.11	12.91	14.54	18.15
chr1	4000000	5000000	16297	0.09144	3.2568	0.04377	0.07876	0.13767	0.35764	0.66006	0.92672	0.99653	5.94	9.46	10.65	13.29
chr1	5000000	6000000	16196	0.08553	2.0616	0.03423	0.04874	0.06897	0.13409	0.24454	0.49450	0.86072	10.06	16.02	18.05	22.52
chr1	6000000	7000000	13850	0.07492	2.0322	0.03255	0.04413	0.05958	0.10660	0.18348	0.36740	0.73869	11.72	18.66	21.02	26.23
chr1	7000000	8000000	13743	0.08323	1.5773	0.03124	0.04069	0.05284	0.08803	0.14311	0.27542	0.59949	13.53	21.54	24.27	30.29
chr1	8000000	9000000	12726	0.07706	1.8165	0.03176	0.04205	0.05549	0.09519	0.15854	0.31108	0.65963	12.73	20.27	22.84	28.50
chr1	9000000	10000000	13662	0.07466	1.7185	0.03101	0.04011	0.05174	0.08510	0.13686	0.26087	0.57250	13.90	22.14	24.94	31.13
chr1	10000000	11000000	12715	0.07740	1.9801	0.03263	0.04434	0.06001	0.10781	0.18615	0.37331	0.74596	11.62	18.51	20.85	26.03
chr1	11000000	12000000	14342	0.08121	1.9923	0.03321	0.04593	0.06321	0.11701	0.20651	0.41737	0.79477	10.99	17.50	19.71	24.60
chr1	12000000	13000000	14647	0.06333	1.8808	0.03040	0.03856	0.04879	0.07742	0.12071	0.22315	0.49579	15.07	24.00	27.03	33.74
chr1	13000000	14000000	15281	0.07017	2.3007	0.03313	0.04569	0.06272	0.11561	0.20341	0.41077	0.78803	11.08	17.64	19.87	24.80
chr1	14000000	15000000	14321	0.08585	2.3422	0.03598	0.05378	0.07965	0.16714	0.31755	0.62162	0.93079	8.82	14.04	15.82	19.75
