chrom	window_start	window_end	n_variants	mean_2pq	cMperMb	post_L1Mb	post_L2Mb	post_L3Mb	post_L5Mb	post_L7Mb	post_L10Mb	post_L15Mb	L_for_post_0.5_Mb	L_for_post_0.9_Mb	L_for_post_0.95_Mb	L_for_post_0.99_Mb
chr1	0	1000000	4792	0.05704	0.6855	0.02588	0.02799	0.03027	0.03537	0.04129	0.05199	0.07580	46.06	NA	NA	NA
chr1	1000000	2000000	11536	0.08210	1.1979	0.02922	0.03564	0.04340	0.06402	0.09348	0.16029	0.34754	18.07	28.77	32.41	40.46
chr1	2000000	3000000	11612	0.07392	2.6358	0.03544	0.05221	0.07628	0.15652	0.29429	0.58416	0.91405	9.16	14.59	16.43	20.51
chr1	3000000	4000000	10978	0.09701	2.9523	0.04286	0.07561	0.12999	0.33270	0.62457	0.91024	0.99517	6.16	9.80	11.04	13.78
chr1	4000000	5000000	10387	0.13225	3.2568	0.05816	0.13463	0.28158	0.71326	0.94043	0.99605	0.99996	4.01	6.39	7.20	8.99
chr1	5000000	6000000	9117	0.11436	2.0616	0.03887	0.06256	0.09918	0.23061	0.44932	0.78563	0.97817	7.41	11.79	13.29	16.58
chr1	6000000	7000000	8344	0.08231	2.0322	0.03359	0.04696	0.06530	0.12314	0.22016	0.44586	0.82173	10.62	16.92	19.06	23.79
chr1	7000000	8000000	8529	0.10001	1.5773	0.03305	0.04549	0.06231	0.11441	0.20074	0.40505	0.78204	11.16	17.77	20.01	24.98
chr1	8000000	9000000	6954	0.10127	1.8165	0.03487	0.05056	0.07277	0.14565	0.27025	0.54248	0.89185	9.56	15.23	17.15	21.41
chr1	9000000	10000000	8119	0.09744	1.7185	0.03369	0.04725	0.06590	0.12490	0.22408	0.45388	0.82875	10.53	16.76	18.88	23.57
chr1	10000000	11000000	7904	0.08605	1.9801	0.03382	0.04761	0.06664	0.12710	0.22897	0.46379	0.83708	10.41	16.57	18.67	23.30
chr1	11000000	12000000	8882	0.11185	1.9923	0.03784	0.05934	0.09190	0.20663	0.40130	0.73456	0.96711	7.85	12.50	14.08	17.57
chr1	12000000	13000000	9875	0.07879	1.8808	0.03230	0.04347	0.05828	0.10294	0.17543	0.34945	0.71546	12.01	19.13	21.55	26.90
chr1	13000000	14000000	10530	0.09498	2.3007	0.03735	0.05786	0.08860	0.19585	0.37895	0.70758	0.96006	8.08	12.86	14.49	18.08
chr1	14000000	15000000	8423	0.11599	2.3422	0.04185	0.07219	0.12175	0.30558	0.58279	0.88764	0.99300	6.42	10.23	11.52	14.38
chr1	15000000	16000000	8416	0.11419	1.9596	0.03793	0.05963	0.09254	0.20873	0.40560	0.73950	0.96830	7.80	12.43	14.00	17.47
chr1	16000000	17000000	9608	0.07847	1.7975	0.03184	0.04225	0.05587	0.09625	0.16083	0.31633	0.66779	12.62	20.10	22.65	28.26
chr1	17000000	18000000	9043	0.10680	2.2922	0.03952	0.06459	0.10385	0.24610	0.47904	0.81299	0.98302	7.16	11.41	12.85	16.04
chr1	18000000	19000000	9622	0.10863	2.6340	0.04299	0.07607	0.13111	0.33636	0.62996	0.91289	0.99541	6.12	9.75	10.98	13.71
chr1	19000000	20000000	8345	0.10506	2.3132	0.03935	0.06407	0.10266	0.24215	0.47155	0.80638	0.98191	7.22	11.50	12.96	16.17
chr1	20000000	21000000	7294	0.10793	1.4207	0.03280	0.04481	0.06094	0.11047	0.19202	0.38619	0.76120	11.43	18.20	20.50	25.59
chr1	21000000	22000000	8396	0.09691	1.5188	0.03233	0.04355	0.05843	0.10336	0.17637	0.35155	0.71827	11.98	19.07	21.49	26.82
chr1	22000000	23000000	7785	0.11128	1.2338	0.03175	0.04203	0.05545	0.09509	0.15832	0.31056	0.65882	12.74	20.29	22.85	28.52
chr1	23000000	24000000	6713	0.09719	1.5306	0.03243	0.04383	0.05899	0.10493	0.17982	0.35926	0.72837	11.85	18.87	21.26	26.53
chr1	24000000	25000000	7651	0.11172	1.2448	0.03187	0.04234	0.05605	0.09675	0.16192	0.31881	0.67160	12.57	20.02	22.56	28.15
chr1	25000000	26000000	6443	0.08311	1.2250	0.02943	0.03615	0.04433	0.06626	0.09792	0.17040	0.37287	17.45	27.78	31.30	39.06
chr1	26000000	27000000	6543	0.07987	0.8210	0.02734	0.03121	0.03562	0.04630	0.05999	0.08773	0.16000	27.13	43.21	48.67	NA
chr1	27000000	28000000	6319	0.06608	0.6000	0.02592	0.02807	0.03040	0.03563	0.04171	0.05274	0.07741	45.21	NA	NA	NA
chr1	28000000	29000000	7021	0.06962	0.9011	0.02716	0.03082	0.03495	0.04486	0.05742	0.08257	0.14708	28.51	45.41	NA	NA
chr1	29000000	30000000	7571	0.11128	1.6344	0.03479	0.05034	0.07231	0.14425	0.26714	0.53685	0.88853	9.62	15.31	17.25	21.53
