chrom	window_start	window_end	n_variants	mean_2pq	cMperMb	post_L1Mb	post_L2Mb	post_L3Mb	post_L5Mb	post_L7Mb	post_L10Mb	post_L15Mb	L_for_post_0.5_Mb	L_for_post_0.9_Mb	L_for_post_0.95_Mb	L_for_post_0.99_Mb
chr1	0	1000000	4490	0.05162	0.6855	0.05347	0.05727	0.06132	0.07024	0.08034	0.09799	0.13512	40.55	NA	NA	NA
chr1	1000000	2000000	10815	0.06839	1.1979	0.05860	0.06869	0.08037	0.10931	0.14699	0.22283	0.40114	17.36	30.31	34.71	44.44
chr1	2000000	3000000	10375	0.07679	2.6358	0.07411	0.10871	0.15673	0.30146	0.50052	0.78001	0.96681	7.00	12.21	13.99	17.90
chr1	3000000	4000000	10203	0.09552	2.9523	0.08678	0.14669	0.23722	0.50440	0.76910	0.95174	0.99739	4.97	8.68	9.94	12.72
chr1	4000000	5000000	9380	0.13099	3.2568	0.11589	0.24650	0.44946	0.83564	0.96939	0.99797	0.99998	3.22	5.62	6.44	8.25
chr1	5000000	6000000	9144	0.10939	2.0616	0.07808	0.12014	0.18044	0.36400	0.59804	0.86180	0.98550	6.17	10.77	12.33	15.79
chr1	6000000	7000000	7724	0.08121	2.0322	0.06900	0.09467	0.12856	0.22701	0.36893	0.62150	0.90177	8.56	14.94	17.11	21.91
chr1	7000000	8000000	7268	0.11583	1.5773	0.07189	0.10250	0.14413	0.26802	0.44325	0.71850	0.94679	7.59	13.25	15.17	19.42
chr1	8000000	9000000	6475	0.10231	1.8165	0.07214	0.10320	0.14554	0.27174	0.44978	0.72607	0.94957	7.51	13.12	15.02	19.23
chr1	9000000	10000000	7486	0.08937	1.7185	0.06757	0.09088	0.12120	0.20790	0.33311	0.56737	0.86760	9.16	15.99	18.31	23.44
chr1	10000000	11000000	7122	0.08968	1.9801	0.07081	0.09956	0.13823	0.25240	0.41542	0.68455	0.93310	7.92	13.82	15.83	20.27
chr1	11000000	12000000	7360	0.10436	1.9923	0.07535	0.11224	0.16398	0.32070	0.53191	0.80928	0.97445	6.71	11.71	13.41	17.17
chr1	12000000	13000000	8942	0.07168	1.8808	0.06497	0.08418	0.10841	0.17544	0.27131	0.46290	0.77733	10.53	18.39	21.06	26.96
chr1	13000000	14000000	9957	0.08475	2.3007	0.07317	0.10608	0.15136	0.28720	0.47651	0.75554	0.95953	7.23	12.62	14.46	18.51
chr1	14000000	15000000	7917	0.12127	2.3422	0.08780	0.14992	0.24423	0.52038	0.78462	0.95729	0.99784	4.87	8.49	9.73	12.45
chr1	15000000	16000000	7780	0.12566	1.9596	0.08165	0.13081	0.20302	0.42190	0.67647	0.91023	0.99295	5.60	9.77	11.19	14.33
chr1	16000000	17000000	8854	0.09336	1.7975	0.06952	0.09607	0.13132	0.23421	0.38225	0.64039	0.91204	8.36	14.60	16.72	21.40
chr1	17000000	18000000	8051	0.11910	2.2922	0.08588	0.14385	0.23107	0.49012	0.75459	0.94621	0.99690	5.07	8.85	10.13	12.97
chr1	18000000	19000000	8608	0.11753	2.6340	0.09214	0.16395	0.27479	0.58586	0.84080	0.97442	0.99903	4.47	7.81	8.94	11.45
chr1	19000000	20000000	7477	0.11637	2.3132	0.08517	0.14164	0.22630	0.47886	0.74271	0.94143	0.99646	5.15	8.99	10.29	13.18
chr1	20000000	21000000	6731	0.11793	1.4207	0.06979	0.09680	0.13276	0.23799	0.38921	0.64998	0.91695	8.26	14.43	16.52	21.15
chr1	21000000	22000000	7899	0.10223	1.5188	0.06794	0.09185	0.12307	0.21272	0.34221	0.58157	0.87729	8.99	15.70	17.98	23.02
chr1	22000000	23000000	7586	0.11074	1.2338	0.06557	0.08571	0.11130	0.18267	0.28514	0.48743	0.80183	10.17	17.76	20.34	26.04
chr1	23000000	24000000	6687	0.08865	1.5306	0.06524	0.08486	0.10969	0.17864	0.27742	0.47382	0.78851	10.37	18.10	20.73	26.54
chr1	24000000	25000000	7302	0.11642	1.2448	0.06672	0.08866	0.11692	0.19693	0.31232	0.53374	0.84237	9.56	16.69	19.12	24.47
chr1	25000000	26000000	6532	0.08566	1.2250	0.06140	0.07533	0.09210	0.13594	0.19613	0.32028	0.58527	13.43	23.44	26.85	34.37
chr1	26000000	27000000	6470	0.08445	0.8210	0.05724	0.06558	0.07504	0.09779	0.12650	0.18278	0.31578	20.34	35.50	40.66	NA
chr1	27000000	28000000	6162	0.05952	0.6000	0.05352	0.05737	0.06148	0.07055	0.08084	0.09885	0.13683	40.01	NA	NA	NA
chr1	28000000	29000000	6689	0.08933	0.9011	0.05854	0.06855	0.08014	0.10878	0.14604	0.22096	0.39726	17.47	30.50	34.93	44.72
chr1	29000000	30000000	7270	0.11095	1.6344	0.07163	0.10178	0.14269	0.26420	0.43649	0.71051	0.94375	7.66	13.38	15.32	19.62
chr1	30000000	31000000	8260	0.12138	1.7548	0.07640	0.11526	0.17024	0.33725	0.55793	0.83136	0.97949	6.49	11.33	12.97	16.61
chr1	31000000	32000000	6979	0.09951	1.3527	0.06520	0.08476	0.10951	0.17819	0.27657	0.47232	0.78700	10.39	18.14	20.77	26.60
chr1	32000000	33000000	5825	0.04556	0.9711	0.05438	0.05923	0.06448	0.07631	0.09009	0.11498	0.16966	32.54	NA	NA	NA
chr1	33000000	34000000	6332	0.10969	1.3451	0.06699	0.08937	0.11829	0.20043	0.31897	0.54467	0.85093	9.43	16.46	18.85	24.13
chr1	34000000	35000000	7290	0.11610	1.2526	0.06678	0.08882	0.11723	0.19772	0.31382	0.53623	0.84435	9.53	16.64	19.05	24.39
chr1	35000000	36000000	5571	0.02820	1.1879	0.05323	0.05676	0.06051	0.06872	0.07794	0.09392	0.12709	43.35	NA	NA	NA
chr1	36000000	37000000	6334	0.07716	0.8716	0.05698	0.06498	0.07402	0.09565	0.12276	0.17558	0.30013	21.05	36.74	42.08	NA
